gene,gene_id,gps_max_overall,gps_max_immune
ACHE,ENSG00000087085,1.17728569075626,
ACIN1,ENSG00000100813,0.879532978374909,
ACKR1,ENSG00000213088,0.879532978374909,
ACKR2,ENSG00000144648,0.879532978374909,
ACKR3,ENSG00000144476,1.37126235162559,
ACKR4,ENSG00000129048,,
ACLY,ENSG00000131473,1.17728569075626,
ACMSD,ENSG00000153086,2.17246737708743,
ACO1,ENSG00000122729,0.879532978374909,
ACO2,ENSG00000100412,2.1655204892707,0.654031739214786
ACOD1,ENSG00000102794,,
ACOT1,ENSG00000184227,0.879532978374909,
ACOT11,ENSG00000162390,0.879532978374909,
ACOT12,ENSG00000172497,,
ACOT13,ENSG00000112304,0.654031739214786,
ACOT2,ENSG00000119673,,
ACOT4,ENSG00000177465,0.879532978374909,
ACOT6,ENSG00000205669,0.879532978374909,
ACOT7,ENSG00000097021,0.879532978374909,
ACOT8,ENSG00000101473,1.17728569075626,
ACOT9,ENSG00000123130,,
ACOX1,ENSG00000161533,1.67379111602002,
ACOX2,ENSG00000168306,0.879532978374909,
ACOX3,ENSG00000087008,0.879532978374909,
ACOXL,ENSG00000153093,1.94696613792731,1.29293439871252
ACP1,ENSG00000143727,1.29293439871252,
ACP2,ENSG00000134575,1.27858983329061,
ACP3,ENSG00000014257,0.879532978374909,
ACP4,ENSG00000142513,0.879532978374909,
ACP5,ENSG00000102575,1.28598751089579,0.879532978374909
ACP6,ENSG00000162836,,
ACP7,ENSG00000183760,0.879532978374909,
ACR,ENSG00000100312,,
ACRBP,ENSG00000111644,0.879532978374909,
ACRV1,ENSG00000134940,1.17728569075626,
ACSBG1,ENSG00000103740,0.879532978374909,
ACSBG2,ENSG00000130377,,
ACSF2,ENSG00000167107,0.879532978374909,
ACSF3,ENSG00000176715,2.82649911630222,
ACSL1,ENSG00000151726,1.29293439871252,
ACSL3,ENSG00000123983,0.879532978374909,
ACSL4,ENSG00000068366,2.1655204892707,
ACSL5,ENSG00000197142,1.29293439871252,
ACSL6,ENSG00000164398,0.879532978374909,0.654031739214786
ACSM1,ENSG00000166743,,
ACSM2A,ENSG00000183747,,
ACSM2B,ENSG00000066813,1.29293439871252,
ACSM3,ENSG00000005187,,
ACSM4,ENSG00000215009,,
ACSM5,ENSG00000183549,0.879532978374909,
ACSM6,ENSG00000173124,0.879532978374909,
ACSS1,ENSG00000154930,0.879532978374909,
ACSS2,ENSG00000131069,0.879532978374909,
ACSS3,ENSG00000111058,,
ACTA1,ENSG00000143632,2.1655204892707,0.879532978374909
ACTA2,ENSG00000107796,2.1655204892707,
ACTB,ENSG00000075624,2.1655204892707,
ACTBL2,ENSG00000169067,1.29293439871252,
ACTC1,ENSG00000159251,2.1655204892707,
ACTG1,ENSG00000184009,2.1655204892707,
ACTG2,ENSG00000163017,1.28598751089579,
ACTL10,ENSG00000288649,,
ACTL6A,ENSG00000136518,0.794258137645111,
ACTL6B,ENSG00000077080,2.1655204892707,
ACTL7A,ENSG00000187003,0.879532978374909,
ACTL7B,ENSG00000148156,0.879532978374909,
ACTL8,ENSG00000117148,1.29293439871252,
ACTL9,ENSG00000181786,1.37126235162559,
ACTN1,ENSG00000072110,2.1655204892707,0.879532978374909
ACTN2,ENSG00000077522,3.34280618002696,
ACTN3,ENSG00000248746,0.879532978374909,
ACTN4,ENSG00000130402,1.37126235162559,1.37126235162559
ACTR10,ENSG00000131966,,
ACTR1A,ENSG00000138107,0.654031739214786,0.654031739214786
ACTR1B,ENSG00000115073,,
ACTR2,ENSG00000138071,1.29293439871252,1.29293439871252
ACTR3,ENSG00000115091,0.654031739214786,
ACTR3B,ENSG00000133627,,
ACTR3C,ENSG00000106526,0.879532978374909,
ACTR5,ENSG00000101442,0.879532978374909,
ACTR6,ENSG00000075089,0.879532978374909,
ACTR8,ENSG00000113812,,
ACTRT1,ENSG00000123165,0.879532978374909,
ACTRT2,ENSG00000169717,1.29293439871252,
ACTRT3,ENSG00000184378,1.29293439871252,
ACVR1,ENSG00000115170,2.1655204892707,
ACVR1B,ENSG00000135503,1.29293439871252,
ACVR1C,ENSG00000123612,,
ACVR2A,ENSG00000121989,1.29293439871252,
ACVR2B,ENSG00000114739,1.37126235162559,
ACVRL1,ENSG00000139567,3.76075179312043,1.29293439871252
ACY1,ENSG00000243989,1.37126235162559,
ACY3,ENSG00000132744,0.879532978374909,
ACYP1,ENSG00000119640,1.27858983329061,
ACYP2,ENSG00000170634,0.879532978374909,
ADA,ENSG00000196839,1.67379111602002,1.67379111602002
ADA2,ENSG00000093072,2.1655204892707,0.879532978374909
ADAD1,ENSG00000164113,0.879532978374909,
ADAD2,ENSG00000140955,1.67379111602002,
MAPDA,ENSG00000168803,,
ADAM10,ENSG00000137845,2.17246737708743,
ADAM11,ENSG00000073670,1.29293439871252,
ADAM12,ENSG00000148848,1.17728569075626,
ADAM15,ENSG00000143537,1.29293439871252,
ADAM17,ENSG00000151694,1.37126235162559,
ADAM18,ENSG00000168619,0.879532978374909,
ADAM19,ENSG00000135074,1.91749249278834,1.91749249278834
ADAM2,ENSG00000104755,0.879532978374909,
ADAM20,ENSG00000134007,,
ADAM21,ENSG00000139985,,
ADAM22,ENSG00000008277,2.1655204892707,
ADAM23,ENSG00000114948,1.29293439871252,
ADAM28,ENSG00000042980,,
ADAM29,ENSG00000168594,2.17246737708743,
ADAM30,ENSG00000134249,1.29293439871252,1.29293439871252
ADAM32,ENSG00000197140,0.879532978374909,
ADAM33,ENSG00000149451,0.879532978374909,
ADAM7,ENSG00000069206,1.17728569075626,
ADAM8,ENSG00000151651,,
ADAM9,ENSG00000168615,2.1655204892707,
ADAMDEC1,ENSG00000134028,1.17728569075626,
ADAMTS1,ENSG00000154734,1.67379111602002,
ADAMTS10,ENSG00000142303,1.37126235162559,
ADAMTS12,ENSG00000151388,0.879532978374909,
ADAMTS13,ENSG00000160323,2.05681866913117,1.17728569075626
ADAMTS14,ENSG00000138316,1.29293439871252,
ADAMTS15,ENSG00000166106,1.17728569075626,
ADAMTS16,ENSG00000145536,1.94696613792731,1.29293439871252
ADAMTS17,ENSG00000140470,1.37126235162559,
ADAMTS18,ENSG00000140873,1.37126235162559,
ADAMTS19,ENSG00000145808,1.29293439871252,
ADAMTS2,ENSG00000087116,1.67379111602002,
ADAMTS20,ENSG00000173157,0.879532978374909,
ADAMTS3,ENSG00000156140,1.29293439871252,
ADAMTS4,ENSG00000158859,1.29293439871252,
ADAMTS5,ENSG00000154736,1.29293439871252,
ADAMTS6,ENSG00000049192,1.67379111602002,
ADAMTS7,ENSG00000136378,2.57152423200313,
ADAMTS8,ENSG00000134917,1.29293439871252,
ADAMTS9,ENSG00000163638,1.29293439871252,
ADAMTSL1,ENSG00000178031,1.29293439871252,
ADAMTSL2,ENSG00000197859,1.37126235162559,
ADAMTSL3,ENSG00000156218,1.91749249278834,1.91749249278834
ADAMTSL4,ENSG00000143382,2.1655204892707,
ADAMTSL5,ENSG00000185761,0.879532978374909,
ADAP1,ENSG00000105963,0.879532978374909,0.654031739214786
ADAP2,ENSG00000184060,0.879532978374909,
ADAR,ENSG00000160710,1.37126235162559,1.28598751089579
ADARB1,ENSG00000197381,1.37126235162559,
ADARB2,ENSG00000185736,1.29293439871252,
ADAT1,ENSG00000065457,0.879532978374909,
ADAT2,ENSG00000189007,0.654031739214786,
ADAT3,ENSG00000213638,2.1655204892707,
ADCK1,ENSG00000063761,0.879532978374909,
ADCK2,ENSG00000133597,0.879532978374909,
ADCK5,ENSG00000173137,0.879532978374909,
ADCY1,ENSG00000164742,0.879532978374909,
ADCY10,ENSG00000143199,1.37126235162559,
ADCY2,ENSG00000078295,1.29293439871252,
ADCY3,ENSG00000138031,2.66419675033811,1.29293439871252
ADCY4,ENSG00000129467,0.654031739214786,
ADCY5,ENSG00000173175,2.1655204892707,
ADCY6,ENSG00000174233,1.67379111602002,
ADCY7,ENSG00000121281,2.88816570256225,2.88816570256225
ADCY8,ENSG00000155897,1.29293439871252,
ADCY9,ENSG00000162104,1.29293439871252,1.29293439871252
ADCYAP1,ENSG00000141433,0.879532978374909,
ADCYAP1R1,ENSG00000078549,1.29293439871252,
ADD1,ENSG00000087274,0.879532978374909,
ADD2,ENSG00000075340,0.879532978374909,
ADD3,ENSG00000148700,1.37126235162559,
ADGB,ENSG00000118492,0.879532978374909,
ADGRA1,ENSG00000197177,1.29293439871252,
ADGRA2,ENSG00000020181,0.624558094075822,
ADGRA3,ENSG00000152990,0.879532978374909,
ADGRB1,ENSG00000181790,0.879532978374909,
ADGRB2,ENSG00000121753,1.29293439871252,
ADGRB3,ENSG00000135298,0.879532978374909,
ADGRD1,ENSG00000111452,1.29293439871252,
ADGRD2,ENSG00000180264,0.654031739214786,
ADGRE1,ENSG00000174837,0.879532978374909,
ADGRE2,ENSG00000127507,1.37126235162559,1.37126235162559
ADGRE3,ENSG00000131355,0.879532978374909,
ADGRE5,ENSG00000123146,0.879532978374909,
ADGRF1,ENSG00000153292,1.17728569075626,
ADGRF3,ENSG00000173567,0.879532978374909,
ADGRF4,ENSG00000153294,0.879532978374909,
ADGRF5,ENSG00000069122,1.17728569075626,1.17728569075626
ADGRG1,ENSG00000205336,2.1655204892707,
ADGRG2,ENSG00000173698,0.491729373250684,
ADGRG3,ENSG00000182885,,
ADGRG4,ENSG00000156920,1.27858983329061,
ADGRG5,ENSG00000159618,1.17728569075626,
ADGRG6,ENSG00000112414,1.7846637719632,
ADGRG7,ENSG00000144820,0.879532978374909,
ADGRL1,ENSG00000072071,0.879532978374909,
ADGRL2,ENSG00000117114,1.29293439871252,1.29293439871252
ADGRL3,ENSG00000150471,1.29293439871252,
ADGRL4,ENSG00000162618,0.879532978374909,
ADGRV1,ENSG00000164199,2.1655204892707,
ADH1A,ENSG00000187758,1.83131742997105,
ADH1B,ENSG00000196616,3.74880992275939,
ADH1C,ENSG00000248144,1.83131742997105,
ADH4,ENSG00000198099,1.83131742997105,
ADH5,ENSG00000197894,0.491729373250684,0.491729373250684
ADH6,ENSG00000172955,0.879532978374909,
ADH7,ENSG00000196344,1.17728569075626,
ADHFE1,ENSG00000147576,,
ADI1,ENSG00000182551,1.17728569075626,
ADIG,ENSG00000182035,,
ADIPOQ,ENSG00000181092,1.17728569075626,1.17728569075626
ADIPOR1,ENSG00000159346,0.879532978374909,
ADIPOR2,ENSG00000006831,0.879532978374909,
ADIRF,ENSG00000148671,,
ADK,ENSG00000156110,1.67379111602002,
ADM,ENSG00000148926,1.17728569075626,
ADM2,ENSG00000128165,,
ADM5,ENSG00000224420,,
ADNP,ENSG00000101126,2.1655204892707,
ADNP2,ENSG00000101544,0.879532978374909,
ADO,ENSG00000181915,1.94696613792731,1.29293439871252
ADORA1,ENSG00000163485,1.29293439871252,1.29293439871252
ADORA2A,ENSG00000128271,,
ADORA2B,ENSG00000170425,0.654031739214786,
ADORA3,ENSG00000282608,,
ADPGK,ENSG00000159322,1.17728569075626,1.17728569075626
ADPRH,ENSG00000144843,0.879532978374909,
ADPRHL1,ENSG00000153531,1.29293439871252,
