gene,gene_id,immune_genetic_association,cardiac_genetic_association
ACSL3,ENSG00000123983,0.1016294220805819,0.2897192528435413
ACSL4,ENSG00000068366,0.0,0.0
ACSL5,ENSG00000197142,0.0487059390558899,0.0608498345177337
ACSL6,ENSG00000164398,0.3317765713495815,0.3549007002287399
ACSM1,ENSG00000166743,0.0,0.0
ACSM2A,ENSG00000183747,0.0538901772969576,0.0494797376194815
ACSM2B,ENSG00000066813,0.0656358419044951,0.0
ACSM3,ENSG00000005187,0.0,0.0
ACSM4,ENSG00000215009,0.0448664545448548,0.0
ACSM5,ENSG00000183549,0.0495605842978811,0.1195633569957429
ACSM6,ENSG00000173124,0.0,0.0
ACSS1,ENSG00000154930,0.0,0.0
ACSS2,ENSG00000131069,0.0,0.1945836922618862
ACSS3,ENSG00000111058,0.1136297280354761,0.6193243603632342
ACTA1,ENSG00000143632,0.0652576293517437,0.534466834859126
ACTA2,ENSG00000107796,0.8208042105001747,0.9145484867036412
ACTB,ENSG00000075624,0.2653702144646472,0.0
ACTBL2,ENSG00000169067,0.0,0.7762528101969938
ACTC1,ENSG00000159251,0.0647434747941573,0.8795357975564942
ACTG1,ENSG00000184009,0.1288501607915849,0.2633235903876088
ACTG2,ENSG00000163017,0.0,0.0468474411352997
ACTL10,ENSG00000288649,0.0,0.0
ACTL6A,ENSG00000136518,0.0,0.4407498282684252
ACTL6B,ENSG00000077080,0.0587142070460149,0.0
ACTL7A,ENSG00000187003,0.0,0.3977487963487194
ACTL7B,ENSG00000148156,0.0,0.2618307683422664
ACTL8,ENSG00000117148,0.3410275747251247,0.0
ACTL9,ENSG00000181786,0.6119263333700838,0.0
ACTN1,ENSG00000072110,0.4331252663542516,0.5630902560788141
ACTN2,ENSG00000077522,0.3182027966126758,0.9009231188599444
ACTN3,ENSG00000248746,0.1536737014459225,0.0
ACTN4,ENSG00000130402,0.0,0.1959592354512835
ACTR10,ENSG00000131966,0.0,0.1269419570370061
ACTR1A,ENSG00000138107,0.3896544695786519,0.2079043112582367
ACTR1B,ENSG00000115073,0.4322118360424178,0.0598608998019222
ACTR2,ENSG00000138071,0.5524911921286235,0.6197605411189034
ACTR3,ENSG00000115091,0.3757686205167438,0.6074334296523283
ACTR3B,ENSG00000133627,0.2483084691546751,0.26459359028271
ACTR3C,ENSG00000106526,0.2802658749063041,0.0546110146127695
ACTR5,ENSG00000101442,0.0,0.038085447394205
ACTR6,ENSG00000075089,0.0,0.0
ACTR8,ENSG00000113812,0.0265762909843173,0.1571404032098209
ACTRT1,ENSG00000123165,0.0,0.0
ACTRT2,ENSG00000169717,0.0,0.679646619352687
ACTRT3,ENSG00000184378,0.3504496335426089,0.4601074021831923
ACVR1,ENSG00000115170,0.0,0.2431723190446484
ACVR1B,ENSG00000135503,0.0327751087098958,0.547137717850459
ACVR1C,ENSG00000123612,0.3949127225347878,0.61413817416212
ACVR2A,ENSG00000121989,0.0,0.6306892008199034
ACVR2B,ENSG00000114739,0.0,0.1272122226432195
ACVRL1,ENSG00000139567,0.0,0.9346272923792835
ACY1,ENSG00000243989,0.0,0.0
ACY3,ENSG00000132744,0.0,0.0
ACYP1,ENSG00000119640,0.0,0.2734557021495732
ACYP2,ENSG00000170634,0.547137717850459,0.0
ADA,ENSG00000196839,0.9670923786394688,0.0
ADA2,ENSG00000093072,0.547137717850459,0.9057526402103376
ADAD1,ENSG00000164113,0.7224417481388774,0.4245397110002666
ADAD2,ENSG00000140955,0.0,0.0
MAPDA,ENSG00000168803,0.0,0.0
ADAM10,ENSG00000137845,0.0,0.6160277866402813
ADAM11,ENSG00000073670,0.0,0.0
ADAM12,ENSG00000148848,0.4095010026717195,0.0335821933080543
ADAM15,ENSG00000143537,0.4395396060764197,0.4876916373634137
ADAM17,ENSG00000151694,0.8440426257674669,0.136435994337251
ADAM18,ENSG00000168619,0.4240507854090258,0.0705166730633292
ADAM19,ENSG00000135074,0.0,0.744174885725274
ADAM2,ENSG00000104755,0.0,0.1638113722921009
ADAM20,ENSG00000134007,0.0,0.0
ADAM21,ENSG00000139985,0.0,0.0
ADAM22,ENSG00000008277,0.0,0.308169952687843
ADAM23,ENSG00000114948,0.496676413244719,0.0
ADAM28,ENSG00000042980,0.0,0.4379289091468174
ADAM29,ENSG00000168594,0.3749741076740653,0.4953709767047369
ADAM30,ENSG00000134249,0.2367553126826398,0.0
ADAM32,ENSG00000197140,0.0,0.0
ADAM33,ENSG00000149451,0.0,0.0
ADAM7,ENSG00000069206,0.0,0.0
