gene_target,n_drugs,action_types,action_types_3cat,drugs,immune_indications,furthest_stage,furthest_stage_drugs,furthest_stage_indications
RAF1,4,INHIBITOR,Inhibiting,REGORAFENIB;SORAFENIB;SORAFENIB TOSYLATE;TOVORAFENIB,"B-cell chronic lymphocytic leukemia;Langerhans cell histiocytosis;acute leukemia of ambiguous lineage;acute monocytic leukemia;acute myeloid leukemia;acute promyelocytic leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;hairy cell leukemia;mixed phenotype acute leukemia;myeloid leukemia;myeloproliferative neoplasm;plasma cell myeloma",Phase 3,SORAFENIB,acute monocytic leukemia;acute myeloid leukemia
ELANE,3,INHIBITOR,Inhibiting,.ALPHA.1-PROTEINASE INHIBITOR HUMAN;ALVELESTAT;SIVELESTAT,Crohn disease;acute graft versus host disease;chronic graft versus host disease;graft versus host disease;multiple sclerosis;psoriatic arthritis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis,Phase 3,.ALPHA.1-PROTEINASE INHIBITOR HUMAN;SIVELESTAT,Crohn disease;graft versus host disease;multiple sclerosis;psoriatic arthritis;rheumatoid arthritis;ulcerative colitis
CD80,3,INHIBITOR,Inhibiting,ABATACEPT;BELATACEPT;GALIXIMAB,Crohn disease;Sjogren syndrome;acute myeloid leukemia;ankylosing spondylitis;autoimmune hepatitis;chronic graft versus host disease;common variable immunodeficiency;cutaneous lupus erythematosus;follicular lymphoma;graft versus host disease;granulomatosis with polyangiitis;immune system disorder,Approved,ABATACEPT;BELATACEPT,immune system disorder;psoriatic arthritis;rheumatoid arthritis
ITGAV,3,ANTAGONIST;INHIBITOR,Inhibiting,ABITUZUMAB;CILENGITIDE;ETARACIZUMAB,acute myeloid leukemia;psoriasis vulgaris;rheumatoid arthritis;systemic sclerosis,Phase 3,CILENGITIDE,rheumatoid arthritis
ITGB1,3,ANTAGONIST;INHIBITOR,Inhibiting,ABITUZUMAB;FIRATEGRAST;NATALIZUMAB,Crohn disease;acute graft versus host disease;multiple sclerosis;plasma cell myeloma;relapsing-remitting multiple sclerosis;rheumatoid arthritis;systemic sclerosis,Approved,NATALIZUMAB,Crohn disease;multiple sclerosis;relapsing-remitting multiple sclerosis
ITGB3,3,ANTAGONIST;INHIBITOR,Inhibiting,ABITUZUMAB;CILENGITIDE;ETARACIZUMAB,acute myeloid leukemia;psoriasis vulgaris;rheumatoid arthritis;systemic sclerosis,Phase 3,CILENGITIDE,rheumatoid arthritis
HRH4,3,ANTAGONIST,Inhibiting,ADRIFORANT;TOREFORANT;UR-63325,allergic rhinitis;atopic eczema;psoriasis;psoriasis vulgaris;rheumatoid arthritis,Phase 2,ADRIFORANT;TOREFORANT;UR-63325,allergic rhinitis;atopic eczema;psoriasis;psoriasis vulgaris;rheumatoid arthritis
TLR8,3,ANTAGONIST;INHIBITOR,Inhibiting,AFIMETORAN;BAZLITORAN;ENPATORAN,Waldenstrom macroglobulinemia;cutaneous lupus erythematosus;diffuse large B-cell lymphoma;discoid lupus erythematosus;lupus erythematosus;psoriasis;rheumatoid arthritis;systemic lupus erythematosus,Phase 3,ENPATORAN,lupus erythematosus
EML4,3,INHIBITOR,Inhibiting,ALECTINIB;CRIZOTINIB;LORLATINIB,acute myeloid leukemia;plasma cell myeloma,Phase 2,ALECTINIB;CRIZOTINIB;LORLATINIB,acute myeloid leukemia;plasma cell myeloma
CDK7,3,INHIBITOR,Inhibiting,ALVOCIDIB;AT-7519;ZOTIRACICLIB,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;acute myeloid leukemia by FAB classification;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;mantle cell lymphoma;plasma cell myeloma;therapy related acute myeloid leukemia and myelodysplastic syndrome",Phase 3,ALVOCIDIB,B-cell chronic lymphocytic leukemia
EDNRA,3,ANTAGONIST,Inhibiting,AMBRISENTAN;BOSENTAN;MACITENTAN,systemic sclerosis,Approved,BOSENTAN,systemic sclerosis
EDNRB,3,ANTAGONIST,Inhibiting,AMBRISENTAN;BOSENTAN;MACITENTAN,systemic sclerosis,Approved,BOSENTAN,systemic sclerosis
LTB4R,3,ANTAGONIST;INHIBITOR,Inhibiting,AMELUBANT;CP-195543;NOMACOPAN,atopic conjunctivitis;bullous pemphigoid;rheumatoid arthritis,Phase 3,NOMACOPAN,bullous pemphigoid
IFNG,3,INHIBITOR,Inhibiting,AMG-811;EMAPALUMAB;FONTOLIZUMAB,Primary hemophagocytic lymphohistiocytosis;chronic granulomatous disease;discoid lupus erythematosus;hemophagocytic syndrome;immune system disorder;inflammatory bowel disease;macrophage activation syndrome;psoriasis;rheumatoid arthritis;systemic lupus erythematosus,Approved,EMAPALUMAB,Primary hemophagocytic lymphohistiocytosis
PLG,3,ACTIVATOR;AGONIST;ANTAGONIST;INHIBITOR,Mixed/Undetermined,AMINOCAPROIC ACID;DEFIBROTIDE;TRANEXAMIC ACID,Kawasaki disease;plasma cell myeloma;rheumatoid arthritis,Phase 2,AMINOCAPROIC ACID;DEFIBROTIDE;TRANEXAMIC ACID,Kawasaki disease;plasma cell myeloma;rheumatoid arthritis
F10,3,INHIBITOR,Inhibiting,APIXABAN;BEMIPARIN;RIVAROXABAN,antiphospholipid syndrome;autoimmune polyendocrinopathy;plasma cell myeloma;type 1 diabetes mellitus,Phase 3,BEMIPARIN;RIVAROXABAN,autoimmune polyendocrinopathy;type 1 diabetes mellitus
MMP13,3,INHIBITOR,Inhibiting,APRATASTAT;DOXYCYCLINE;DOXYCYCLINE HYCLATE,B-cell chronic lymphocytic leukemia;Burkitt lymphoma;Crohn disease;Crohn's colitis;Graves ophthalmopathy;Hailey-Hailey disease;MALT lymphoma;atopic eczema;bubonic plague;bullous pemphigoid;diffuse large B-cell lymphoma;follicular lymphoma,Phase 3,DOXYCYCLINE,Graves ophthalmopathy;lymphedema
GABBR1,3,AGONIST,Activating,ARBACLOFEN;ARBACLOFEN PLACARBIL;BACLOFEN,ataxia telangiectasia;multiple sclerosis,Approved,BACLOFEN,multiple sclerosis
GABBR2,3,AGONIST,Activating,ARBACLOFEN;ARBACLOFEN PLACARBIL;BACLOFEN,ataxia telangiectasia;multiple sclerosis,Approved,BACLOFEN,multiple sclerosis
CHRNA3,3,ANTAGONIST;MODULATOR;PARTIAL AGONIST,Inhibiting,ASM-024;LARAZOTIDE ACETATE;TRIMETHAPHAN,allergic asthma;celiac disease;myalgic encephalomeyelitis/chronic fatigue syndrome,Phase 2,ASM-024;LARAZOTIDE ACETATE,allergic asthma;celiac disease
CHRNB4,3,ANTAGONIST;MODULATOR;PARTIAL AGONIST,Inhibiting,ASM-024;LARAZOTIDE ACETATE;TRIMETHAPHAN,allergic asthma;celiac disease;myalgic encephalomeyelitis/chronic fatigue syndrome,Phase 2,ASM-024;LARAZOTIDE ACETATE,allergic asthma;celiac disease
IL1RAP,3,ANTAGONIST;INHIBITOR,Inhibiting,ASTEGOLIMAB;IMSIDOLIMAB;SPESOLIMAB,Crohn disease;Netherton syndrome;atopic eczema;generalized pustular psoriasis;immune system disorder;palmoplantar pustulosis;psoriasis;psoriasis vulgaris;pustular psoriasis;ulcerative colitis,Approved,SPESOLIMAB,immune system disorder;psoriasis;psoriasis vulgaris;pustular psoriasis
CCR5,3,ANTAGONIST;INHIBITOR,Inhibiting,AZD5672;HGS-1025;MARAVIROC,AIDS;graft versus host disease;rheumatoid arthritis;ulcerative colitis,Phase 3,MARAVIROC,AIDS
P2RX7,3,ANTAGONIST,Inhibiting,AZD9056;CE-224535;EVT401,rheumatoid arthritis,Phase 2,AZD9056;CE-224535,rheumatoid arthritis
ACE,3,INHIBITOR,Inhibiting,BENAZEPRIL HYDROCHLORIDE;CAPTOPRIL;RAMIPRIL,Henoch-Schoenlein purpura;myeloproliferative neoplasm;primary myelofibrosis;rheumatoid arthritis;systemic lupus erythematosus;type 1 diabetes mellitus,Phase 3,RAMIPRIL,rheumatoid arthritis;systemic lupus erythematosus;type 1 diabetes mellitus
CD37,3,BINDING AGENT;INHIBITOR,Inhibiting,BI-836826;NARATUXIMAB EMTANSINE;OTLERTUZUMAB,B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;diffuse large B-cell lymphoma,Phase 2,BI-836826;NARATUXIMAB EMTANSINE;OTLERTUZUMAB,B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;diffuse large B-cell lymphoma
TGFB2,3,BINDING AGENT;INHIBITOR,Inhibiting,BINTRAFUSP ALFA;FRESOLIMUMAB;LUSPATERCEPT,autoimmune hemolytic anemia;autoimmune thrombocytopenic purpura;myelofibrosis;primary myelofibrosis;scleroderma;systemic sclerosis;thymic carcinoma;thymoma,Phase 3,LUSPATERCEPT,myelofibrosis
TGFB3,3,BINDING AGENT;INHIBITOR,Inhibiting,BINTRAFUSP ALFA;FRESOLIMUMAB;LUSPATERCEPT,autoimmune hemolytic anemia;autoimmune thrombocytopenic purpura;myelofibrosis;primary myelofibrosis;scleroderma;systemic sclerosis;thymic carcinoma;thymoma,Phase 3,LUSPATERCEPT,myelofibrosis
IL12A,3,INHIBITOR,Inhibiting,BRIAKINUMAB;EBDAROKIMAB;USTEKINUMAB,Crohn disease;Netherton syndrome;Sjogren syndrome;ankylosing spondylitis;atopic eczema;bullous pemphigoid;common variable immunodeficiency;generalized pustular psoriasis;immune system disorder;inflammatory bowel disease;leukocyte adhesion deficiency 1;multiple sclerosis,Approved,BRIAKINUMAB;USTEKINUMAB,Crohn disease;immune system disorder;psoriasis;psoriasis vulgaris;psoriatic arthritis;ulcerative colitis
DRD3,3,AGONIST;ANTAGONIST;INVERSE AGONIST,Mixed/Undetermined,BROMOCRIPTINE;HALOPERIDOL;THIORIDAZINE,acute myeloid leukemia;rheumatic fever;type 1 diabetes mellitus,Phase 2,BROMOCRIPTINE,type 1 diabetes mellitus
DRD4,3,AGONIST;ANTAGONIST;INVERSE AGONIST,Mixed/Undetermined,BROMOCRIPTINE;HALOPERIDOL;THIORIDAZINE,acute myeloid leukemia;rheumatic fever;type 1 diabetes mellitus,Phase 2,BROMOCRIPTINE,type 1 diabetes mellitus
IL18,3,CROSS-LINKING AGENT;INHIBITOR,Inhibiting,CAMOTESKIMAB;GSK-1070806;TADEKINIG ALFA,B-cell non-Hodgkin lymphoma;Crohn disease;atopic eczema;hemophagocytic syndrome;plasma cell myeloma;rheumatoid arthritis,Phase 3,TADEKINIG ALFA,hemophagocytic syndrome
CNR1,3,AGONIST;NEGATIVE ALLOSTERIC MODULATOR,Mixed/Undetermined,CANNABIDIOL;DRONABINOL;NABILONE,22q11.2 deletion syndrome;Crohn disease;HIV wasting syndrome;acute graft versus host disease;atopic eczema;autoimmune hepatitis;graft versus host disease;inflammatory bowel disease;multiple sclerosis;plasma cell myeloma;psoriatic arthritis;rheumatoid arthritis,Phase 3,CANNABIDIOL;DRONABINOL,Crohn disease;atopic eczema;multiple sclerosis;systemic sclerosis
TPO,3,INHIBITOR,Inhibiting,CARBIMAZOLE;METHIMAZOLE;PROPYLTHIOURACIL,Graves disease;Graves ophthalmopathy;Hashimoto thyroiditis,Phase 3,CARBIMAZOLE;METHIMAZOLE;PROPYLTHIOURACIL,Graves disease;Graves ophthalmopathy;Hashimoto thyroiditis
HRH2,3,ANTAGONIST,Inhibiting,CIMETIDINE;FAMOTIDINE;RANITIDINE,atopic eczema;diffuse large B-cell lymphoma;hyper-IgE syndrome;rheumatoid arthritis,Approved,FAMOTIDINE,rheumatoid arthritis
TNFRSF10B,3,AGONIST,Activating,CONATUMUMAB;DROZITUMAB;DULANERMIN,diffuse large B-cell lymphoma;follicular lymphoma;mantle cell lymphoma,Phase 2,DROZITUMAB;DULANERMIN,follicular lymphoma
F2,3,ACTIVATOR;AGONIST;ANTAGONIST;INHIBITOR,Mixed/Undetermined,DABIGATRAN;DABIGATRAN ETEXILATE;DEFIBROTIDE,Kawasaki disease;antiphospholipid syndrome;plasma cell myeloma;scleroderma,Phase 2,DEFIBROTIDE,Kawasaki disease;plasma cell myeloma
SERPINC1,3,ACTIVATOR,Activating,DALTEPARIN SODIUM;ENOXAPARIN SODIUM;HEPARIN,anaphylaxis;plasma cell myeloma;type 1 diabetes mellitus,Phase 2,DALTEPARIN SODIUM;ENOXAPARIN SODIUM,plasma cell myeloma;type 1 diabetes mellitus
BLK,3,INHIBITOR,Inhibiting,DASATINIB ANHYDROUS;ILORASERTIB;XL-228,"B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute myeloid leukemia;blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia",Approved,DASATINIB ANHYDROUS,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive"
EPHA2,3,INHIBITOR,Inhibiting,DASATINIB ANHYDROUS;REGORAFENIB;VANDETANIB,"B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute myeloid leukemia;blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;myeloproliferative neoplasm",Approved,DASATINIB ANHYDROUS,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive"
FGR,3,INHIBITOR,Inhibiting,DASATINIB ANHYDROUS;ILORASERTIB;XL-228,"B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute myeloid leukemia;blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia",Approved,DASATINIB ANHYDROUS,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive"
FYN,3,INHIBITOR,Inhibiting,DASATINIB ANHYDROUS;ILORASERTIB;XL-228,"B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute myeloid leukemia;blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia",Approved,DASATINIB ANHYDROUS,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive"
SRMS,3,INHIBITOR,Inhibiting,DASATINIB ANHYDROUS;ILORASERTIB;XL-228,"B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute myeloid leukemia;blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia",Approved,DASATINIB ANHYDROUS,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive"
YES1,3,INHIBITOR,Inhibiting,DASATINIB ANHYDROUS;ILORASERTIB;XL-228,"B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;Waldenstrom macroglobulinemia;acquired polycythemia vera;acute myeloid leukemia;blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia",Approved,DASATINIB ANHYDROUS,"blast phase chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelogenous leukemia, BCR-ABL1 positive"
IL5,3,INHIBITOR,Inhibiting,DEPEMOKIMAB;MEPOLIZUMAB;RESLIZUMAB,allergic asthma;atopic eczema;bullous pemphigoid;eosinophilic granulomatosis with polyangiitis;granulomatosis with polyangiitis;hypereosinophilic syndrome,Approved,MEPOLIZUMAB,hypereosinophilic syndrome
PDE10A,3,ANTAGONIST;INHIBITOR,Inhibiting,DIPYRIDAMOLE;IBUDILAST;PENTOXIFYLLINE,AIDS;Castleman disease;inflammatory bowel disease;lymphedema;multiple sclerosis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis,Approved,IBUDILAST,Castleman disease
ALDH5A1,3,INHIBITOR,Inhibiting,DIVALPROEX SODIUM;VALPROATE SODIUM;VALPROIC ACID,"B-cell chronic lymphocytic leukemia;acute graft versus host disease;acute myeloid leukemia;autoimmune lymphoproliferative syndrome;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;rheumatic fever;scleroderma",Phase 2,DIVALPROEX SODIUM;VALPROIC ACID,"B-cell chronic lymphocytic leukemia;acute graft versus host disease;acute myeloid leukemia;autoimmune lymphoproliferative syndrome;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;scleroderma"
TIGIT,3,INHIBITOR,Inhibiting,DOMVANALIMAB;OCIPERLIMAB;TIRAGOLUMAB,diffuse large B-cell lymphoma;follicular lymphoma;plasma cell myeloma;thymic carcinoma;thymoma,Phase 2,DOMVANALIMAB;OCIPERLIMAB;TIRAGOLUMAB,diffuse large B-cell lymphoma;follicular lymphoma;plasma cell myeloma;thymic carcinoma;thymoma
GSK3B,3,INHIBITOR,Inhibiting,ELRAGLUSIB;LITHIUM CARBONATE;LY-2090314,"B-cell chronic lymphocytic leukemia;Niemann-Pick disease, type C1;acute myeloid leukemia;acute myeloid leukemia by FAB classification;graft versus host disease;multiple sclerosis;myelofibrosis;neutropenia",Phase 3,LITHIUM CARBONATE,neutropenia
IDH2,3,INHIBITOR,Inhibiting,ENASIDENIB;ENASIDENIB MESYLATE;VORASIDENIB,acute myeloid leukemia;acute myeloid leukemia by FAB classification;chronic myelomonocytic leukemia;myelofibrosis;myeloid leukemia;myeloproliferative neoplasm;plasma cell myeloma,Approved,ENASIDENIB MESYLATE,acute myeloid leukemia;acute myeloid leukemia by FAB classification
NTRK2,3,INHIBITOR,Inhibiting,ENTRECTINIB;LAROTRECTINIB;LESTAURTINIB,acquired polycythemia vera;acute myeloid leukemia;acute myeloid leukemia by FAB classification;essential thrombocythemia;myelofibrosis;myeloid leukemia;plasma cell myeloma;psoriasis;psoriasis vulgaris,Approved,LESTAURTINIB,acute myeloid leukemia by FAB classification
NTRK3,3,INHIBITOR,Inhibiting,ENTRECTINIB;LAROTRECTINIB;LESTAURTINIB,acquired polycythemia vera;acute myeloid leukemia;acute myeloid leukemia by FAB classification;essential thrombocythemia;myelofibrosis;myeloid leukemia;plasma cell myeloma;psoriasis;psoriasis vulgaris,Approved,LESTAURTINIB,acute myeloid leukemia by FAB classification
CTLA4,3,INHIBITOR,Inhibiting,ERFONRILIMAB;IPILIMUMAB;TREMELIMUMAB,"B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Crohn disease;acute myeloid leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;follicular lymphoma;mantle cell lymphoma;mixed phenotype acute leukemia;myelofibrosis;myeloid leukemia;myeloproliferative neoplasm",Phase 2,ERFONRILIMAB;IPILIMUMAB;TREMELIMUMAB,acute myeloid leukemia;diffuse large B-cell lymphoma;plasma cell myeloma;thymic carcinoma
IL33,3,BINDING AGENT;INHIBITOR,Inhibiting,ETOKIMAB;ITEPEKIMAB;TORUDOKIMAB,allergic asthma;atopic eczema;peanut allergic reaction,Phase 2,ETOKIMAB;ITEPEKIMAB;TORUDOKIMAB,atopic eczema;peanut allergic reaction
ICOS,3,AGONIST;INHIBITOR,Mixed/Undetermined,FELADILIMAB;MEDI-570;ROZIBAFUSP ALFA,plasma cell myeloma;rheumatoid arthritis;systemic lupus erythematosus,Phase 2,FELADILIMAB;ROZIBAFUSP ALFA,plasma cell myeloma;systemic lupus erythematosus
PPARA,3,AGONIST,Activating,FENOFIBRATE;LANIFIBRANOR;TESAGLITAZAR,plasma cell myeloma;scleroderma;systemic sclerosis;type 1 diabetes mellitus;ulcerative colitis,Phase 3,FENOFIBRATE;TESAGLITAZAR,type 1 diabetes mellitus;ulcerative colitis
NR3C2,3,AGONIST;ANTAGONIST,Mixed/Undetermined,FINERENONE;SPIRONOLACTONE;VAMOROLONE,acute myeloid leukemia;inflammatory bowel disease;multiple sclerosis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis,Phase 3,FINERENONE;SPIRONOLACTONE,rheumatoid arthritis;type 1 diabetes mellitus
PNP,3,INHIBITOR,Inhibiting,FORODESINE;FORODESINE HYDROCHLORIDE;ULODESINE,B-cell chronic lymphocytic leukemia;T-cell leukemia;precursor B-cell acute lymphoblastic leukemia;psoriasis vulgaris,Phase 2,FORODESINE;FORODESINE HYDROCHLORIDE;ULODESINE,B-cell chronic lymphocytic leukemia;T-cell leukemia;precursor B-cell acute lymphoblastic leukemia;psoriasis vulgaris
CACNA1C,3,BLOCKER;MODULATOR,Inhibiting,GABAPENTIN;PREGABALIN;VERAPAMIL,multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;type 1 diabetes mellitus,Phase 3,PREGABALIN;VERAPAMIL,multiple sclerosis;type 1 diabetes mellitus
CACNA1D,3,BLOCKER;MODULATOR,Inhibiting,GABAPENTIN;PREGABALIN;VERAPAMIL,multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;type 1 diabetes mellitus,Phase 3,PREGABALIN;VERAPAMIL,multiple sclerosis;type 1 diabetes mellitus
CACNA1F,3,BLOCKER;MODULATOR,Inhibiting,GABAPENTIN;PREGABALIN;VERAPAMIL,multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;type 1 diabetes mellitus,Phase 3,PREGABALIN;VERAPAMIL,multiple sclerosis;type 1 diabetes mellitus
CACNA1S,3,BLOCKER;MODULATOR,Inhibiting,GABAPENTIN;PREGABALIN;VERAPAMIL,multiple sclerosis;myalgic encephalomeyelitis/chronic fatigue syndrome;type 1 diabetes mellitus,Phase 3,PREGABALIN;VERAPAMIL,multiple sclerosis;type 1 diabetes mellitus
ABCC8,3,BLOCKER,Inhibiting,GLICLAZIDE;GLYBURIDE;REPAGLINIDE,latent autoimmune diabetes in adults;psoriasis;type 1 diabetes mellitus,Phase 3,GLYBURIDE,type 1 diabetes mellitus
EZH2,3,INHIBITOR,Inhibiting,GSK2816126;TAZEMETOSTAT;TAZEMETOSTAT HYDROBROMIDE,B-cell non-Hodgkin lymphoma;acute myeloid leukemia;diffuse large B-cell lymphoma;follicular lymphoma;mantle cell lymphoma;plasma cell myeloma,Approved,TAZEMETOSTAT;TAZEMETOSTAT HYDROBROMIDE,follicular lymphoma
PTGIR,3,AGONIST,Activating,ILOPROST;TREPROSTINIL;TREPROSTINIL DIOLAMINE,scleroderma;systemic sclerosis,Phase 2,ILOPROST;TREPROSTINIL;TREPROSTINIL DIOLAMINE,scleroderma;systemic sclerosis
PRKCA,3,INHIBITOR,Inhibiting,MIDOSTAURIN;SOTRASTAURIN;UCN-01,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;acute myeloid leukemia by FAB classification;aggressive systemic mastocytosis;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia;mast cell leukemia;mast cell sarcoma;mastocytosis;myeloid leukemia;myeloid sarcoma",Approved,MIDOSTAURIN,acute myeloid leukemia;acute myeloid leukemia by FAB classification;mast cell leukemia;mastocytosis;systemic mastocytosis
PRKCD,3,INHIBITOR,Inhibiting,MIDOSTAURIN;SOTRASTAURIN;UCN-01,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;acute myeloid leukemia by FAB classification;aggressive systemic mastocytosis;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia;mast cell leukemia;mast cell sarcoma;mastocytosis;myeloid leukemia;myeloid sarcoma",Approved,MIDOSTAURIN,acute myeloid leukemia;acute myeloid leukemia by FAB classification;mast cell leukemia;mastocytosis;systemic mastocytosis
PRKCE,3,INHIBITOR,Inhibiting,MIDOSTAURIN;SOTRASTAURIN;UCN-01,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;acute myeloid leukemia by FAB classification;aggressive systemic mastocytosis;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia;mast cell leukemia;mast cell sarcoma;mastocytosis;myeloid leukemia;myeloid sarcoma",Approved,MIDOSTAURIN,acute myeloid leukemia;acute myeloid leukemia by FAB classification;mast cell leukemia;mastocytosis;systemic mastocytosis
PRKCG,3,INHIBITOR,Inhibiting,MIDOSTAURIN;SOTRASTAURIN;UCN-01,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;acute myeloid leukemia by FAB classification;aggressive systemic mastocytosis;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia;mast cell leukemia;mast cell sarcoma;mastocytosis;myeloid leukemia;myeloid sarcoma",Approved,MIDOSTAURIN,acute myeloid leukemia;acute myeloid leukemia by FAB classification;mast cell leukemia;mastocytosis;systemic mastocytosis
PRKCH,3,INHIBITOR,Inhibiting,MIDOSTAURIN;SOTRASTAURIN;UCN-01,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;acute myeloid leukemia by FAB classification;aggressive systemic mastocytosis;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia;mast cell leukemia;mast cell sarcoma;mastocytosis;myeloid leukemia;myeloid sarcoma",Approved,MIDOSTAURIN,acute myeloid leukemia;acute myeloid leukemia by FAB classification;mast cell leukemia;mastocytosis;systemic mastocytosis
PRKCI,3,INHIBITOR,Inhibiting,MIDOSTAURIN;SOTRASTAURIN;UCN-01,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;acute myeloid leukemia by FAB classification;aggressive systemic mastocytosis;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia;mast cell leukemia;mast cell sarcoma;mastocytosis;myeloid leukemia;myeloid sarcoma",Approved,MIDOSTAURIN,acute myeloid leukemia;acute myeloid leukemia by FAB classification;mast cell leukemia;mastocytosis;systemic mastocytosis
PRKCQ,3,INHIBITOR,Inhibiting,MIDOSTAURIN;SOTRASTAURIN;UCN-01,"B-cell chronic lymphocytic leukemia;acute myeloid leukemia;acute myeloid leukemia by FAB classification;aggressive systemic mastocytosis;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;juvenile myelomonocytic leukemia;mast cell leukemia;mast cell sarcoma;mastocytosis;myeloid leukemia;myeloid sarcoma",Approved,MIDOSTAURIN,acute myeloid leukemia;acute myeloid leukemia by FAB classification;mast cell leukemia;mastocytosis;systemic mastocytosis
