gene_target,n_drugs,action_types,action_types_3cat,drugs,immune_indications,furthest_stage,furthest_stage_drugs,furthest_stage_indications
POLE3,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
PRIM1,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
PRIM2,7,INHIBITOR,Inhibiting,ASPACYTARABINE;CLOFARABINE;CYTARABINE;FLUDARABINE PHOSPHATE;GEMCITABINE;GEMCITABINE HYDROCHLORIDE;TROXACITABINE,B-cell acute lymphoblastic leukemia;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;B-cell prolymphocytic leukemia;Burkitt lymphoma;Crohn disease;Fanconi anemia;Langerhans cell histiocytosis;POEMS syndrome;T-cell acute lymphoblastic leukemia,Approved,CYTARABINE;FLUDARABINE PHOSPHATE,B-cell chronic lymphocytic leukemia;acute myeloid leukemia
TNFSF13B,7,INHIBITOR,Inhibiting,ATACICEPT;BELIMUMAB;BLISIBIMOD;BRIOBACEPT;ROZIBAFUSP ALFA;TABALUMAB;TIBULIZUMAB,B-cell chronic lymphocytic leukemia;Sjogren syndrome;Waldenstrom macroglobulinemia;autoimmune hepatitis;autoimmune polyendocrinopathy;autoimmune thrombocytopenic purpura;chronic graft versus host disease;granulomatosis with polyangiitis;hypersensitivity reaction disease;lupus erythematosus;lymphopenia;multiple sclerosis,Approved,BELIMUMAB,systemic lupus erythematosus
HSP90AA1,7,INHIBITOR,Inhibiting,BIIB021;GANETESPIB;LUMINESPIB;ONALESPIB;RETASPIMYCIN HYDROCHLORIDE;SNX 5422;TANESPIMYCIN,"B-cell chronic lymphocytic leukemia;acquired polycythemia vera;acute myeloid leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelomonocytic leukemia;diffuse large B-cell lymphoma;essential thrombocythemia;mantle cell lymphoma;plasma cell myeloma;primary myelofibrosis;systemic mastocytosis",Phase 3,TANESPIMYCIN,plasma cell myeloma
HSP90AB1,7,INHIBITOR,Inhibiting,BIIB021;GANETESPIB;LUMINESPIB;ONALESPIB;RETASPIMYCIN HYDROCHLORIDE;SNX 5422;TANESPIMYCIN,"B-cell chronic lymphocytic leukemia;acquired polycythemia vera;acute myeloid leukemia;chronic myelogenous leukemia, BCR-ABL1 positive;chronic myelomonocytic leukemia;diffuse large B-cell lymphoma;essential thrombocythemia;mantle cell lymphoma;plasma cell myeloma;primary myelofibrosis;systemic mastocytosis",Phase 3,TANESPIMYCIN,plasma cell myeloma
CD22,7,BINDING AGENT;INHIBITOR,Inhibiting,BL22;EPRATUZUMAB;INOTUZUMAB OZOGAMICIN;MONO-DGA-RFB4;MOXETUMOMAB PASUDOTOX;PINATUZUMAB VEDOTIN;YTTRIUM Y 90 EPRATUZUMAB TETRAXETAN,"B-cell acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Sjogren syndrome;Waldenstrom macroglobulinemia;chronic myelogenous leukemia, BCR-ABL1 positive;diffuse large B-cell lymphoma;follicular lymphoma;hairy cell leukemia;mantle cell lymphoma;mixed phenotype acute leukemia;precursor B-cell acute lymphoblastic leukemia",Approved,INOTUZUMAB OZOGAMICIN;MOXETUMOMAB PASUDOTOX,B-cell acute lymphoblastic leukemia;hairy cell leukemia
PSMA1,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMA2,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
PSMA3,7,INHIBITOR,Inhibiting,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE;MARIZOMIB;OPROZOMIB,AIDS;B-cell adult acute lymphocytic leukemia;B-cell childhood acute lymphoblastic leukemia;B-cell chronic lymphocytic leukemia;B-cell non-Hodgkin lymphoma;Burkitt lymphoma;Evans syndrome;MALT lymphoma;POEMS syndrome;T-cell acute lymphoblastic leukemia;T-cell adult acute lymphocytic leukemia;T-cell prolymphocytic leukemia,Approved,BORTEZOMIB;BORTEZOMIB D-MANNITOL;CARFILZOMIB;IXAZOMIB;IXAZOMIB CITRATE,mantle cell lymphoma;plasma cell myeloma
