drug,chembl_id,drug_type,gene_target,action_type,moa,immune_indication,disease_id,drug_stage_for_immune_indication,ot_approved_immune
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,graft versus host disease,MONDO_0013730,Phase 2,0
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,hemophagocytic syndrome,MONDO_0015540,Unknown,0
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,multiple sclerosis,MONDO_0005301,Phase 2,0
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,perennial allergic rhinitis,MONDO_0024332,Unknown,0
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,peritonsillar abscess,MONDO_0005906,Unknown,0
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,plasma cell myeloma,MONDO_0009693,Phase 3,0
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,psoriasis,MONDO_0005083,Unknown,0
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,rheumatoid arthritis,MONDO_0008383,Approved,1
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,systemic lupus erythematosus,MONDO_0007915,Phase 2,0
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,type III hypersensitivity disease,MONDO_0007004,Approved,1
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,ulcerative colitis,MONDO_0005101,Unknown,0
METHYLPREDNISOLONE ACETATE,CHEMBL1364144,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,vitiligo,MONDO_0008661,Phase 3,0
METHYLPREDNISOLONE HEMISUCCINATE,CHEMBL1201265,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,multiple sclerosis,MONDO_0005301,Phase 2,0
METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,acute graft versus host disease,MONDO_0020546,Phase 2,0
METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,acute myeloid leukemia,MONDO_0018874,Phase 3,0
METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,graft versus host disease,MONDO_0013730,Phase 2,0
METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,inflammatory bowel disease,MONDO_0005265,Unknown,0
METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,multiple sclerosis,MONDO_0005301,Approved,1
METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,rheumatoid arthritis,MONDO_0008383,Approved,1
METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,type III hypersensitivity disease,MONDO_0007004,Approved,1
METHYLPREDNISOLONE SODIUM SUCCINATE,CHEMBL1201081,Small molecule,NR3C1,AGONIST,Glucocorticoid receptor agonist,ulcerative colitis,MONDO_0005101,Unknown,0
METHYLPROMAZINE,CHEMBL829,Small molecule,HRH1,ANTAGONIST,Histamine H1 receptor antagonist,allergic disease,MONDO_0005271,Approved,1
METHYLPROMAZINE,CHEMBL829,Small molecule,HRH1,ANTAGONIST,Histamine H1 receptor antagonist,allergic rhinitis,MONDO_0011786,Approved,1
METOCLOPRAMIDE,CHEMBL86,Small molecule,DRD2;HTR3A;HTR4,AGONIST;ANTAGONIST,Dopamine D2 receptor antagonist;Serotonin 3a (5-HT3a) receptor antagonist;Serotonin 4 (5-HT4) receptor agonist,type 1 diabetes mellitus,MONDO_0005147,Phase 3,0
METOPROLOL,CHEMBL13,Small molecule,ADRB1,ANTAGONIST,Beta-1 adrenergic receptor antagonist,anaphylaxis,MONDO_0100053,Unknown,0
METOPROLOL,CHEMBL13,Small molecule,ADRB1,ANTAGONIST,Beta-1 adrenergic receptor antagonist,atopic eczema,MONDO_0004980,Phase 1,0
METRELEPTIN,CHEMBL2107857,Protein,LEPR,AGONIST,Leptin receptor agonist,type 1 diabetes mellitus,MONDO_0005147,Phase 1,0
METYROSINE,CHEMBL1200862,Small molecule,TH,INHIBITOR,Tyrosine 3-hydroxylase inhibitor,22q11.2 deletion syndrome,MONDO_0018923,Phase 2,0
MEZAGITAMAB,CHEMBL4297833,Antibody,CD38,BINDING AGENT,Lymphocyte differentiation antigen CD38 binding agent,autoimmune disease,MONDO_0007179,Unknown,0
MEZAGITAMAB,CHEMBL4297833,Antibody,CD38,BINDING AGENT,Lymphocyte differentiation antigen CD38 binding agent,autoimmune thrombocytopenic purpura,MONDO_0008558,Phase 3,0
MEZAGITAMAB,CHEMBL4297833,Antibody,CD38,BINDING AGENT,Lymphocyte differentiation antigen CD38 binding agent,myasthenia gravis,MONDO_0009688,Phase 2,0
MEZAGITAMAB,CHEMBL4297833,Antibody,CD38,BINDING AGENT,Lymphocyte differentiation antigen CD38 binding agent,plasma cell myeloma,MONDO_0009693,Phase 2,0
MEZAGITAMAB,CHEMBL4297833,Antibody,CD38,BINDING AGENT,Lymphocyte differentiation antigen CD38 binding agent,systemic lupus erythematosus,MONDO_0007915,Phase 1,0
MIDAZOLAM,CHEMBL655,Small molecule,GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,acute myeloid leukemia,MONDO_0018874,Phase 2,0
MIDAZOLAM,CHEMBL655,Small molecule,GABRA1;GABRA2;GABRA3;GABRA4;GABRA5;GABRA6;GABRB1;GABRB2;GABRB3;GABRD;GABRE;GABRG1;GABRG2;GABRG3;GABRP;GABRQ,POSITIVE ALLOSTERIC MODULATOR,GABA-A receptor; anion channel positive allosteric modulator,atopic eczema,MONDO_0004980,Phase 1,0
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,acute myeloid leukemia,MONDO_0018874,Approved,1
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,acute myeloid leukemia by FAB classification,MONDO_0015667,Approved,1
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,aggressive systemic mastocytosis,MONDO_0020333,Phase 2,0
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO_0011996,Phase 2,0
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,juvenile myelomonocytic leukemia,MONDO_0011908,Phase 2,0
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,mast cell leukemia,MONDO_0020334,Approved,1
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,mast cell sarcoma,MONDO_0019024,Unknown,0
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,mastocytosis,MONDO_0007950,Approved,1
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,myeloid leukemia,MONDO_0004643,Phase 2,0
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,myeloid sarcoma,MONDO_0006861,Phase 2,0
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,systemic mastocytosis,MONDO_0016586,Approved,1
MIDOSTAURIN,CHEMBL608533,Small molecule,FLT3;KDR;KIT;PDGFRA;PDGFRB;PRKCA;PRKCB;PRKCD;PRKCE;PRKCG;PRKCH;PRKCI;PRKCQ;PRKCZ;PRKD1;PRKD3,INHIBITOR,Platelet-derived growth factor receptor inhibitor;Protein kinase C (PKC) inhibitor;Stem cell growth factor receptor inhibitor;Tyrosine-protein kinase receptor FLT3 inhibitor;Vascular endothelial growth factor receptor 2 inhibitor,systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease,MONDO_0020332,Phase 2,0
MIGLITOL,CHEMBL1561,Small molecule,GAA;MGAM,INHIBITOR,Lysosomal alpha-glucosidase inhibitor;Maltase-glucoamylase inhibitor,type 1 diabetes mellitus,MONDO_0005147,Phase 3,0
MIGLUSTAT,CHEMBL1029,Small molecule,UGCG,INHIBITOR,Ceramide glucosyltransferase inhibitor,AIDS,MONDO_0012268,Phase 1,0
MIGLUSTAT,CHEMBL1029,Small molecule,UGCG,INHIBITOR,Ceramide glucosyltransferase inhibitor,Niemann-Pick disease,MONDO_0001982,Approved,1
MIGLUSTAT,CHEMBL1029,Small molecule,UGCG,INHIBITOR,Ceramide glucosyltransferase inhibitor,Niemann-Pick disease type C,MONDO_0018982,Approved,1
MIK-BETA-1,CHEMBL2109326,Unknown,IL2RB,INHIBITOR,Interleukin-2 receptor beta chain inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 1,0
MILATUZUMAB,CHEMBL1743040,Antibody,CD74,ANTAGONIST,HLA-DR antigens-associated invariant chain antagonist,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 2,0
MILATUZUMAB,CHEMBL1743040,Antibody,CD74,ANTAGONIST,HLA-DR antigens-associated invariant chain antagonist,lupus erythematosus,MONDO_0004670,Phase 1,0
MILATUZUMAB,CHEMBL1743040,Antibody,CD74,ANTAGONIST,HLA-DR antigens-associated invariant chain antagonist,plasma cell myeloma,MONDO_0009693,Phase 2,0
MILATUZUMAB,CHEMBL1743040,Antibody,CD74,ANTAGONIST,HLA-DR antigens-associated invariant chain antagonist,systemic lupus erythematosus,MONDO_0007915,Phase 1,0
MILCICLIB,CHEMBL564829,Small molecule,CDK1;CDK2;CDK4;NTRK1,INHIBITOR,Cyclin-dependent kinase 1 inhibitor;Cyclin-dependent kinase 2 inhibitor;Cyclin-dependent kinase 4 inhibitor;Nerve growth factor receptor Trk-A inhibitor,thymic carcinoma,MONDO_0006451,Phase 2,0
MILCICLIB,CHEMBL564829,Small molecule,CDK1;CDK2;CDK4;NTRK1,INHIBITOR,Cyclin-dependent kinase 1 inhibitor;Cyclin-dependent kinase 2 inhibitor;Cyclin-dependent kinase 4 inhibitor;Nerve growth factor receptor Trk-A inhibitor,thymoma,MONDO_0006456,Phase 2,0
MINOXIDIL,CHEMBL802,Small molecule,ABCC9;KCNJ11,OPENER,"Sulfonylurea receptor 2, Kir6.2 opener",vitiligo,MONDO_0008661,Phase 2,0
MIRABEGRON,CHEMBL2095212,Small molecule,ADRB3,AGONIST,Beta-3 adrenergic receptor agonist,acquired polycythemia vera,MONDO_0009891,Phase 2,0
MIRABEGRON,CHEMBL2095212,Small molecule,ADRB3,AGONIST,Beta-3 adrenergic receptor agonist,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
MIRABEGRON,CHEMBL2095212,Small molecule,ADRB3,AGONIST,Beta-3 adrenergic receptor agonist,essential thrombocythemia,MONDO_0005029,Phase 2,0
MIRABEGRON,CHEMBL2095212,Small molecule,ADRB3,AGONIST,Beta-3 adrenergic receptor agonist,myeloproliferative neoplasm,MONDO_0020076,Phase 2,0
MIRABEGRON,CHEMBL2095212,Small molecule,ADRB3,AGONIST,Beta-3 adrenergic receptor agonist,primary myelofibrosis,MONDO_0009692,Phase 2,0
MIRDAMETINIB,CHEMBL507361,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 2,0
MIRDAMETINIB,CHEMBL507361,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,Langerhans cell histiocytosis,MONDO_0018310,Phase 2,0
MIRDAMETINIB,CHEMBL507361,Small molecule,MAP2K1;MAP2K2,INHIBITOR,Dual specificity mitogen-activated protein kinase kinase 1 inhibitor;Dual specificity mitogen-activated protein kinase kinase 2 inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
MIRIDESAP,CHEMBL25263,Small molecule,APCS,CROSS-LINKING AGENT,Serum amyloid P-component cross-linking agent,AIDS,MONDO_0012268,Phase 2,0
MIRIKIZUMAB,CHEMBL3990014,Antibody,IL12B;IL23A,INHIBITOR,Interleukin-23 inhibitor,Crohn disease,MONDO_0005011,Approved,1
MIRIKIZUMAB,CHEMBL3990014,Antibody,IL12B;IL23A,INHIBITOR,Interleukin-23 inhibitor,immune system disorder,MONDO_0005046,Approved,1
MIRIKIZUMAB,CHEMBL3990014,Antibody,IL12B;IL23A,INHIBITOR,Interleukin-23 inhibitor,psoriasis,MONDO_0005083,Phase 2,0
MIRIKIZUMAB,CHEMBL3990014,Antibody,IL12B;IL23A,INHIBITOR,Interleukin-23 inhibitor,psoriasis vulgaris,EFO_1001494,Phase 3,0
MIRIKIZUMAB,CHEMBL3990014,Antibody,IL12B;IL23A,INHIBITOR,Interleukin-23 inhibitor,ulcerative colitis,MONDO_0005101,Approved,1
MIRTAZAPINE,CHEMBL654,Small molecule,ADRA2A;ADRA2B;ADRA2C;HTR2A;HTR2C,ANTAGONIST,Adrenergic receptor alpha-2 antagonist;Serotonin 2a (5-HT2a) receptor antagonist;Serotonin 2c (5-HT2c) receptor antagonist,inflammatory bowel disease,MONDO_0005265,Phase 2,0
MISOPROSTOL,CHEMBL606,Small molecule,PTGER3,AGONIST,Prostanoid EP3 receptor agonist,rheumatoid arthritis,MONDO_0008383,Approved,1
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 2,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,T-cell prolymphocytic leukemia,MONDO_0019468,Phase 2,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,acute monocytic leukemia,MONDO_0007896,Phase 3,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 3,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,acute myeloid leukemia by FAB classification,MONDO_0015667,Phase 3,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,"chronic myelogenous leukemia, BCR-ABL1 positive",MONDO_0011996,Phase 3,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,chronic myelomonocytic leukemia,MONDO_0020311,Phase 1,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 3,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,follicular lymphoma,MONDO_0018906,Phase 3,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,hemophagocytic syndrome,MONDO_0015540,Phase 2,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,juvenile myelomonocytic leukemia,MONDO_0011908,Phase 2,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,lymphoplasmacytic lymphoma,MONDO_0000432,Phase 3,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,mantle cell lymphoma,MONDO_0018876,Phase 3,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,multiple sclerosis,MONDO_0005301,Phase 3,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,myeloid leukemia,MONDO_0004643,Phase 2,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,myeloid sarcoma,MONDO_0006861,Phase 2,0
MITOXANTRONE,CHEMBL58,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,B-cell acute lymphoblastic leukemia,MONDO_0004947,Phase 3,0
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 3,0
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 3,0
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,acute promyelocytic leukemia,MONDO_0012883,Phase 3,0
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,granulocytic sarcoma,MONDO_0006237,Phase 1,0
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,multiple sclerosis,MONDO_0005301,Approved,1
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,myeloid sarcoma,MONDO_0006861,Phase 1,0
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,plasma cell myeloma,MONDO_0009693,Phase 2,0
MITOXANTRONE HYDROCHLORIDE,CHEMBL1417019,Small molecule,TOP2A,INHIBITOR,DNA topoisomerase II alpha inhibitor,precursor B-cell acute lymphoblastic leukemia,MONDO_0020511,Phase 2,0
MIVAVOTINIB,CHEMBL3979920,Small molecule,SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 1,0
MIVAVOTINIB,CHEMBL3979920,Small molecule,SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
MIVAVOTINIB,CHEMBL3979920,Small molecule,SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
MIVAVOTINIB,CHEMBL3979920,Small molecule,SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,mantle cell lymphoma,MONDO_0018876,Phase 1,0
MIVAVOTINIB CITRATE,CHEMBL4594253,Small molecule,SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
MIVAVOTINIB CITRATE,CHEMBL4594253,Small molecule,SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
MIVAVOTINIB CITRATE,CHEMBL4594253,Small molecule,SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,follicular lymphoma,MONDO_0018906,Phase 1,0
MIVAVOTINIB CITRATE,CHEMBL4594253,Small molecule,SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,mantle cell lymphoma,MONDO_0018876,Phase 1,0
MIVAVOTINIB CITRATE,CHEMBL4594253,Small molecule,SYK,INHIBITOR,Tyrosine-protein kinase SYK inhibitor,marginal zone lymphoma,MONDO_0017604,Phase 1,0
MIZOLASTINE,CHEMBL94454,Small molecule,HRH1,ANTAGONIST,Histamine H1 receptor antagonist,allergic disease,MONDO_0005271,Approved,1
MIZOLASTINE,CHEMBL94454,Small molecule,HRH1,ANTAGONIST,Histamine H1 receptor antagonist,allergic rhinitis,MONDO_0011786,Approved,1
MIZORIBINE,CHEMBL245019,Small molecule,GMPS;IMPDH1;IMPDH2,INHIBITOR,GMP synthase [glutamine-hydrolyzing] inhibitor;Inosine-5'-monophosphate dehydrogenase (IMPDH) inhibitor,rheumatoid arthritis,MONDO_0008383,Phase 3,0
MK-0812,CHEMBL3305901,Small molecule,CCR2,ANTAGONIST,C-C chemokine receptor type 2 antagonist,multiple sclerosis,MONDO_0005301,Phase 2,0
MK-0873,CHEMBL485629,Small molecule,PDE4A;PDE4B;PDE4C;PDE4D,INHIBITOR,Phosphodiesterase 4 inhibitor,psoriasis,MONDO_0005083,Phase 1,0
MK-0873,CHEMBL485629,Small molecule,PDE4A;PDE4B;PDE4C;PDE4D,INHIBITOR,Phosphodiesterase 4 inhibitor,psoriasis vulgaris,EFO_1001494,Phase 2,0
MK-0873,CHEMBL485629,Small molecule,PDE4A;PDE4B;PDE4C;PDE4D,INHIBITOR,Phosphodiesterase 4 inhibitor,rheumatoid arthritis,MONDO_0008383,Phase 2,0
MK-2206,CHEMBL1079175,Small molecule,AKT1;AKT2;AKT3,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 2,0
MK-2206,CHEMBL1079175,Small molecule,AKT1;AKT2;AKT3,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor,acute myeloid leukemia,MONDO_0018874,Phase 2,0
MK-2206,CHEMBL1079175,Small molecule,AKT1;AKT2;AKT3,INHIBITOR,Serine/threonine-protein kinase AKT inhibitor,diffuse large B-cell lymphoma,MONDO_0018905,Phase 2,0
MLN3126,CHEMBL3545268,Unknown,CCR9,ANTAGONIST,C-C chemokine receptor type 9 antagonist,Sjogren syndrome,MONDO_0010030,Phase 1,0
MOCETINOSTAT,CHEMBL272980,Small molecule,HDAC1;HDAC11;HDAC2;HDAC3;HDAC8,INHIBITOR,Histone deacetylase 1 inhibitor;Histone deacetylase 11 inhibitor;Histone deacetylase 2 inhibitor;Histone deacetylase 3 inhibitor;Histone deacetylase 8 inhibitor,B-cell chronic lymphocytic leukemia,MONDO_0004948,Phase 2,0
