gene,subset,neglog10_adjp,group
ADPRM,Th1,5.540375732814527e-05,other
ADPRS,Th1,5.540375732814527e-05,other
ADRA1B,Th1,5.540375732814527e-05,approved
ADRB2,Th1,0.1409080702452193,approved
ADSL,Th1,5.540375732814527e-05,other
ADSS1,Th1,5.540375732814527e-05,other
ADSS2,Th1,5.540375732814527e-05,other
ADTRP,Th1,5.540375732814527e-05,other
AEBP1,Th1,5.540375732814527e-05,other
AEBP2,Th1,0.0277488538803565,other
AFAP1,Th1,5.540375732814527e-05,other
AFAP1L2,Th1,5.540375732814527e-05,other
AFDN,Th1,5.540375732814527e-05,other
AFF1,Th1,5.540375732814527e-05,other
AFF2,Th1,5.540375732814527e-05,other
AFF3,Th1,5.540375732814527e-05,other
AFF4,Th1,5.540375732814527e-05,other
AFG3L2,Th1,5.540375732814527e-05,other
AGA,Th1,5.540375732814527e-05,other
AGAP2,Th1,5.540375732814527e-05,other
AGAP3,Th1,5.540375732814527e-05,other
AGBL4,Th1,5.540375732814527e-05,other
AGBL5,Th1,5.540375732814527e-05,other
AGER,Th1,5.540375732814527e-05,other
AGFG1,Th1,5.540375732814527e-05,other
AGFG2,Th1,5.540375732814527e-05,other
AGK,Th1,5.540375732814527e-05,other
AGMAT,Th1,5.540375732814527e-05,other
AGO2,Th1,5.540375732814527e-05,other
AGO3,Th1,5.540375732814527e-05,other
AGO4,Th1,5.540375732814527e-05,other
AGPAT1,Th1,5.540375732814527e-05,other
AGPAT2,Th1,5.540375732814527e-05,other
AGPAT3,Th1,5.540375732814527e-05,other
AGPAT4,Th1,5.540375732814527e-05,other
AGPAT5,Th1,5.540375732814527e-05,other
AGPS,Th1,5.540375732814527e-05,other
AGRN,Th1,5.540375732814527e-05,other
AGRP,Th1,5.540375732814527e-05,other
AGTPBP1,Th1,5.540375732814527e-05,other
AGTRAP,Th1,5.540375732814527e-05,other
AHCTF1,Th1,5.540375732814527e-05,other
AHCY,Th1,5.540375732814527e-05,other
AHCYL1,Th1,5.540375732814527e-05,other
AHCYL2,Th1,5.540375732814527e-05,other
AHDC1,Th1,5.540375732814527e-05,other
AHI1,Th1,1.8353852744712231,other
AHNAK,Th1,5.540375732814527e-05,other
AHR,Th1,5.540375732814527e-05,approved
AHRR,Th1,5.540375732814527e-05,other
AHSA1,Th1,5.540375732814527e-05,other
AICDA,Th1,5.540375732814527e-05,other
AIF1,Th1,5.540375732814527e-05,other
AIF1L,Th1,5.540375732814527e-05,other
AIFM1,Th1,5.540375732814527e-05,other
AIFM2,Th1,5.540375732814527e-05,other
AIG1,Th1,5.540375732814527e-05,other
AIM2,Th1,5.540375732814527e-05,other
AIMP1,Th1,5.540375732814527e-05,other
AIMP2,Th1,5.540375732814527e-05,other
AIRE,Th1,5.540375732814527e-05,other
AJAP1,Th1,5.540375732814527e-05,other
AJM1,Th1,5.540375732814527e-05,other
AJUBA,Th1,5.540375732814527e-05,other
AK1,Th1,5.540375732814527e-05,other
AK4,Th1,5.540375732814527e-05,other
AK5,Th1,5.540375732814527e-05,other
AK6,Th1,5.540375732814527e-05,other
AK7,Th1,5.540375732814527e-05,other
AK8,Th1,5.540375732814527e-05,other
AKAP1,Th1,5.540375732814527e-05,other
AKAP12,Th1,5.540375732814527e-05,other
AKAP13,Th1,5.540375732814527e-05,other
AKAP3,Th1,5.540375732814527e-05,other
AKAP5,Th1,5.540375732814527e-05,other
AKAP9,Th1,5.540375732814527e-05,other
AKIP1,Th1,5.540375732814527e-05,other
AKIRIN2,Th1,5.540375732814527e-05,other
AKNA,Th1,5.540375732814527e-05,other
AKR1A1,Th1,5.540375732814527e-05,other
AKR1B1,Th1,0.0016732226980669,other
AKR1C3,Th1,5.540375732814527e-05,other
