gene,condition,n_sig,group
TBC1D16,Rest,0,other
TBC1D16,Stim48hr,0,other
TBC1D16,Stim8hr,0,other
TBC1D17,Rest,0,other
TBC1D17,Stim48hr,0,other
TBC1D17,Stim8hr,0,other
TBC1D19,Rest,0,other
TBC1D19,Stim48hr,0,other
TBC1D19,Stim8hr,0,other
TBC1D2,Rest,0,other
TBC1D2,Stim48hr,0,other
TBC1D2,Stim8hr,0,other
TBC1D20,Rest,0,other
TBC1D20,Stim48hr,0,other
TBC1D20,Stim8hr,0,other
TBC1D22A,Rest,0,other
TBC1D22A,Stim48hr,0,other
TBC1D22A,Stim8hr,0,other
TBC1D22B,Rest,0,other
TBC1D22B,Stim48hr,0,other
TBC1D22B,Stim8hr,0,other
TBC1D23,Rest,0,other
TBC1D23,Stim48hr,0,other
TBC1D23,Stim8hr,0,other
TBC1D24,Rest,0,other
TBC1D24,Stim48hr,0,other
TBC1D24,Stim8hr,0,other
TBC1D25,Rest,0,other
TBC1D25,Stim48hr,0,other
TBC1D25,Stim8hr,0,other
TBC1D2B,Rest,0,other
TBC1D2B,Stim48hr,0,other
TBC1D2B,Stim8hr,0,other
TBC1D31,Rest,0,other
TBC1D31,Stim48hr,0,other
TBC1D31,Stim8hr,0,other
TBC1D32,Rest,0,other
TBC1D32,Stim48hr,0,other
TBC1D32,Stim8hr,0,other
TBC1D3B,Rest,0,other
TBC1D3B,Stim48hr,0,other
TBC1D3B,Stim8hr,0,other
TBC1D3L,Rest,0,other
TBC1D3L,Stim48hr,0,other
TBC1D3L,Stim8hr,0,other
TBC1D4,Rest,0,other
TBC1D4,Stim48hr,0,other
TBC1D4,Stim8hr,0,other
TBC1D5,Rest,0,other
TBC1D5,Stim48hr,0,other
TBC1D5,Stim8hr,0,other
TBC1D7,Rest,0,other
TBC1D7,Stim48hr,0,other
TBC1D7,Stim8hr,0,other
TBC1D8,Rest,0,other
TBC1D8,Stim48hr,0,other
TBC1D8,Stim8hr,0,other
TBC1D9B,Rest,0,other
TBC1D9B,Stim48hr,0,other
TBC1D9B,Stim8hr,0,other
TBCA,Rest,2,other
TBCA,Stim48hr,1,other
TBCA,Stim8hr,0,other
TBCCD1,Rest,0,other
TBCCD1,Stim48hr,0,other
TBCCD1,Stim8hr,0,other
TBCEL,Rest,0,other
TBCEL,Stim48hr,1,other
