genetic,fg,n,rho,p,shared_var_pct
gene_burden_score,zscore_Th2,9944,-0.011193195869122805,0.2643897178606829,0.01252876337645478
gene_burden_score,zscore_Th17,9949,-0.021976589262590468,0.02837683380315465,0.048297047561660665
gene_burden_score,zscore_Treg,9944,-0.0020087369685292266,0.8412573164836434,0.0004035024208735987
gene_burden_score,expected_n_regulators_residuals,10268,0.02267864226514805,0.02155789416312481,0.05143208149905596
gene_burden_score,polar_coef_rank_Rest,3830,0.018816589189558,0.244332806062997,0.035406402872859094
gene_burden_score,polar_coef_rank_Stim8hr,3919,0.01271543866110222,0.42615464516219853,0.016168238034425304
gene_burden_score,polar_coef_rank_Stim48hr,3813,0.01974997529352878,0.22274171882930502,0.03900615240949973
gene_burden_score,polar_rank_range,3986,-0.006982647063073973,0.6594193613194085,0.0048757360007455584
gene_burden_score,n_sig_regulated_cytokines_Rest,11485,0.011060207903798434,0.23593497379482517,0.012232819887524534
gene_burden_score,n_sig_regulated_cytokines_Stim8hr,11485,-0.008283389372832371,0.3747378513877501,0.0068614539501952254
gene_burden_score,n_sig_regulated_cytokines_Stim48hr,11485,-0.004477063272605718,0.6314062287057589,0.0020044095546915023
gene_burden_score,has_cytokine,19502,0.017314850428181826,0.015604467301447869,0.029980404535030838
gene_burden_score,n_sig_regulated_cytokine_receptors_Rest,11485,0.0022421263858998872,0.8101298215750269,0.000502713073034849
gene_burden_score,n_sig_regulated_cytokine_receptors_Stim8hr,11485,0.003242567616565105,0.7282436039019174,0.0010514244747996705
gene_burden_score,n_sig_regulated_cytokine_receptors_Stim48hr,11485,-0.009050777952340596,0.3321118454914083,0.008191658154257464
gene_burden_score,reg_burden_sig_Rest,10268,0.012738467197854146,0.19680820264540344,0.016226854655080607
gene_burden_score,reg_burden_sig_Stim8hr,10268,0.011813741962838,0.2313081250781966,0.013956449916451943
gene_burden_score,reg_burden_sig_Stim48hr,10268,0.0022306591204631363,0.8211952020818469,0.0004975840111705373
