gene,pu_score,rank_pctile,rank,drug_status,pu_role,furthest_imm_stage,crossdonor_confidence,crossdonor_correlation_mean,lof.oe_ci.upper,mis.z_score,IEI,gwas_score,gene_burden_score,expected_n_regulators_residuals,zscore_Th1,zscore_Th2,zscore_Th17,zscore_Treg,polar_coef_rank_Rest,polar_coef_rank_Stim8hr,polar_coef_rank_Stim48hr,polar_rank_range,reg_burden_sig_Rest,reg_burden_sig_Stim8hr,reg_burden_sig_Stim48hr,n_sig_regulated_cytokines_Rest,n_sig_regulated_cytokines_Stim8hr,n_sig_regulated_cytokines_Stim48hr,n_sig_regulated_cytokine_receptors_Rest,n_sig_regulated_cytokine_receptors_Stim8hr,n_sig_regulated_cytokine_receptors_Stim48hr,has_cytokine
GREM1,0.2835921434571548,0.4415957337708953,10891,non-target,unlabeled,,,,0.907,1.36,0,0.19266,0.0,,,,,,,,,,,,,,,,,,,0
TKTL1,0.2835780807794669,0.4415444569787714,10892,non-target,unlabeled,,,,0.121,-1.24,0,0.0,0.0,,0.3209876159165228,-1.7891940465722331,-2.0051292699233065,-5.670531905298219,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
USP30,0.2835664847462447,0.4414931801866475,10893,non-target,unlabeled,,,,0.78,2.13,0,0.0,0.0,-18.446593412153547,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
OR8B4,0.2835293334630346,0.4414419033945236,10894,non-target,unlabeled,,,,6.13,0.198,0,0.0,0.0,,,,,,,,,,,,,,,,,,,0
BLCAP,0.2835004013411852,0.4413906266023997,10895,non-target,unlabeled,,,,0.834,1.71,0,0.0,0.0,-5.528634832254203,0.0014299974838893,0.1283924678492532,,1.3723451637780628,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
SCARA3,0.283422235286597,0.4413393498102759,10896,non-target,unlabeled,,,,1.09,1.04,0,0.0,0.0,,,,,,,,,,,,,,,,,,,0
CFAP144,0.2833998025667787,0.441288073018152,10897,non-target,unlabeled,,,,1.08,0.498,0,0.0,0.0,,,,0.9844868277515014,,,,,,,,,,,,,,,0
AIFM3,0.2833336675681439,0.4412367962260281,10898,non-target,unlabeled,,,,1.05,1.03,0,0.0,0.0,,,,,,,,,,,,,,,,,,,0
MS4A4A,0.2833222339903642,0.4411855194339042,10899,non-target,unlabeled,,,,1.29,0.076,0,0.41354,0.0,,,,,,,,,,,,,,,,,,,0
OR10H3,0.2833171204715816,0.4411342426417803,10900,non-target,unlabeled,,,,2.09,-0.247,0,0.045217,0.0,,,,,,,,,,,,,,,,,,,0
SLIRP,0.2833169180200184,0.4410829658496564,10901,non-target,unlabeled,,,,1.45,-0.81,0,0.0,0.0,12.831446080895068,-0.1065299431816259,1.1932635637791358,-2.283221379985426,-2.2007914157920543,0.5801407349491791,0.4098318899643403,0.6397905759162303,0.22995868595189,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1
F2RL1,0.283316359300204,0.4410316890575325,10902,non-target,unlabeled,,,,1.12,0.893,0,0.0,0.0,-3.302725009654113,-0.8500054490182607,-2.003994971165458,12.813893322583809,-4.667177721836183,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
KRTAP20-2,0.2833109050989151,0.4409804122654087,10903,non-target,unlabeled,,,,2.55,-0.00228,0,0.0,0.0,,,,,,,,,,,,,,,,,,,0
HECTD3,0.2832691272230525,0.4409291354732848,10904,non-target,unlabeled,,0.2782069157011367,0.2782069157011367,0.802,1.55,0,0.0,0.0,-11.38865315911763,0.3234377704971315,-0.7991432371448294,1.6938805116138227,0.5506046929474679,0.2882460255407871,0.4307182883341823,0.2075916230366492,0.2231266652975331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
NEK11,0.2832020229913972,0.4408778586811609,10905,non-target,unlabeled,,,,1.09,-0.00543,0,0.050587,0.0,-8.74393874045842,-0.6212589286262798,-0.8689222301716013,6.640347651404264,8.29239887531509,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
EPB41L4A,0.2831850799585357,0.440826581889037,10906,non-target,unlabeled,,,,1.09,-2.75,0,0.037552,0.0,-1.840093380571508,-1.0532543055203545,-0.5721420334774202,2.479467629951329,-6.201048342911453,,,,,0.0,0.0,1.0,,,,,,,0
FOXD3,0.2831697612240606,0.4407753050969131,10907,non-target,unlabeled,,,,2.18,0.719,0,0.0,0.0,,0.0254759804342505,0.46451403287021,,0.5924072804539596,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1
