model,fpr,tpr
full,0.008733387577976676,0.03576341127922971
full,0.009167344724708435,0.03576341127922971
full,0.009167344724708435,0.037138927097661624
full,0.009438567941415786,0.037138927097661624
full,0.009438567941415786,0.03851444291609354
full,0.009492812584757255,0.03851444291609354
full,0.009492812584757255,0.04126547455295736
full,0.009601301871440196,0.04126547455295736
full,0.009601301871440196,0.04264099037138927
full,0.009981014374830486,0.04264099037138927
full,0.009981014374830486,0.04401650618982118
full,0.010523460808245186,0.04401650618982118
full,0.010523460808245186,0.0453920220082531
full,0.010577705451586655,0.0453920220082531
full,0.010577705451586655,0.04676753782668501
full,0.010631950094928126,0.04676753782668501
full,0.010631950094928126,0.048143053645116916
full,0.011120151885001357,0.048143053645116916
full,0.011120151885001357,0.04951856946354883
full,0.011391375101708706,0.04951856946354883
full,0.011391375101708706,0.05089408528198074
full,0.011771087605098996,0.05089408528198074
full,0.011771087605098996,0.052269601100412656
full,0.011933821535123406,0.052269601100412656
full,0.011933821535123406,0.05364511691884457
full,0.012530512611879577,0.05364511691884457
full,0.012530512611879577,0.055020632737276476
full,0.012964469758611338,0.055020632737276476
full,0.012964469758611338,0.05639614855570839
full,0.013506916192026038,0.05639614855570839
full,0.013506916192026038,0.0577716643741403
full,0.014212096555465148,0.0577716643741403
full,0.014212096555465148,0.059147180192572216
full,0.015080010848928668,0.059147180192572216
full,0.015080010848928668,0.06052269601100413
full,0.015622457282343368,0.06052269601100413
full,0.015622457282343368,0.06327372764786796
full,0.016219148359099538,0.06327372764786796
full,0.016219148359099538,0.06464924346629987
full,0.01627339300244101,0.06464924346629987
full,0.01627339300244101,0.06602475928473177
full,0.016381882289123947,0.06602475928473177
full,0.016381882289123947,0.06740027510316368
full,0.017195551939246,0.06740027510316368
full,0.017195551939246,0.0687757909215956
full,0.01779224301600217,0.0687757909215956
full,0.01779224301600217,0.07015130674002751
full,0.01817195551939246,0.07015130674002751
full,0.01817195551939246,0.07152682255845942
full,0.0182804448060754,0.07152682255845942
full,0.0182804448060754,0.07290233837689133
full,0.01860591266612422,0.07290233837689133
full,0.01860591266612422,0.07427785419532325
full,0.01876864659614863,0.07427785419532325
full,0.01876864659614863,0.07565337001375516
full,0.01909411445619745,0.07565337001375516
full,0.01909411445619745,0.07702888583218707
full,0.019962028749660972,0.07702888583218707
full,0.019962028749660972,0.07840440165061899
full,0.021209655546514782,0.07840440165061899
full,0.021209655546514782,0.07977991746905089
full,0.022240303770002714,0.07977991746905089
