gene,group,gwas_score
APCDD1,other,0.422815
APCDD1L,other,0.064433
APCS,in_trials,0.454005
APEH,other,0.352851
APH1A,in_trials,0.096172
APIP,other,0.065487
APLF,other,0.126874
APOA1,other,0.065701
APOA2,other,0.042924
APOB,other,0.031055
APOBEC2,other,0.032033
APOBEC3H,other,0.265845
APOBEC4,other,0.384284
APOBR,other,0.829985
APOC1,other,0.240603
APOC2,other,0.050422
APOC3,other,0.039679
APOC4,other,0.050422
APOE,other,0.576338
APOF,other,0.273301
APOL5,other,0.051048
APOLD1,other,0.053347
APP,other,0.47587
APPL2,other,0.427516
AQP2,other,0.469515
AQP3,other,0.438268
AQP4,other,0.040776
AQP5,other,0.081064
AQP7,other,0.309182
AQR,other,0.328367
ARAP1,other,0.569139
ARAP2,other,0.672963
ARCN1,other,0.032597
ARFGEF1,other,0.171393
ARFGEF2,other,0.445633
ARFIP1,other,0.42454
ARFRP1,other,0.507088
ARGLU1,other,0.303165
ARHGAP1,other,0.047854
ARHGAP10,other,0.038845
ARHGAP12,other,0.534504
ARHGAP15,other,0.717411
ARHGAP18,other,0.533855
ARHGAP20,other,0.551194
ARHGAP22,other,0.030522
ARHGAP23,other,0.487871
ARHGAP24,other,0.600609
ARHGAP26,other,0.646026
ARHGAP27,other,0.442819
ARHGAP28,other,0.58129
ARHGAP29,other,0.532389
ARHGAP31,other,0.331675
ARHGAP32,other,0.424051
ARHGAP42,other,0.461376
ARHGAP44,other,0.085015
ARHGAP45,other,0.45645
ARHGAP6,other,0.266364
ARHGAP8,other,0.426635
ARHGAP9,other,0.31175
ARHGEF10,other,0.422147
ARHGEF12,other,0.065468
ARHGEF16,other,0.18211
ARHGEF17,other,0.423953
ARHGEF2,other,0.032464
ARHGEF25,other,0.034977
ARHGEF28,other,0.44744
ARHGEF3,other,0.499871
ARHGEF4,other,0.416275
ARHGEF7,other,0.398162
ARID1B,other,0.432091
ARID2,other,0.432187
ARID3A,other,0.470956
ARID4B,other,0.033551
ARID5B,other,0.837715
ARIH2,other,0.043484
ARL13B,other,0.286527
ARL15,other,0.382412
ARL4A,other,0.461396
ARL4C,other,0.365857
ARL5B,other,0.330702
ARL6,other,0.181401
ARL6IP4,other,0.136897
ARL6IP5,other,0.032364
ARL6IP6,other,0.268555
ARL8B,other,0.073164
ARMC1,other,0.300111
ARMC12,other,0.656674
ARMC2,other,0.072993
ARMC7,other,0.061127
ARMH1,other,0.19194
ARMH2,other,0.085584
ARMH4,other,0.057164
ARMS2,other,0.06802
DCPH1,other,0.430568
ARNT,other,0.049579
ARNT2,other,0.507747
ARPC2,other,0.379525
ARPC5,other,0.060358
ARPC5L,other,0.149095
ARPP21,other,0.058669
ARR3,other,0.030836
ARRDC1,other,0.725144
ARRDC2,other,0.417419
ARRDC3,other,0.034757
ARRDC4,other,0.39178
ARSB,other,0.399625
ARSI,other,0.452361
ARSJ,other,0.051082
ARV1,other,0.416122
ASAH1,other,0.359742
ASAH2B,other,0.034984
ASAP1,other,0.656425
ASAP2,other,0.569473
ASAP3,other,0.365311
ASB13,other,0.389391
ASB14,other,0.030707
ASB17,other,0.055465
ASB18,other,0.196119
ASB2,other,0.044724
ASB7,other,0.054206
ASB8,other,0.057915
ASCC2,other,0.516095
ASCC3,other,0.413557
ASCL1,other,0.235979
ASCL2,other,0.609714
ASCL4,other,0.033283
ASH1L,other,0.387957
ASIC2,other,0.428396
ASIC5,other,0.065708
ASIP,other,0.395238
ASNS,other,0.359262
ASPG,other,0.587444
ASPH,other,0.629059
ASPM,other,0.039225
ASTN1,other,0.051786
ASTN2,other,0.387694
ASXL1,other,0.416122
ASXL2,other,0.452556
ASZ1,other,0.315938
ATAD1,other,0.070911
ATAD2B,other,0.092805
ATAD3B,other,0.289599
ATAD3C,other,0.113142
ATE1,other,0.507716
ATF1,other,0.459058
ATF6,other,0.328936
ATG10,other,0.347813
ATG101,other,0.07318
ATG13,other,0.105192
ATG16L1,other,0.837803
ATG16L2,other,0.103183
ATG2B,other,0.525966
ATG4B,other,0.054904
ATG4C,other,0.446459
ATG5,other,0.703488
ATG7,other,0.334707
ATM,other,0.584449
ATOX1,other,0.040776
ATP10A,other,0.462742
ATP10B,other,0.390096
ATP13A2,other,0.433822
ATP13A5,other,0.048969
ATP1A1,in_trials,0.190597
ATP1B3,in_trials,0.405555
ATP23,other,0.532796
ATP2A1,other,0.117743
ATP2A2,other,0.05804
ATP2B1,other,0.410328
ATP2B2,other,0.47651
ATP2B4,other,0.032675
ATP2C1,other,0.580697
ATP5F1A,other,0.033442
ATP5F1B,other,0.062271
ATP5F1D,other,0.034663
ATP5MG,other,0.332591
ATP5MK,other,0.142676
ATP5PF,other,0.191476
ATP5PO,other,0.054898
ATP6V0A1,other,0.175419
ATP6V0A4,other,0.418889
ATP6V1B2,other,0.046202
ATP6V1C1,other,0.036148
ATP6V1C2,other,0.457097
ATP6V1G1,other,0.046161
ATP6V1G3,other,0.384277
ATP7B,other,0.388612
ATP8A2,other,0.424051
ATP8B1,other,0.370123
ATP8B4,other,0.595289
ATP9A,other,0.152805
ATP9B,other,0.034332
ATRAID,other,0.077047
ATRNL1,other,0.418293
ATRX,other,0.062494
ATXN1,other,0.766094
ATXN10,other,0.437891
ATXN2,other,0.646311
ATXN2L,other,0.435321
ATXN3,other,0.178691
ATXN7,other,0.078042
ATXN7L3B,other,0.339033
AUH,other,0.436581
AUTS2,other,0.406221
AVEN,other,0.079316
AVIL,other,0.136742
AVL9,other,0.18888
AVPI1,other,0.057714
AWAT2,other,0.09725
AXIN1,other,0.042643
AZI2,other,0.073853
AZIN1,other,0.271924
AZIN2,other,0.29701
AZU1,other,0.072549
B3GALNT1,other,0.052483
B3GALNT2,other,0.16415
B3GALT1,other,0.040129
B3GALT2,other,0.060354
B3GALT5,other,0.600127
B3GALT6,other,0.052862
B3GAT1,other,0.41942
B3GAT2,other,0.178388
B3GNT2,other,0.800263
B3GNT4,other,0.042211
B3GNT7,other,0.207479
B4GALNT2,other,0.482887
B4GALNT3,other,0.404069
B4GALT4,other,0.368624
BAALC,other,0.115737
BAAT,other,0.046247
BABAM2,other,0.576325
BACE2,other,0.486882
BACH2,other,0.920842
BAD,other,0.122338
BAIAP2,other,0.312682
