gene,group,mis_z_score
ADARB2,non-target,0.0837
ADAT1,non-target,-2.29
ADAT2,non-target,0.676
ADAT3,non-target,-2.92
ADCK1,non-target,0.353
ADCK2,non-target,1.56
ADCK5,non-target,0.756
ADCY1,non-target,5.15
ADCY10,non-target,1.84
ADCY2,non-target,5.82
ADCY3,non-target,3.3
ADCY4,non-target,1.46
ADCY5,non-target,4.57
ADCY6,non-target,3.78
ADCY7,non-target,2.87
ADCY8,non-target,2.3
ADCY9,non-target,1.39
ADCYAP1,non-target,-1.62
ADCYAP1R1,non-target,1.95
ADD1,non-target,0.948
ADD2,non-target,2.59
ADD3,non-target,0.271
ADGB,non-target,-0.579
ADGRA1,non-target,0.235
ADGRA2,non-target,1.46
ADGRA3,non-target,1.4
ADGRB1,non-target,4.71
ADGRB2,non-target,5.45
ADGRB3,non-target,2.14
ADGRD1,non-target,1.3
ADGRD2,non-target,-9.92
ADGRE1,non-target,0.69
ADGRE2,non-target,2.94
ADGRE3,non-target,0.942
ADGRE5,non-target,1.75
ADGRF1,non-target,-1.19
ADGRF3,non-target,1.46
ADGRF4,non-target,-1.28
ADGRF5,non-target,1.21
ADGRG1,non-target,1.11
ADGRG2,non-target,2.22
ADGRG3,non-target,0.658
ADGRG4,non-target,-2.06
ADGRG5,non-target,1.01
ADGRG6,non-target,1.11
ADGRG7,non-target,0.116
ADGRL1,non-target,5.05
ADGRL2,non-target,2.63
ADGRL3,non-target,2.16
ADGRL4,non-target,-0.997
ADGRV1,non-target,1.48
ADH1A,non-target,-0.0856
ADH1B,non-target,0.875
ADH1C,non-target,1.04
ADH4,non-target,-0.352
ADH5,non-target,2.14
ADH6,non-target,0.141
ADH7,non-target,-1.56
ADHFE1,non-target,-0.172
ADI1,non-target,0.264
ADIG,non-target,0.909
ADIPOQ,non-target,-0.357
ADIPOR1,non-target,3.75
ADIPOR2,non-target,3.82
ADIRF,non-target,-0.341
ADK,non-target,2.15
ADM,non-target,0.0292
ADM2,non-target,-0.727
ADM5,non-target,0.393
ADNP,non-target,2.27
ADNP2,non-target,-0.0222
ADO,non-target,0.66
ADORA1,in-trial,2.79
ADORA2A,in-trial,1.94
ADORA2B,in-trial,-0.38
ADORA3,in-trial,0.995
ADPGK,non-target,0.953
ADPRH,non-target,0.521
ADPRHL1,non-target,4.05
ADPRM,non-target,1.59
ADPRS,non-target,-0.0265
ADRA1A,approved,-0.312
ADRA1B,approved,0.652
ADRA1D,approved,0.0109
ADRA2A,approved,0.699
ADRA2B,approved,-0.0483
ADRA2C,approved,1.45
ADRB1,approved,1.19
ADRB2,approved,1.9
ADRB3,approved,-0.362
ADRM1,approved,1.55
ADSL,non-target,1.64
ADSS1,non-target,0.126
ADSS2,non-target,3.29
ADTRP,non-target,0.618
AEBP1,non-target,1.23
AEBP2,non-target,1.92
AEN,non-target,-0.532
AFAP1,non-target,-1.98
AFAP1L1,non-target,1.4
AFAP1L2,non-target,1.01
AFDN,non-target,1.82
AFF1,non-target,-0.124
AFF2,non-target,1.79
AFF3,non-target,2.34
AFF4,non-target,3.55
AFG1L,non-target,0.623
AFG3L2,non-target,3.26
AFM,non-target,-1.13
AFMID,non-target,0.271
AFP,non-target,0.238
AFTPH,non-target,1.07
AGA,non-target,-0.197
AGAP1,non-target,2.09
AGAP2,non-target,3.72
AGAP3,non-target,4.55
AGAP4,non-target,10.3
AGAP5,non-target,8.56
AGAP6,non-target,5.62
AGAP9,non-target,7.49
AGBL1,non-target,-3.38
AGBL2,non-target,1.59
AGBL3,non-target,2.18
AGBL4,non-target,0.883
AGBL5,non-target,1.64
AGER,non-target,0.488
AGFG1,non-target,2.29
AGFG2,non-target,0.57
AGGF1,non-target,0.51
AGK,non-target,1.05
AGL,non-target,0.118
AGMAT,non-target,-0.0044
AGMO,non-target,-4.42
AGO1,non-target,7.15
AGO2,non-target,7.97
AGO3,non-target,7.16
AGO4,non-target,4.83
AGPAT1,non-target,4.19
AGPAT2,non-target,-0.43
AGPAT3,non-target,3.42
AGPAT4,non-target,3.27
AGPAT5,non-target,-4.47
AGPS,non-target,4.12
AGR2,non-target,0.569
AGR3,non-target,-1.14
AGRN,non-target,-0.449
AGRP,non-target,0.637
AGT,non-target,-0.0649
AGTPBP1,non-target,2.62
AGTR1,in-trial,1.21
AGTR2,non-target,-0.0223
AGTRAP,non-target,0.771
AGXT,non-target,-0.0433
AGXT2,non-target,-0.412
AHCTF1,non-target,3.57
AHCY,non-target,2.54
AHCYL1,non-target,5.65
AHCYL2,non-target,3.56
AHDC1,non-target,3.7
AHI1,non-target,-0.185
AHNAK,non-target,-0.457
AHNAK2,non-target,-6.11
AHR,approved,0.142
AHRR,non-target,-0.499
AHSA1,non-target,1.73
AHSG,non-target,-0.188
AHSP,non-target,-0.555
AICDA,non-target,1.01
AIDA,non-target,2.36
AIF1,non-target,0.311
AIF1L,non-target,0.386
AIFM1,non-target,2.87
AIFM2,non-target,0.292
AIFM3,non-target,1.03
AIG1,non-target,0.522
AIM2,non-target,1.12
AIMP1,non-target,-0.0486
AIMP2,non-target,-2.1
AIP,non-target,1.19
AIPL1,non-target,0.399
AIRE,non-target,-0.282
AJAP1,non-target,-0.269
AJM1,non-target,0.446
AJUBA,non-target,2.38
AK1,non-target,1.1
AK2,non-target,1.15
AK3,non-target,-3.04
AK4,non-target,2.42
AK4P3,non-target,5.01
AK5,non-target,2.73
AK6,non-target,0.244
AK7,non-target,0.471
AK8,non-target,1.01
AK9,non-target,1.99
AKAIN1,non-target,0.0338
AKAP1,non-target,2.25
AKAP10,non-target,2.03
AKAP11,non-target,-0.0367
AKAP12,non-target,0.942
AKAP13,non-target,-2.01
AKAP14,non-target,0.76
AKAP17A,non-target,-0.713
AKAP3,non-target,1.07
AKAP4,non-target,1.35
AKAP5,non-target,1.52
AKAP6,non-target,0.244
AKAP7,non-target,-0.132
AKAP8,non-target,-0.208
AKAP8L,non-target,1.17
AKAP9,non-target,1.03
AKIP1,non-target,-0.587
AKIRIN1,non-target,0.605
AKIRIN2,non-target,1.7
AKNA,non-target,0.663
AKNAD1,non-target,0.251
AKR1A1,non-target,0.604
