gene,group,mis_z_score
KANSL2,non-target,1.86
KANSL3,non-target,2.96
KARS1,non-target,-0.955
KASH5,non-target,0.822
KAT14,non-target,1.4
KAT2A,non-target,4.35
KAT2B,non-target,2.69
KAT5,non-target,4.35
KAT6A,non-target,3.69
KAT6B,non-target,5.12
KAT7,non-target,5.92
KAT8,non-target,3.92
KATNA1,non-target,1.97
KATNAL1,non-target,2.35
KATNAL2,non-target,0.148
KATNB1,non-target,2.35
KATNBL1,non-target,1.79
KATNIP,non-target,1.41
KAZALD1,non-target,-0.741
KAZN,non-target,2.29
KBTBD11,non-target,-5.23
KBTBD11-OT1,non-target,-1.46
KBTBD12,non-target,0.736
KBTBD13,non-target,-3.57
KBTBD2,non-target,3.67
KBTBD3,non-target,0.815
KBTBD4,non-target,1.55
KBTBD6,non-target,4.36
KBTBD7,non-target,3.13
KBTBD8,non-target,1.48
KCMF1,non-target,3.91
KCNA1,approved,4.0
KCNA10,approved,-0.467
KCNA2,approved,5.66
KCNA3,approved,3.24
KCNA4,approved,2.74
KCNA5,approved,-1.07
KCNA6,approved,4.07
KCNA7,approved,0.194
KCNAB1,non-target,2.11
KCNAB2,non-target,3.68
KCNAB3,non-target,0.166
KCNB1,approved,6.07
KCNB2,approved,3.78
KCNC1,approved,6.14
KCNC2,approved,3.52
KCNC3,approved,3.19
KCNC4,approved,2.1
KCND1,approved,2.2
KCND2,approved,5.02
KCND3,approved,5.36
KCNE1,non-target,3.67
KCNE1B,non-target,2.72
KCNE2,non-target,0.499
KCNE3,non-target,0.319
KCNE4,non-target,0.192
KCNE5,non-target,0.0692
KCNF1,approved,3.64
KCNG1,approved,4.63
KCNG2,approved,0.364
KCNG3,approved,1.62
KCNG4,approved,-2.66
KCNH1,approved,5.57
KCNH2,approved,4.43
KCNH3,approved,5.03
KCNH4,approved,3.93
KCNH5,approved,3.88
KCNH6,approved,1.04
KCNH7,approved,3.92
KCNH8,approved,1.32
KCNIP1,non-target,0.871
KCNIP2,non-target,1.95
KCNIP3,non-target,1.01
KCNIP4,non-target,1.78
KCNJ1,non-target,-0.0324
KCNJ10,non-target,2.83
KCNJ11,in-trial,3.05
KCNJ12,non-target,8.11
KCNJ13,non-target,2.16
KCNJ14,non-target,-0.17
KCNJ15,non-target,1.46
KCNJ16,non-target,0.0497
KCNJ18,non-target,2.81
KCNJ2,non-target,4.2
KCNJ3,non-target,6.08
KCNJ4,non-target,6.29
KCNJ5,non-target,1.96
KCNJ6,non-target,5.46
KCNJ8,non-target,4.73
KCNJ9,non-target,4.22
KCNK1,non-target,0.893
KCNK10,non-target,2.42
KCNK12,non-target,3.61
KCNK13,non-target,1.69
KCNK15,non-target,0.191
KCNK16,non-target,0.865
KCNK17,non-target,-0.273
KCNK18,non-target,0.462
KCNK2,non-target,2.45
KCNK3,non-target,3.31
KCNK4,non-target,1.15
KCNK5,non-target,2.41
KCNK6,non-target,0.37
KCNK7,non-target,0.0502
KCNK9,non-target,3.98
KCNMA1,non-target,7.7
KCNMB1,non-target,0.0115
KCNMB2,non-target,1.47
KCNMB3,non-target,1.94
KCNMB4,non-target,2.56
KCNN1,non-target,2.33
KCNN2,non-target,1.45
KCNN3,non-target,4.85
KCNN4,in-trial,1.98
KCNQ1,approved,2.15
KCNQ2,approved,5.61
KCNQ3,approved,2.87
KCNQ4,approved,1.29
KCNQ5,approved,4.31
KCNRG,non-target,0.241
KCNS1,approved,0.783
KCNS2,approved,1.99
KCNS3,approved,1.32
KCNT1,non-target,3.38
KCNT2,non-target,4.4
KCNU1,non-target,0.428
KCNV1,approved,5.42
KCNV2,approved,-7.17
KCP,non-target,0.757
KCTD1,non-target,3.22
KCTD10,non-target,3.42
KCTD11,non-target,0.229
KCTD12,non-target,0.339
KCTD13,non-target,2.32
KCTD14,non-target,-0.23
KCTD15,non-target,1.25
KCTD16,non-target,1.57
KCTD17,non-target,2.27
KCTD18,non-target,0.34
KCTD19,non-target,1.98
KCTD2,non-target,1.56
KCTD20,non-target,1.87
KCTD21,non-target,0.78
KCTD3,non-target,3.6
KCTD4,non-target,1.31
KCTD5,non-target,1.26
KCTD6,non-target,3.33
KCTD7,non-target,2.13
KCTD8,non-target,-0.173
KCTD9,non-target,5.66
KDELR1,non-target,2.78
KDELR2,non-target,-0.464
KDELR3,non-target,-1.02
KDF1,non-target,1.33
KDM1A,in-trial,5.73
KDM1B,non-target,3.63
KDM2A,non-target,8.48
KDM2B,non-target,5.52
KDM3A,non-target,2.74
KDM3B,non-target,7.29
KDM4A,non-target,5.14
KDM4B,non-target,4.16
KDM4C,non-target,-1.81
KDM4D,non-target,4.07
KDM4E,non-target,1.12
KDM4F,non-target,-1.71
KDM5A,non-target,3.42
KDM5B,non-target,0.53
KDM5C,non-target,7.33
KDM5D,non-target,-0.564
KDM6A,non-target,3.62
KDM6B,non-target,2.26
KDM7A,non-target,2.53
KDM8,non-target,1.14
KDR,approved,2.06
KDSR,non-target,1.37
KEAP1,approved,4.8
KEL,non-target,-0.0256
KERA,non-target,-0.528
KHDC1,non-target,0.605
KHDC1L,non-target,-0.0712
KHDC3L,non-target,-0.0663
KHDC4,non-target,1.9
KHDRBS1,non-target,2.49
KHDRBS2,non-target,-0.879
KHDRBS3,non-target,1.51
KHK,non-target,-0.0668
KHNYN,non-target,0.65
KHSRP,non-target,4.03
KIAA0040,non-target,0.786
BLTP2,non-target,3.28
KIAA0232,non-target,0.877
KIAA0319,non-target,1.49
KIAA0319L,non-target,2.48
KIAA0408,non-target,0.693
KIAA0513,non-target,-1.03
KIAA0586,non-target,-0.309
KIAA0753,non-target,0.204
KIAA0825,non-target,1.02
MATCAP2,non-target,1.92
MATCAP1,non-target,2.06
KIAA0930,non-target,2.02
BLTP1,non-target,8.44
KIAA1143,non-target,0.67
KIAA1191,non-target,1.49
KIAA1210,non-target,-0.102
KIAA1217,non-target,0.883
KIAA1328,non-target,0.601
NHSL3,non-target,-0.261
KIAA1549,non-target,0.955
KIAA1549L,non-target,1.55
KIAA1586,non-target,-0.299
KIAA1614,non-target,0.317
KIAA1671,non-target,0.0364
KIAA1755,non-target,-0.448
KIAA1958,non-target,1.5
KIAA2012,non-target,1.58
KIAA2013,non-target,3.92
BRD10,non-target,-6.64
KICS2,non-target,1.65
KIDINS220,non-target,3.65
KIF11,in-trial,4.54
KIF12,non-target,0.672
KIF13A,non-target,2.79
KIF13B,non-target,1.8
KIF14,non-target,1.65
KIF15,non-target,2.28
KIF16B,non-target,1.97
KIF17,non-target,1.07
KIF18A,non-target,0.399
KIF18B,non-target,1.7
KIF19,non-target,0.468
KIF1A,non-target,6.87
KIF1B,non-target,5.81
KIF1C,non-target,1.93
KIF20A,non-target,1.96
KIF20B,non-target,-0.923
KIF21A,non-target,3.04
KIF21B,non-target,4.36
KIF22,non-target,0.233
KIF23,non-target,3.38
KIF24,non-target,1.06
KIF25,non-target,0.416
KIF26A,non-target,-1.79
KIF26B,non-target,0.795
KIF27,non-target,3.41
KIF2A,non-target,5.74
KIF2B,non-target,-1.13
KIF2C,non-target,2.23
KIF3A,non-target,4.21
KIF3B,non-target,3.95
KIF3C,non-target,3.55
KIF4A,non-target,5.19
KIF4B,non-target,1.06
KIF5A,non-target,5.33
KIF5B,in-trial,4.59
KIF5C,non-target,5.01
KIF6,non-target,0.481
KIF7,non-target,-1.65
KIF9,non-target,1.37
KIFAP3,non-target,2.25
KIFBP,non-target,1.58
KIFC1,non-target,2.02
KIFC2,non-target,-3.26
KIFC3,non-target,2.16
KIN,non-target,1.05
KIR2DL1,in-trial,-1.99
KIR2DL3,in-trial,-0.739
KIR2DL4,non-target,-1.91
KIR2DS4,non-target,0.138
KIR3DL1,non-target,-1.82
KIR3DL2,in-trial,-2.68
KIR3DL3,non-target,-2.83
KIRREL1,non-target,2.92
KIRREL2,non-target,0.545
KIRREL3,non-target,2.53
KISS1,non-target,0.0214
KISS1R,non-target,-1.26
KIT,approved,4.36
KITLG,non-target,0.644
KIZ,non-target,0.0516
KL,non-target,0.527
KLB,non-target,1.98
KLC1,non-target,4.6
KLC2,non-target,3.28
KLC3,non-target,-2.54
KLC4,non-target,1.89
KLF1,non-target,0.134
KLF10,non-target,1.27
KLF11,non-target,-1.86
KLF12,non-target,1.97
KLF13,non-target,0.105
KLF14,non-target,-1.49
KLF15,non-target,1.16
KLF16,non-target,0.198
KLF17,non-target,0.517
KLF2,non-target,1.12
KLF3,non-target,2.25
KLF4,non-target,-1.1
KLF5,non-target,1.31
KLF6,non-target,2.85
KLF7,non-target,3.72
KLF8,non-target,0.355
KLF9,non-target,2.51
KLHDC1,non-target,0.428
KLHDC10,non-target,3.91
KLHDC2,non-target,1.25
KLHDC3,non-target,5.03
KLHDC4,non-target,-5.25
KLHDC7A,non-target,-0.926
KLHDC7B,non-target,-1.4
KLHDC8A,non-target,0.937
KLHDC8B,non-target,1.49
KLHDC9,non-target,0.606
KLHL1,non-target,-0.201
KLHL10,non-target,4.78
KLHL11,non-target,4.11
KLHL12,non-target,4.04
KLHL13,non-target,2.82
KLHL14,non-target,1.94
KLHL15,non-target,5.14
KLHL17,non-target,-2.86
KLHL18,non-target,2.36
KLHL2,non-target,5.64
KLHL20,non-target,5.47
KLHL21,non-target,-0.413
KLHL22,non-target,3.74
KLHL23,non-target,1.02
KLHL24,non-target,3.75
KLHL25,non-target,-2.18
KLHL26,non-target,0.401
KLHL28,non-target,2.85
KLHL29,non-target,4.35
KLHL3,non-target,3.98
KLHL30,non-target,0.383
KLHL31,non-target,0.333
KLHL32,non-target,2.76
KLHL33,non-target,-0.741
KLHL34,non-target,-0.994
KLHL35,non-target,-2.31
KLHL36,non-target,0.478
KLHL38,non-target,-0.856
KLHL4,non-target,0.0161
KLHL40,non-target,-0.61
KLHL41,non-target,1.01
KLHL42,non-target,1.26
KLHL5,non-target,1.99
KLHL6,non-target,1.38
KLHL7,non-target,5.67
KLHL8,non-target,2.9
KLHL9,non-target,1.89
KLK1,non-target,0.877
KLK10,non-target,-0.354
KLK11,non-target,1.01
KLK12,non-target,-0.287
KLK13,non-target,0.843
KLK14,non-target,0.438
KLK15,non-target,0.0826
KLK2,non-target,-0.0976
KLK3,non-target,0.374
KLK4,non-target,-0.391
KLK5,non-target,0.115
KLK6,non-target,0.7
KLK7,non-target,-0.17
KLK8,non-target,0.718
KLK9,non-target,-0.287
KLKB1,non-target,0.413
KLLN,non-target,-2.71
KLRB1,non-target,0.349
KLRC1,in-trial,0.832
KLRC2,non-target,2.65
KLRC3,non-target,0.649
KLRC4,non-target,0.682
KLRC4-KLRK1,non-target,0.865
KLRD1,non-target,0.755
KLRF1,non-target,0.353
KLRF2,non-target,-0.522
KLRG1,non-target,1.31
KLRG2,non-target,-1.09
KLRK1,non-target,0.238
KMO,non-target,1.85
KMT2A,in-trial,9.62
KMT2B,non-target,4.1
KMT2C,non-target,5.55
KMT2D,non-target,5.39
KMT2E,non-target,1.93
KMT5A,non-target,3.01
KMT5B,non-target,4.1
KMT5C,non-target,1.11
KNCN,non-target,-0.161
KNDC1,non-target,0.606
KNG1,non-target,0.427
KNL1,non-target,-1.02
KNOP1,non-target,0.395
KNSTRN,non-target,-0.665
KNTC1,non-target,0.823
KPNA1,non-target,4.07
KPNA2,non-target,2.11
KPNA3,non-target,4.43
KPNA4,non-target,4.67
KPNA5,non-target,1.38
KPNA6,non-target,4.69
KPNA7,non-target,0.0748
KPNB1,non-target,8.6
KPRP,non-target,-1.15
KPTN,non-target,0.838
KRAS,non-target,3.29
KRABD3,non-target,-0.0513
KRABD2,non-target,0.989
KRABD1,non-target,-0.113
KRABD4,non-target,1.1
KRCC1,non-target,0.588
KREMEN1,non-target,1.11
KREMEN2,non-target,-0.336
KRI1,non-target,0.174
KRIT1,non-target,1.29
KRR1,non-target,0.475
KRT1,non-target,0.486
KRT10,non-target,0.469
KRT12,non-target,0.642
KRT13,non-target,0.111
KRT14,non-target,1.78
KRT15,non-target,-0.054
KRT16,non-target,1.12
KRT17,non-target,0.741
KRT18,non-target,3.04
KRT19,non-target,0.579
KRT2,non-target,-0.968
KRT20,non-target,-0.22
KRT222,non-target,0.168
KRT23,non-target,0.492
KRT24,non-target,0.235
KRT25,non-target,0.151
KRT26,non-target,-0.394
KRT27,non-target,-0.821
KRT28,non-target,0.0551
KRT3,non-target,-0.11
KRT31,non-target,0.623
KRT32,non-target,0.153
KRT33A,non-target,-0.328
KRT33B,non-target,-0.149
KRT34,non-target,-0.433
KRT35,non-target,0.073
KRT36,non-target,-0.555
KRT37,non-target,-0.0795
KRT38,non-target,-0.718
KRT39,non-target,0.322
KRT4,non-target,-0.0889
KRT40,non-target,-0.92
KRT5,non-target,0.738
KRT6A,non-target,0.591
KRT6B,non-target,1.97
KRT6C,non-target,2.91
KRT7,non-target,0.838
KRT71,non-target,-0.493
KRT72,non-target,-1.14
KRT73,non-target,-0.136
KRT74,non-target,-0.762
KRT75,non-target,-1.06
KRT76,non-target,-1.29
KRT77,non-target,-0.299
KRT78,non-target,-0.0428
KRT79,non-target,-0.651
KRT8,non-target,2.47
KRT80,non-target,0.451
KRT81,non-target,0.824
KRT82,non-target,-0.488
KRT83,non-target,0.207
KRT84,non-target,-1.08
KRT85,non-target,0.292
KRT86,non-target,0.186
KRT9,non-target,0.566
KRTAP1-1,non-target,1.46
KRTAP1-3,non-target,1.19
KRTAP1-4,non-target,0.124
KRTAP1-5,non-target,-0.301
KRTAP10-1,non-target,0.116
KRTAP10-10,non-target,-0.0981
KRTAP10-11,non-target,-0.486
KRTAP10-12,non-target,0.317
KRTAP10-2,non-target,0.585
KRTAP10-3,non-target,-1.19
KRTAP10-4,non-target,2.53
KRTAP10-5,non-target,-0.427
KRTAP10-6,non-target,2.52
KRTAP10-7,non-target,1.57
KRTAP10-8,non-target,0.149
KRTAP10-9,non-target,-0.322
KRTAP11-1,non-target,0.6
KRTAP12-1,non-target,0.687
KRTAP12-2,non-target,0.572
KRTAP12-3,non-target,0.46
KRTAP12-4,non-target,-0.243
KRTAP13-1,non-target,0.144
KRTAP13-2,non-target,-0.545
KRTAP13-3,non-target,-1.2
KRTAP13-4,non-target,-0.259
KRTAP15-1,non-target,-0.826
KRTAP16-1,non-target,-0.288
KRTAP17-1,non-target,-0.228
KRTAP19-1,non-target,-0.0955
KRTAP19-2,non-target,0.00365
KRTAP19-3,non-target,-0.187
KRTAP19-4,non-target,-0.038
KRTAP19-5,non-target,0.224
KRTAP19-6,non-target,0.0172
KRTAP19-7,non-target,0.123
KRTAP19-8,non-target,0.465
KRTAP2-1,non-target,4.67
KRTAP2-2,non-target,3.65
KRTAP2-3,non-target,2.69
KRTAP2-4,non-target,2.84
KRTAP20-1,non-target,-0.063
KRTAP20-2,non-target,-0.00228
KRTAP20-3,non-target,-0.0182
KRTAP20-4,non-target,-0.722
KRTAP21-1,non-target,0.925
KRTAP21-2,non-target,-0.0784
KRTAP21-3,non-target,0.27
KRTAP22-1,non-target,0.493
KRTAP22-2,non-target,-0.0498
KRTAP23-1,non-target,0.134
KRTAP24-1,non-target,-1.0
KRTAP25-1,non-target,-0.617
KRTAP26-1,non-target,-0.318
KRTAP27-1,non-target,-0.542
KRTAP29-1,non-target,-0.145
KRTAP3-1,non-target,-0.089
KRTAP3-2,non-target,0.349
KRTAP3-3,non-target,0.909
KRTAP4-1,non-target,0.835
KRTAP4-11,non-target,0.285
KRTAP4-12,non-target,0.67
KRTAP4-16,non-target,-4.03
KRTAP4-2,non-target,-0.0234
KRTAP4-3,non-target,1.67
KRTAP4-4,non-target,0.621
KRTAP4-5,non-target,0.969
KRTAP4-6,non-target,0.135
KRTAP4-7,non-target,0.299
KRTAP4-8,non-target,1.37
KRTAP4-9,non-target,-0.474
KRTAP5-1,non-target,1.09
KRTAP5-10,non-target,0.968
KRTAP5-11,non-target,-0.414
KRTAP5-2,non-target,0.726
KRTAP5-3,non-target,1.56
KRTAP5-4,non-target,2.1
KRTAP5-5,non-target,3.55
KRTAP5-6,non-target,-0.591
KRTAP5-7,non-target,1.2
KRTAP5-8,non-target,1.25
KRTAP5-9,non-target,0.632
KRTAP6-1,non-target,0.443
KRTAP6-2,non-target,-0.234
KRTAP6-3,non-target,0.447
KRTAP7-1,non-target,0.303
KRTAP8-1,non-target,0.0611
KRTAP9-1,non-target,0.0144
KRTAP9-2,non-target,0.908
KRTAP9-3,non-target,-1.12
KRTAP9-4,non-target,0.035
KRTAP9-6,non-target,2.65
KRTAP9-7,non-target,1.25
KRTAP9-8,non-target,0.000416
KRTAP9-9,non-target,0.372
KRTCAP2,non-target,0.258
KRTCAP3,non-target,-0.886
KRTDAP,non-target,0.284
KSR1,non-target,2.34
KSR2,non-target,4.57
KTI12,non-target,0.0398
KTN1,non-target,-0.0837
KXD1,non-target,1.41
KY,non-target,1.58
KYAT1,non-target,1.41
KYAT3,non-target,0.67
KYNU,non-target,-0.228
L1CAM,non-target,3.86
L1TD1,non-target,-2.12
L2HGDH,non-target,0.247
L3HYPDH,non-target,-1.52
L3MBTL1,non-target,0.73
L3MBTL2,non-target,2.37
L3MBTL3,non-target,2.17
L3MBTL4,non-target,0.617
LACC1,non-target,1.61
LACRT,non-target,0.195
LACTB,non-target,0.451
LACTB2,non-target,0.574
LACTBL1,non-target,0.585
LAD1,non-target,0.272
LAG3,in-trial,0.0354
LAGE3,non-target,-0.506
LAIR1,non-target,-0.171
LAIR2,non-target,0.281
LALBA,non-target,0.692
LAMA1,non-target,0.985
LAMA2,non-target,0.454
LAMA3,non-target,2.47
LAMA4,non-target,1.38
LAMA5,non-target,-0.703
LAMB1,non-target,0.62
LAMB2,non-target,2.49
LAMB3,non-target,0.475
LAMB4,non-target,0.834
LAMC1,non-target,2.14
LAMC2,non-target,0.822
LAMC3,non-target,1.23
LAMP1,non-target,0.287
LAMP2,non-target,0.723
LAMP3,non-target,0.54
LAMP5,non-target,-0.501
LAMTOR1,non-target,2.11
LAMTOR2,non-target,2.05
LAMTOR3,non-target,0.665
LAMTOR4,non-target,-0.0685
LAMTOR5,non-target,0.114
LANCL1,non-target,-0.999
LANCL2,non-target,0.322
LANCL3,non-target,1.0
LAP3,in-trial,0.732
LAPTM4A,non-target,-0.113
LAPTM4B,non-target,-0.0562
LAPTM5,non-target,0.198
LARGE1,non-target,2.67
LARGE2,non-target,0.757
LARP1,non-target,4.14
LARP1B,non-target,0.804
LARP4,non-target,1.86
LARP4B,non-target,2.64
LARP6,non-target,1.08
LARP7,non-target,-0.986
LARS1,non-target,1.71
LARS2,non-target,1.87
LAS1L,non-target,3.73
LASP1,non-target,2.92
LAT,non-target,1.34
LAT2,non-target,0.635
LATS1,non-target,3.93
LATS2,non-target,2.16
LAX1,non-target,0.329
LAYN,non-target,-0.302
LBH,non-target,0.72
LBHD1,non-target,-0.64
LBP,non-target,-0.0477
LBR,non-target,0.67
LBX1,non-target,1.07
LBX2,non-target,0.0261
LCA5,non-target,-0.234
LCA5L,non-target,1.45
LCAT,non-target,2.55
LCE1A,non-target,0.0729
LCE1B,non-target,-0.135
LCE1C,non-target,0.475
LCE1D,non-target,2.61
LCE1E,non-target,0.0114
LCE1F,non-target,-0.0165
LCE2A,non-target,-0.342
LCE2B,non-target,-1.2
LCE2C,non-target,-1.35
LCE2D,non-target,-0.647
LCE3A,non-target,-0.642
LCE3B,non-target,1.06
LCE3C,non-target,1.42
LCE3D,non-target,-0.113
LCE3E,non-target,-0.508
LCE4A,non-target,0.0536
LCE5A,non-target,0.287
LCE6A,non-target,-0.424
LCK,approved,3.86
LCLAT1,non-target,1.13
LCMT1,non-target,0.841
LCMT2,non-target,-2.88
LCN1,non-target,0.462
LCN10,non-target,0.0513
LCN12,non-target,0.825
LCN15,non-target,-0.0425
LCN2,non-target,0.376
LCN6,non-target,-0.307
LCN8,non-target,0.428
LCN9,non-target,-0.02
LCNL1,non-target,-0.0278
LCOR,non-target,0.805
LCORL,non-target,2.61
LCP1,non-target,2.76
LCP2,non-target,0.519
LCT,non-target,4.91
LCTL,non-target,0.677
LDAF1,non-target,1.39
LDAH,non-target,0.938
LDB1,non-target,3.97
LDB2,non-target,2.54
LDB3,non-target,0.629
LDHA,non-target,2.94
LDHAL6A,non-target,0.569
LDHAL6B,non-target,-0.962
LDHB,non-target,1.33
LDHC,non-target,0.706
LDHD,non-target,-1.3
LDLR,non-target,-0.0505
LDLRAD1,non-target,-0.156
LDLRAD2,non-target,-0.553
LDLRAD3,non-target,0.687
LDLRAD4,non-target,1.75
LDLRAP1,non-target,0.567
LDOC1,non-target,1.96
LEAP2,non-target,-0.175
LECT2,non-target,0.353
LEF1,non-target,2.37
LEFTY1,non-target,1.56
LEFTY2,non-target,1.81
LEKR1,non-target,0.482
LELP1,non-target,-0.131
LEMD1,non-target,0.454
LEMD2,non-target,1.42
LEMD3,non-target,-0.213
LENEP,non-target,0.679
LENG1,non-target,-1.26
LENG8,non-target,1.17
LENG9,non-target,-3.66
LEO1,non-target,2.74
LEP,non-target,1.94
LEPR,in-trial,1.75
LEPROT,non-target,0.844
LEPROTL1,non-target,1.02
LETM1,non-target,1.97
LETM2,non-target,0.0662
LETMD1,non-target,0.7
LEUTX,non-target,0.176
CIMAP2,non-target,0.218
LFNG,non-target,0.469
LGALS1,non-target,0.362
LGALS12,non-target,0.607
LGALS13,non-target,-0.28
LGALS14,non-target,-0.261
LGALS16,non-target,-0.625
LGALS2,non-target,-0.114
LGALS3,in-trial,-0.00753
LGALS3BP,non-target,0.528
LGALS4,non-target,0.742
LGALS7,non-target,3.04
LGALS7B,non-target,3.77
LGALS8,non-target,0.492
LGALS9,non-target,1.99
LGALS9B,non-target,6.35
LGALS9C,non-target,7.06
LGALSL,non-target,0.874
LGI1,non-target,3.98
LGI2,non-target,1.94
LGI3,non-target,0.985
LGI4,non-target,0.491
LGMN,non-target,1.99
LGR4,non-target,1.26
LGR5,non-target,-0.0613
LGR6,non-target,1.68
LGSN,non-target,-1.12
LHB,non-target,0.405
LHCGR,in-trial,-0.383
LHFPL1,non-target,1.07
LHFPL2,non-target,1.34
LHFPL3,non-target,1.42
LHFPL4,non-target,2.72
LHFPL5,non-target,0.827
LHFPL6,non-target,0.951
LHPP,non-target,0.25
LHX1,non-target,2.04
LHX2,non-target,2.54
LHX3,non-target,-1.19
LHX4,non-target,1.37
LHX5,non-target,2.01
LHX6,non-target,2.49
LHX8,non-target,1.84
LHX9,non-target,1.16
LIAS,non-target,1.14
LIF,non-target,0.698
LIFR,non-target,0.207
LIG1,non-target,1.35
LIG3,non-target,2.15
LIG4,non-target,0.823
LILRA1,non-target,-0.832
LILRA2,non-target,-0.92
LILRA4,in-trial,0.0275
LILRA5,non-target,0.644
LILRA6,non-target,5.36
LILRB1,non-target,0.276
LILRB2,non-target,-0.0345
LILRB3,non-target,4.39
LILRB4,non-target,-0.63
LILRB5,non-target,-0.302
LIM2,non-target,0.368
LIMA1,non-target,1.74
LIMCH1,non-target,1.41
LIMD1,non-target,0.255
LIMD2,non-target,-0.0713
LIME1,non-target,-0.562
LIMK1,non-target,2.92
LIMK2,non-target,3.08
LIMS1,non-target,4.59
LIMS2,non-target,-0.322
LIN28A,non-target,1.55
LIN28B,non-target,1.58
LIN37,non-target,1.52
LIN52,non-target,1.35
LIN54,non-target,4.53
LIN7A,non-target,1.21
LIN7B,non-target,-0.0625
LIN7C,non-target,0.967
LIN9,non-target,3.25
SMIM45,non-target,-4.74
LINC02203,non-target,5.36
LINC02210-CRHR1,non-target,2.73
LINGO1,in-trial,4.22
LINGO2,non-target,0.354
LINGO3,non-target,1.7
LINGO4,non-target,0.523
LINS1,non-target,-1.02
LIPA,non-target,0.479
LIPC,non-target,-0.817
LIPE,non-target,0.999
LIPF,non-target,1.18
LIPG,non-target,1.21
LIPH,non-target,0.814
LIPI,non-target,-0.915
LIPJ,non-target,0.122
LIPK,non-target,-0.556
LIPM,non-target,-0.072
LIPN,non-target,-0.411
LIPT1,non-target,0.692
LIPT2,non-target,-1.75
LITAF,non-target,0.215
LIX1,non-target,0.654
LIX1L,non-target,1.01
LKAAEAR1,non-target,0.284
SOFU1,non-target,-0.492
LLGL1,non-target,2.6
LLGL2,non-target,1.61
LLPH,non-target,0.797
LMAN1,non-target,-0.065
LMAN1L,non-target,0.739
LMAN2,non-target,0.215
LMAN2L,non-target,0.346
LMBR1,non-target,0.723
LMBR1L,non-target,1.15
LMBRD1,non-target,-0.102
LMBRD2,non-target,2.84
LMCD1,non-target,0.486
LMF1,non-target,-2.78
LMF2,non-target,-4.28
LMLN,non-target,1.85
CIROP,non-target,-5.07
LMNA,non-target,3.73
LMNB1,non-target,1.76
LMNB2,non-target,1.36
LMNTD1,non-target,0.107
LMNTD2,non-target,-3.5
LMO1,non-target,0.676
LMO2,non-target,1.09
LMO3,non-target,3.04
LMO4,non-target,2.84
LMO7,non-target,-0.0111
LMOD1,non-target,1.88
LMOD2,non-target,0.724
LMOD3,non-target,-1.23
LMTK2,non-target,2.2
LMTK3,non-target,2.86
LMX1A,non-target,2.03
LMX1B,non-target,2.25
LNP1,non-target,0.379
LNPEP,in-trial,1.76
LNPK,non-target,0.532
LNX1,non-target,0.285
LNX2,non-target,0.874
LONP1,non-target,0.17
LONP2,non-target,2.66
LONRF1,non-target,-0.791
LONRF2,non-target,1.35
LONRF3,non-target,1.76
LORICRIN,non-target,-1.27
LOX,non-target,1.07
LOXHD1,non-target,0.326
LOXL1,non-target,1.0
LOXL2,in-trial,1.08
LOXL3,non-target,1.7
LOXL4,non-target,0.448
LPA,non-target,-0.678
LPAR1,in-trial,3.34
LPAR2,non-target,1.39
LPAR3,non-target,1.25
LPAR4,non-target,0.546
LPAR5,non-target,-0.414
LPAR6,non-target,0.484
LPCAT1,non-target,1.61
LPCAT2,non-target,1.5
LPCAT3,non-target,2.45
LPCAT4,non-target,1.66
LPGAT1,non-target,2.97
LPIN1,non-target,1.47
LPIN2,non-target,1.54
LPIN3,non-target,1.22
LPL,non-target,-0.946
LPO,non-target,0.501
LPP,non-target,-1.8
LPXN,non-target,0.314
LRAT,non-target,0.459
LRATD1,non-target,0.509
LRATD2,non-target,-0.18
LRBA,non-target,1.35
LRCH1,non-target,2.16
LRCH2,non-target,0.8
LRCH3,non-target,0.0395
LRCH4,non-target,0.39
LRCOL1,non-target,0.13
LRFN1,non-target,2.76
LRFN2,non-target,0.716
LRFN3,non-target,2.78
LRFN4,non-target,0.82
LRFN5,non-target,1.24
LRG1,non-target,0.242
LRGUK,non-target,-0.398
LRIF1,non-target,0.0721
LRIG1,non-target,-2.38
LRIG2,non-target,0.83
LRIG3,non-target,1.65
LRIT1,non-target,-0.597
LRIT2,non-target,-1.96
LRIT3,non-target,0.3
LRMDA,non-target,0.0218
LRP1,non-target,13.3
LRP10,non-target,0.947
LRP11,non-target,0.696
LRP12,non-target,2.16
LRP1B,non-target,3.23
LRP2,non-target,3.9
LRP2BP,non-target,0.706
LRP3,non-target,1.46
LRP4,non-target,5.4
LRP5,non-target,3.72
LRP6,non-target,4.14
LRP8,non-target,4.01
LRPAP1,non-target,-1.61
LRPPRC,non-target,-3.72
LRR1,non-target,0.0427
LRRC1,non-target,1.92
LRRC10,non-target,0.803
LRRC10B,non-target,0.969
LRRC14,non-target,1.1
LRRC14B,non-target,-0.968
LRRC15,non-target,-0.344
LRRC17,non-target,0.529
LRRC18,non-target,-1.02
LRRC19,non-target,-0.953
LRRC2,non-target,0.764
LRRC20,non-target,0.867
LRRC23,non-target,0.76
LRRC24,non-target,-3.01
LRRC25,non-target,1.05
LRRC26,non-target,-1.37
LRRC27,non-target,-1.16
LRRC28,non-target,0.0717
LRRC3,non-target,0.237
LRRC30,non-target,-0.642
LRRC31,non-target,0.223
LRRC32,non-target,0.747
LRRC34,non-target,1.1
LRRC36,non-target,1.73
