gene,condition,n_sig,group
GAREM2,Stim48hr,0,non-target
GAREM2,Stim8hr,0,non-target
GARIN1A,Rest,0,non-target
GARIN1A,Stim48hr,0,non-target
GARIN1A,Stim8hr,0,non-target
GARRE1,Rest,0,non-target
GARRE1,Stim48hr,0,non-target
GARRE1,Stim8hr,0,non-target
GARS1,Rest,0,non-target
GARS1,Stim48hr,0,non-target
GARS1,Stim8hr,0,non-target
GART,Rest,0,in-trial
GART,Stim48hr,1,in-trial
GART,Stim8hr,0,in-trial
GAS2,Rest,0,non-target
GAS2,Stim48hr,0,non-target
GAS2,Stim8hr,0,non-target
GAS2L1,Rest,0,non-target
GAS2L1,Stim48hr,0,non-target
GAS2L1,Stim8hr,0,non-target
GAS6,Rest,0,in-trial
GAS6,Stim48hr,0,in-trial
GAS6,Stim8hr,0,in-trial
GAS7,Rest,0,non-target
GAS7,Stim48hr,0,non-target
GAS7,Stim8hr,0,non-target
GATA1,Rest,0,non-target
GATA1,Stim48hr,0,non-target
GATA1,Stim8hr,0,non-target
GATA2,Stim48hr,0,non-target
GATA2,Stim8hr,0,non-target
GATA3,Rest,6,non-target
GATA3,Stim48hr,15,non-target
GATA3,Stim8hr,9,non-target
GATA4,Rest,0,non-target
GATA4,Stim48hr,0,non-target
GATA4,Stim8hr,0,non-target
GATA5,Rest,0,non-target
GATA5,Stim48hr,0,non-target
GATA5,Stim8hr,0,non-target
GATA6,Rest,0,non-target
GATA6,Stim48hr,0,non-target
GATA6,Stim8hr,0,non-target
GATAD1,Rest,0,non-target
GATAD1,Stim48hr,0,non-target
GATAD1,Stim8hr,0,non-target
GATAD2A,Rest,0,non-target
GATAD2A,Stim48hr,0,non-target
GATAD2A,Stim8hr,0,non-target
GATAD2B,Rest,0,non-target
GATAD2B,Stim48hr,0,non-target
GATAD2B,Stim8hr,0,non-target
GATB,Rest,0,non-target
GATB,Stim48hr,0,non-target
GATB,Stim8hr,0,non-target
GATC,Rest,0,non-target
GATC,Stim48hr,0,non-target
GATC,Stim8hr,0,non-target
GATD1,Rest,0,non-target
GATD1,Stim48hr,0,non-target
GATD1,Stim8hr,0,non-target
GBA1,Rest,0,non-target
GBA1,Stim48hr,0,non-target
GBA1,Stim8hr,0,non-target
GBA2,Rest,0,non-target
GBA2,Stim48hr,0,non-target
GBA2,Stim8hr,0,non-target
GBE1,Rest,0,non-target
GBE1,Stim48hr,0,non-target
GBE1,Stim8hr,0,non-target
GBGT1,Rest,0,non-target
GBGT1,Stim48hr,0,non-target
GBGT1,Stim8hr,0,non-target
GBP1,Rest,0,non-target
GBP1,Stim48hr,0,non-target
GBP1,Stim8hr,0,non-target
GBP2,Rest,0,non-target
GBP2,Stim48hr,0,non-target
GBP2,Stim8hr,0,non-target
GBP3,Rest,0,non-target
GBP3,Stim48hr,0,non-target
GBP3,Stim8hr,0,non-target
GBP4,Rest,0,non-target
GBP4,Stim48hr,0,non-target
GBP4,Stim8hr,0,non-target
GBP5,Rest,0,non-target
GBP5,Stim48hr,0,non-target
GBP5,Stim8hr,0,non-target
GBP7,Rest,0,non-target
GBP7,Stim48hr,0,non-target
GBP7,Stim8hr,0,non-target
GBX1,Rest,0,non-target
GBX1,Stim48hr,0,non-target
GBX1,Stim8hr,0,non-target
GBX2,Rest,0,non-target
GBX2,Stim48hr,0,non-target
GBX2,Stim8hr,0,non-target
GCA,Rest,0,non-target
GCA,Stim48hr,0,non-target
GCA,Stim8hr,0,non-target
GCAT,Rest,0,non-target
GCAT,Stim48hr,0,non-target
GCAT,Stim8hr,0,non-target
GCC1,Rest,0,non-target
GCC1,Stim48hr,0,non-target
GCC1,Stim8hr,0,non-target
GCC2,Rest,0,non-target
GCC2,Stim48hr,0,non-target
GCC2,Stim8hr,0,non-target
GCDH,Rest,0,non-target
GCDH,Stim8hr,0,non-target
GCFC2,Rest,0,non-target
GCFC2,Stim48hr,0,non-target
GCFC2,Stim8hr,0,non-target
GCH1,Rest,0,non-target
GCH1,Stim48hr,0,non-target
GCH1,Stim8hr,0,non-target
GCHFR,Rest,0,non-target
GCHFR,Stim48hr,0,non-target
GCHFR,Stim8hr,0,non-target
GCLC,Rest,0,non-target
GCLC,Stim48hr,0,non-target
GCLC,Stim8hr,0,non-target
GCLM,Rest,0,non-target
GCLM,Stim48hr,0,non-target
GCLM,Stim8hr,0,non-target
GCM2,Rest,0,non-target
GCM2,Stim48hr,0,non-target
GCM2,Stim8hr,0,non-target
GCN1,Rest,0,non-target
GCN1,Stim48hr,1,non-target
GCN1,Stim8hr,0,non-target
GCNA,Rest,0,non-target
GCNA,Stim48hr,0,non-target
GCNA,Stim8hr,0,non-target
GCNT1,Rest,0,non-target
GCNT1,Stim48hr,0,non-target
GCNT1,Stim8hr,0,non-target
GCNT4,Rest,0,non-target
GCNT4,Stim48hr,0,non-target
GCNT4,Stim8hr,0,non-target
GCNT7,Rest,0,non-target
GCNT7,Stim48hr,0,non-target
GCNT7,Stim8hr,0,non-target
GCSAM,Rest,0,non-target
GCSAM,Stim48hr,0,non-target
GCSAM,Stim8hr,0,non-target
GCSH,Rest,0,non-target
GCSH,Stim48hr,1,non-target
GCSH,Stim8hr,3,non-target
GDAP1,Rest,0,non-target
GDAP1,Stim48hr,0,non-target
GDAP1,Stim8hr,0,non-target
GDAP2,Rest,1,non-target
GDAP2,Stim48hr,5,non-target
GDAP2,Stim8hr,2,non-target
GDE1,Rest,0,non-target
GDE1,Stim48hr,0,non-target
GDE1,Stim8hr,0,non-target
GDF11,Stim48hr,0,non-target
GDF15,Rest,0,non-target
GDF15,Stim48hr,0,non-target
GDF15,Stim8hr,0,non-target
GDF7,Rest,0,non-target
GDF7,Stim48hr,0,non-target
GDF7,Stim8hr,0,non-target
GDF9,Rest,0,non-target
GDF9,Stim48hr,0,non-target
GDF9,Stim8hr,0,non-target
GDI1,Rest,0,non-target
GDI1,Stim48hr,0,non-target
GDI1,Stim8hr,0,non-target
GDI2,Rest,0,non-target
GDI2,Stim48hr,0,non-target
GDI2,Stim8hr,0,non-target
GDPD1,Rest,0,non-target
GDPD1,Stim48hr,0,non-target
GDPD1,Stim8hr,0,non-target
GDPD3,Rest,0,non-target
GDPD3,Stim48hr,0,non-target
GDPD3,Stim8hr,0,non-target
GDPD5,Rest,0,non-target
GDPD5,Stim48hr,0,non-target
GDPD5,Stim8hr,0,non-target
GDPGP1,Rest,0,non-target
GDPGP1,Stim48hr,0,non-target
GDPGP1,Stim8hr,0,non-target
GEM,Rest,0,non-target
GEM,Stim48hr,0,non-target
GEM,Stim8hr,0,non-target
GEMIN6,Stim8hr,0,non-target
GEMIN7,Stim48hr,0,non-target
GEMIN7,Stim8hr,0,non-target
GEMIN8,Stim48hr,0,non-target
GEN1,Rest,3,non-target
GEN1,Stim48hr,0,non-target
GEN1,Stim8hr,0,non-target
GET1,Rest,0,non-target
GET1,Stim8hr,2,non-target
GET3,Rest,0,non-target
GET3,Stim48hr,0,non-target
GET3,Stim8hr,0,non-target
GET4,Rest,0,non-target
GET4,Stim48hr,0,non-target
GET4,Stim8hr,0,non-target
GFER,Stim48hr,0,non-target
GFER,Stim8hr,2,non-target
GFI1,Rest,0,non-target
GFI1,Stim48hr,0,non-target
GFI1,Stim8hr,0,non-target
GFI1B,Rest,0,non-target
GFI1B,Stim48hr,0,non-target
GFI1B,Stim8hr,0,non-target
GFM1,Rest,0,non-target
GFM1,Stim48hr,0,non-target
GFM1,Stim8hr,0,non-target
GFM2,Rest,0,non-target
GFM2,Stim48hr,0,non-target
GFM2,Stim8hr,0,non-target
GFOD1,Rest,0,non-target
GFOD1,Stim48hr,0,non-target
GFOD1,Stim8hr,0,non-target
GFOD2,Rest,0,non-target
GFOD2,Stim48hr,0,non-target
GFOD2,Stim8hr,1,non-target
GFPT2,Rest,0,non-target
GFPT2,Stim48hr,0,non-target
GFPT2,Stim8hr,0,non-target
GFUS,Rest,0,non-target
GFUS,Stim48hr,0,non-target
GFUS,Stim8hr,0,non-target
GGA1,Rest,0,non-target
GGA1,Stim48hr,0,non-target
GGA1,Stim8hr,0,non-target
GGA2,Rest,0,non-target
GGA2,Stim48hr,0,non-target
GGA2,Stim8hr,0,non-target
GGA3,Rest,1,non-target
GGA3,Stim48hr,0,non-target
GGA3,Stim8hr,0,non-target
GGACT,Rest,0,non-target
GGACT,Stim48hr,0,non-target
GGACT,Stim8hr,0,non-target
GGCT,Rest,0,non-target
GGCT,Stim48hr,0,non-target
GGCT,Stim8hr,0,non-target
GGCX,Rest,0,non-target
GGCX,Stim48hr,0,non-target
GGCX,Stim8hr,0,non-target
GGH,Rest,0,non-target
GGH,Stim48hr,1,non-target
GGH,Stim8hr,0,non-target
GGNBP2,Rest,0,non-target
GGNBP2,Stim48hr,0,non-target
GGNBP2,Stim8hr,0,non-target
GGPS1,Stim48hr,0,non-target
GGPS1,Stim8hr,0,non-target
GGT1,Rest,0,non-target
GGT1,Stim48hr,0,non-target
GGT1,Stim8hr,0,non-target
GGT7,Rest,0,non-target
GGT7,Stim48hr,0,non-target
