perm,genetic,genetic+observational,genetic+perturbational,full
123,0.5125579540196876,0.49263841158920857,0.5003804464015061,0.48501670415928777
124,0.5441822460473205,0.5342681759440961,0.5222005775459084,0.5184206193461925
125,0.4620814148279328,0.45940557443481866,0.4893955870387211,0.47893161984077603
126,0.4702431914995453,0.4870841749230205,0.4684897972207598,0.48633055728393876
127,0.4803758036982083,0.47482257215335283,0.4944825380111362,0.48991001770928055
128,0.4856275786148471,0.47085057196190105,0.45199842052362027,0.45802576620558716
129,0.5116575248488329,0.5256582108840281,0.4902962874327925,0.508808356865936
130,0.4911982960800268,0.4818821933981078,0.5074384403069608,0.4897907592654637
131,0.48550721932385654,0.4833847381100528,0.47394752628472053,0.4719927407903763
132,0.4746668581183491,0.5012634215606503,0.49621196892101027,0.5180404920308237
133,0.4860729430909874,0.4842401442269341,0.4796156447933119,0.48874107755388574
134,0.5031005759504779,0.4741160197195233,0.5120708690310949,0.4889069704366694
135,0.4804343081414828,0.49401665629636715,0.4826956396879338,0.4900331051867452
136,0.48245693134861756,0.4986594553199637,0.48714508846663157,0.5020452942771901
137,0.5211876545573478,0.5225758387976834,0.5364336380605945,0.5306860990124284
138,0.48115714992262154,0.4851552832687184,0.49773712088578315,0.49565063258826725
139,0.4863409914006286,0.4975498492318001,0.5320877486877582,0.5311035434515547
140,0.5353540260693375,0.5316463089711068,0.5312411653025734,0.5332512324702052
141,0.48448419725905006,0.49563169482601827,0.5064308779655068,0.5088941591282566
142,0.5105948084685461,0.48131571977855425,0.5132709360391838,0.48879988512899053
143,0.4947238149938576,0.4981814483319772,0.495066609231162,0.4966599020405558
144,0.48842202332519663,0.4969691762791365,0.4706292697713748,0.4818310757989119
145,0.5290135452065284,0.5286026579875237,0.535471545493706,0.5368277732573908
146,0.5066309290192887,0.4725076022272212,0.48221437802134687,0.4702643788190622
147,0.5126235421752102,0.5031807942053956,0.5067552449783819,0.5026442349112142
148,0.5124765072831411,0.4706476810414971,0.48865974249748717,0.4581707908549913
149,0.5062295984300963,0.5061996362418034,0.5118454187207837,0.5108801512468291
150,0.49824987635412177,0.4751293734743694,0.49169843169163513,0.47158415099156015
151,0.4761086488297516,0.4833108218063466,0.4755432281944511,0.4845016353164537
152,0.5199163515691061,0.49804200768997586,0.503801624148439,0.4855815344852343
153,0.48881639783659603,0.4823650664496881,0.4628842195950797,0.46629424528151375
154,0.4794876114807192,0.48210097480814945,0.4855754718486255,0.48849447183267125
155,0.4964844525279599,0.5169588857512085,0.48646202077250755,0.5081688444295537
156,0.5026199205475518,0.48241927918441585,0.47971216834984604,0.4655671756090557
157,0.511459962666922,0.5012090652371608,0.5030824199492653,0.5079930758308205
158,0.5260268989613747,0.5243153209208825,0.5152701064152267,0.5163227715821886
159,0.5112191802677133,0.49431691635156916,0.5237794476618963,0.5107173056366566
160,0.4856564718645799,0.4934472311300435,0.5210666890026964,0.5140548189983886
161,0.4752960481181895,0.48608637661736787,0.5044191834585746,0.49982638523269357
162,0.5248931859155379,0.537786467556917,0.518256593117312,0.5284112541680627
163,0.5026298281721151,0.5102915649579604,0.5077094242090652,0.5133797444120041
164,0.49584717369453885,0.49948477161409727,0.4489021362816893,0.46669578327669553
165,0.5432696756489415,0.544006142408143,0.5372553486813766,0.53651071331706
166,0.5031829639911295,0.49514545541568944,0.47339357679605615,0.4652000031908613
167,0.5073340034142216,0.4776853332056989,0.4986699692081878,0.4765631551237256
168,0.46722953461286876,0.47047409818280445,0.4851945787265272,0.4815359370762138
169,0.4982022048852087,0.49005917452416276,0.4954943441982163,0.4895688667655834
170,0.5087569361349097,0.5204982051404776,0.5151561767099028,0.5229436972510729
171,0.5051933821535123,0.520182788493754,0.5111443067055952,0.5145912347038083
172,0.5079320665613682,0.5085528965044114,0.4927580050734695,0.49626937251711106
173,0.5184938177060898,0.5261526667623926,0.5101711418497424,0.5114688492158459
174,0.5079801847508736,0.5438316022910386,0.5131235341980568,0.5393220536383797
175,0.49294760605625493,0.4590734376745002,0.4701832192600392,0.4519109909219993
176,0.5009859921185723,0.4827764642065125,0.48059014981094145,0.469583098007307
177,0.5090348761148072,0.5096603328068412,0.5307101740614879,0.518909140222403
178,0.5166372150161938,0.4784444231720353,0.5099895180203896,0.4802958247578934
179,0.5128468067454809,0.5004293463520477,0.5035619106877901,0.4993701558735781
180,0.4967185022096715,0.5041346543499418,0.495230683322963,0.5010682046618485
181,0.47413347373123377,0.484447294947271,0.4806974265703027,0.4839856251695146
182,0.5030745863845945,0.5024365417444439,0.5218691746837059,0.521589958359259
183,0.5199310933486495,0.5164774007243256,0.5043168844429554,0.5097700665294596
184,0.48859203241915156,0.4802079643899871,0.489563458255556,0.4772692289283491
185,0.5056987507777724,0.5053534676685971,0.5177741189234033,0.5157399447980981
186,0.5182051723862857,0.530433685923515,0.525333014247196,0.533231879895978
187,0.5316396879337577,0.5047607013513298,0.5254905151645686,0.5072609007801655
188,0.4774405303211602,0.4906612741109463,0.4981492684950302,0.49926061360264207
189,0.5015135691379888,0.5156552912458718,0.4964052393943746,0.49994183059716973
190,0.496803139807591,0.4894704446465322,0.5007159814291868,0.4893972781952488
191,0.4619642623526221,0.4521952488074156,0.4743859985002951,0.4638664145886182
192,0.48042653839403954,0.478464573461606,0.49609717768311556,0.48567398969351777
193,0.46380554890792774,0.4680908278689832,0.4886172721326122,0.4855880119338215
194,0.5074336221062876,0.4774934028941113,0.4911947063609822,0.4741252572631982
195,0.507397613235693,0.48876674803363174,0.5083797922749246,0.4889783021426634
196,0.48741556183091617,0.4913728202428246,0.4632446912043907,0.47324161202316567
197,0.5201441312082197,0.5200824837664928,0.5037727947159335,0.511527624882337
198,0.49889961550120454,0.4516115764450614,0.5052801576285517,0.4704521769651718
199,0.49957695559916404,0.48961925046666344,0.5006106351409563,0.4949380334721358
200,0.49544236506644973,0.493107420348123,0.49281820067327176,0.48960452464142695
