gene,group,mis_z_score
AFAP1L2,other,1.01
AFDN,other,1.82
AFF1,other,-0.124
AFF2,other,1.79
AFF3,other,2.34
AFF4,other,3.55
AFG1L,other,0.623
AFG3L2,other,3.26
AFM,other,-1.13
AFMID,other,0.271
AFP,other,0.238
AFTPH,other,1.07
AGA,other,-0.197
AGAP1,other,2.09
AGAP2,other,3.72
AGAP3,other,4.55
AGAP4,other,10.3
AGAP5,other,8.56
AGAP6,other,5.62
AGAP9,other,7.49
AGBL1,other,-3.38
AGBL2,other,1.59
AGBL3,other,2.18
AGBL4,other,0.883
AGBL5,other,1.64
AGER,other,0.488
AGFG1,other,2.29
AGFG2,other,0.57
AGGF1,other,0.51
AGK,other,1.05
AGL,other,0.118
AGMAT,other,-0.0044
AGMO,other,-4.42
AGO1,other,7.15
AGO2,other,7.97
AGO3,other,7.16
AGO4,other,4.83
AGPAT1,other,4.19
AGPAT2,other,-0.43
AGPAT3,other,3.42
AGPAT4,other,3.27
AGPAT5,other,-4.47
AGPS,other,4.12
AGR2,other,0.569
AGR3,other,-1.14
AGRN,other,-0.449
AGRP,other,0.637
AGT,other,-0.0649
AGTPBP1,other,2.62
AGTR1,in_trials,1.21
AGTR2,other,-0.0223
AGTRAP,other,0.771
AGXT,other,-0.0433
AGXT2,other,-0.412
AHCTF1,other,3.57
AHCY,other,2.54
AHCYL1,other,5.65
AHCYL2,other,3.56
AHDC1,other,3.7
AHI1,other,-0.185
AHNAK,other,-0.457
AHNAK2,other,-6.11
AHR,approved,0.142
AHRR,other,-0.499
AHSA1,other,1.73
AHSG,other,-0.188
AHSP,other,-0.555
AICDA,other,1.01
AIDA,other,2.36
AIF1,other,0.311
AIF1L,other,0.386
AIFM1,other,2.87
AIFM2,other,0.292
AIFM3,other,1.03
AIG1,other,0.522
AIM2,other,1.12
AIMP1,other,-0.0486
AIMP2,other,-2.1
AIP,other,1.19
AIPL1,other,0.399
AIRE,other,-0.282
AJAP1,other,-0.269
AJM1,other,0.446
AJUBA,other,2.38
AK1,other,1.1
AK2,other,1.15
AK3,other,-3.04
AK4,other,2.42
AK4P3,other,5.01
AK5,other,2.73
AK6,other,0.244
AK7,other,0.471
AK8,other,1.01
AK9,other,1.99
AKAIN1,other,0.0338
AKAP1,other,2.25
AKAP10,other,2.03
AKAP11,other,-0.0367
AKAP12,other,0.942
AKAP13,other,-2.01
AKAP14,other,0.76
AKAP17A,other,-0.713
AKAP3,other,1.07
AKAP4,other,1.35
AKAP5,other,1.52
AKAP6,other,0.244
AKAP7,other,-0.132
AKAP8,other,-0.208
AKAP8L,other,1.17
AKAP9,other,1.03
AKIP1,other,-0.587
