gene,group,mis_z_score
LIPM,other,-0.072
LIPN,other,-0.411
LIPT1,other,0.692
LIPT2,other,-1.75
LITAF,other,0.215
LIX1,other,0.654
LIX1L,other,1.01
LKAAEAR1,other,0.284
SOFU1,other,-0.492
LLGL1,other,2.6
LLGL2,other,1.61
LLPH,other,0.797
LMAN1,other,-0.065
LMAN1L,other,0.739
LMAN2,other,0.215
LMAN2L,other,0.346
LMBR1,other,0.723
LMBR1L,other,1.15
LMBRD1,other,-0.102
LMBRD2,other,2.84
LMCD1,other,0.486
LMF1,other,-2.78
LMF2,other,-4.28
LMLN,other,1.85
CIROP,other,-5.07
LMNA,other,3.73
LMNB1,other,1.76
LMNB2,other,1.36
LMNTD1,other,0.107
LMNTD2,other,-3.5
LMO1,other,0.676
LMO2,other,1.09
LMO3,other,3.04
LMO4,other,2.84
LMO7,other,-0.0111
LMOD1,other,1.88
LMOD2,other,0.724
LMOD3,other,-1.23
LMTK2,other,2.2
LMTK3,other,2.86
LMX1A,other,2.03
LMX1B,other,2.25
LNP1,other,0.379
LNPEP,in_trials,1.76
LNPK,other,0.532
LNX1,other,0.285
LNX2,other,0.874
LONP1,other,0.17
LONP2,other,2.66
LONRF1,other,-0.791
LONRF2,other,1.35
LONRF3,other,1.76
LORICRIN,other,-1.27
LOX,other,1.07
LOXHD1,other,0.326
LOXL1,other,1.0
LOXL2,in_trials,1.08
LOXL3,other,1.7
LOXL4,other,0.448
LPA,other,-0.678
LPAR1,in_trials,3.34
LPAR2,other,1.39
LPAR3,other,1.25
LPAR4,other,0.546
LPAR5,other,-0.414
LPAR6,other,0.484
LPCAT1,other,1.61
LPCAT2,other,1.5
LPCAT3,other,2.45
LPCAT4,other,1.66
LPGAT1,other,2.97
LPIN1,other,1.47
LPIN2,other,1.54
LPIN3,other,1.22
LPL,other,-0.946
LPO,other,0.501
LPP,other,-1.8
LPXN,other,0.314
LRAT,other,0.459
LRATD1,other,0.509
LRATD2,other,-0.18
LRBA,other,1.35
LRCH1,other,2.16
LRCH2,other,0.8
LRCH3,other,0.0395
LRCH4,other,0.39
LRCOL1,other,0.13
LRFN1,other,2.76
LRFN2,other,0.716
LRFN3,other,2.78
LRFN4,other,0.82
LRFN5,other,1.24
LRG1,other,0.242
LRGUK,other,-0.398
LRIF1,other,0.0721
LRIG1,other,-2.38
LRIG2,other,0.83
LRIG3,other,1.65
LRIT1,other,-0.597
LRIT2,other,-1.96
LRIT3,other,0.3
LRMDA,other,0.0218
LRP1,other,13.3
LRP10,other,0.947
LRP11,other,0.696
LRP12,other,2.16
LRP1B,other,3.23
LRP2,other,3.9
LRP2BP,other,0.706
LRP3,other,1.46
LRP4,other,5.4
LRP5,other,3.72
LRP6,other,4.14
LRP8,other,4.01
LRPAP1,other,-1.61
LRPPRC,other,-3.72
LRR1,other,0.0427
LRRC1,other,1.92
LRRC10,other,0.803
LRRC10B,other,0.969
LRRC14,other,1.1
LRRC14B,other,-0.968
LRRC15,other,-0.344
LRRC17,other,0.529
LRRC18,other,-1.02
LRRC19,other,-0.953
LRRC2,other,0.764
LRRC20,other,0.867
LRRC23,other,0.76
LRRC24,other,-3.01
LRRC25,other,1.05
LRRC26,other,-1.37
LRRC27,other,-1.16
LRRC28,other,0.0717
LRRC3,other,0.237
LRRC30,other,-0.642
LRRC31,other,0.223
LRRC32,other,0.747
LRRC34,other,1.1
LRRC36,other,1.73
LRRC37A,other,8.94
LRRC37A2,other,10.8
LRRC37A3,other,9.81
LRRC37B,other,3.03
LRRC38,other,1.29
LRRC39,other,0.625
LRRC3B,other,3.11
LRRC3C,other,0.176
LRRC4,other,1.84
LRRC40,other,0.241
LRRC41,other,4.0
LRRC42,other,-0.584
LRRC43,other,-0.337
LRRC45,other,-0.771
LRRC46,other,1.62
LRRC47,other,1.06
LRRC49,other,1.58
LRRC4B,other,4.12
LRRC4C,other,3.58
LRRC51,other,0.175
LRRC52,other,-0.267
LRRC53,other,-6.45
LRRC55,other,0.71
LRRC56,other,-0.88
LRRC57,other,1.22
LRRC58,other,0.954
LRRC59,other,1.33
LRRC61,other,-0.197
LRRC63,other,0.449
LRRC66,other,-0.865
LRRC69,other,0.956
LRRC7,other,5.38
LRRC70,other,1.03
LRRC71,other,-0.0952
LRRC72,other,-1.37
LRRC73,other,1.51
LRRC74A,other,0.0352
LRRC74B,other,-3.71
LRRC75A,other,1.48
LRRC75B,other,0.23
LRRC8A,other,5.38
LRRC8B,other,3.37
LRRC8C,other,4.04
LRRC8D,other,5.05
LRRC8E,other,0.0446
LRRC9,other,-7.55
LRRCC1,other,0.0465
LRRD1,other,1.42
LRRFIP1,other,0.423
LRRFIP2,other,0.179
LRRIQ1,other,-1.9
LRRIQ3,other,-1.94
LRRIQ4,other,0.0833
LRRK1,other,2.89
LRRK2,other,0.95
LRRN1,other,1.23
LRRN2,other,2.91
LRRN3,other,1.35
LRRN4,other,-0.825
LRRN4CL,other,-0.271
LRRTM1,other,2.17
LRRTM2,other,2.67
LRRTM3,other,1.85
LRRTM4,other,1.2
LRSAM1,other,1.57
LRTM1,other,-1.06
LRTM2,other,1.17
LRTOMT,other,0.5
LRWD1,other,-0.8
LSAMP,other,2.23
LSG1,other,-0.017
LSM1,other,0.195
LSM10,other,0.703
LSM11,other,0.295
LSM12,other,3.61
LSM14A,other,2.91
LSM14B,other,2.21
LSM2,other,2.01
LSM3,other,1.5
LSM4,other,2.15
LSM5,other,1.15
LSM6,other,1.67
LSM7,other,1.18
LSM8,other,1.01
LSMEM1,other,0.0641
LSMEM2,other,0.214
LSP1,other,0.297
LSR,other,-1.19
LSS,other,0.853
LST1,other,-0.155
LTA,in_trials,2.06
LTA4H,in_trials,1.74
LTB,in_trials,0.859
LTB4R,in_trials,0.302
LTB4R2,in_trials,-0.718
LTBP1,other,-0.578
LTBP2,other,1.55
LTBP3,other,2.77
LTBP4,other,1.26
LTBR,other,2.07
LTC4S,other,-0.666
LTF,other,0.0468
LTK,other,-1.09
LTN1,other,2.71
LTO1,other,-0.232
LTV1,other,1.02
LUC7L,other,2.05
LUC7L2,other,3.25
LUC7L3,other,3.52
LUM,other,1.51
LURAP1,other,0.875
LURAP1L,other,-2.04
LUZP1,other,1.88
LUZP2,other,-0.871
LUZP4,other,-1.3
LVRN,in_trials,-2.54
LXN,other,0.915
LY6D,other,0.557
LY6E,other,0.396
LY6G5B,other,0.258
LY6G5C,other,0.8
LY6G6C,other,1.05
LY6G6D,other,0.535
LY6G6E,other,-1.62
LY6G6F,other,1.22
LY6G6F-LY6G6D,other,1.46
LY6H,other,0.679
LY6K,other,-0.154
LY6L,other,0.873
LY75,other,0.972
LY75-CD302,other,0.725
LY86,other,-0.25
LY9,other,0.123
LY96,other,0.233
LYAR,other,-0.843
LYG1,other,0.748
LYG2,other,0.0908
LYL1,other,0.89
LYN,approved,4.16
LYNX1,other,0.0556
LYNX1-SLURP2,other,0.274
LYPD1,other,0.344
LYPD2,other,-0.197
LYPD3,other,-0.082
LYPD4,other,0.55
LYPD5,other,1.0
LYPD6,other,0.573
LYPD6B,other,0.989
LYPD8,other,-0.41
LYPLA1,other,2.15
LYPLA2,other,2.48
LYPLAL1,other,-1.93
LYRM1,other,-0.109
LYRM2,other,-0.591
LYRM4,other,-0.822
LYRM7,other,0.159
LYRM9,other,0.0417
LYSMD1,other,0.454
LYSMD2,other,1.25
LYSMD3,other,0.706
LYSMD4,other,-0.233
LYST,other,4.35
LYVE1,other,0.0925
LYZ,other,1.38
LYZL1,other,1.22
LYZL2,other,0.72
LYZL4,other,0.442
LYZL6,other,0.239
LZIC,other,1.21
LZTFL1,other,1.27
LZTR1,other,-0.588
LZTS1,other,-0.487
LZTS2,other,1.56
LZTS3,other,1.61
M1AP,other,1.62
M6PR,other,0.953
MAB21L1,other,1.55
MAB21L2,other,3.1
MAB21L3,other,0.349
MAB21L4,other,-0.466
MACC1,other,-1.74
MACF1,other,5.45
MACIR,other,0.785
MACO1,other,4.5
MACROD1,other,-0.259
MACROD2,other,0.779
MACROH2A1,other,4.78
MACROH2A2,other,3.79
MAD1L1,other,-0.727
MAD2L1,other,1.8
MAD2L1BP,other,0.581
MAD2L2,other,1.65
MADCAM1,in_trials,0.514
MADD,other,1.24
MAEA,other,2.98
MAEL,other,0.554
MAF,other,0.0801
MAF1,other,2.42
MAFA,other,-0.165
MAFB,other,2.11
MAFF,other,1.54
MAFG,other,2.29
MAFK,other,0.806
MAG,other,0.829
MAGEA1,other,1.44
MAGEA10,other,-0.49
MAGEA11,other,2.59
MAGEA12,other,0.14
MAGEA3,in_trials,0.886
MAGEA4,other,-1.82
MAGEA6,other,-1.39
MAGEA8,other,0.595
MAGEB1,other,-0.0841
MAGEB10,other,1.89
MAGEB16,other,0.474
MAGEB17,other,0.772
MAGEB18,other,0.98
MAGEB2,other,-3.33
MAGEB3,other,1.88
MAGEB4,other,0.839
MAGEB5,other,0.245
MAGEB6,other,0.0641
MAGEB6B,other,-0.687
MAGEC1,other,-2.74
MAGEC2,other,-1.26
MAGEC3,other,-1.5
MAGED1,other,2.36
MAGED2,other,2.77
MAGEE1,other,0.663
MAGEE2,other,-2.52
MAGEF1,other,-0.394
MAGEH1,other,0.976
MAGEL2,other,-1.35
MAGI1,other,0.27
MAGI2,other,2.25
MAGI3,other,2.52
MAGIX,other,0.277
MAGOH,other,3.58
MAGOHB,other,0.499
MAGT1,other,1.88
MAIP1,other,0.384
MAJIN,other,0.192
MAK,other,1.18
MAK16,other,1.6
MAL,other,-0.188
MAL2,other,0.277
MALL,other,3.03
MALRD1,other,-3.86
MALSU1,other,-1.72
MALT1,other,3.62
MAMDC2,other,0.306
MAMDC4,other,-1.72
MAML1,other,1.3
MAML2,other,0.291
MAML3,other,1.45
MAMLD1,other,1.05
MAMSTR,other,-0.17
MAN1A1,other,1.39
MAN1A2,other,3.27
MAN1B1,other,-0.855
MAN1C1,other,1.36
MAN2A1,other,0.624
MAN2A2,other,1.43
MAN2B1,other,0.926
MAN2B2,other,0.636
MAN2C1,other,0.0162
MANBA,other,0.43
MANBAL,other,0.318
MANEA,other,-0.113
MANEAL,other,0.911
MANF,other,0.0479
MANSC1,other,0.48
MANSC4,other,1.07
MAOA,in_trials,3.33
MAOB,in_trials,1.15
MAP10,other,-1.33
MAP1A,other,3.31
MAP1B,other,3.65
MAP1LC3A,other,0.967
MAP1LC3B,other,0.153
MAP1LC3B2,other,-0.0126
MAP1LC3C,other,0.272
MAP1S,other,-1.34
MAP2,other,0.943
MAP2K1,in_trials,4.48
MAP2K2,in_trials,1.73
MAP2K3,other,1.67
MAP2K4,other,4.52
MAP2K5,other,1.82
MAP2K6,other,4.37
MAP2K7,other,3.23
MAP3K1,in_trials,2.28
MAP3K10,other,2.47
MAP3K11,other,1.79
MAP3K12,other,4.27
MAP3K13,other,3.72
MAP3K14,other,5.21
MAP3K15,other,-2.11
MAP3K19,other,1.1
MAP3K2,other,2.21
MAP3K20,other,1.99
MAP3K21,other,1.7
MAP3K3,other,3.52
MAP3K4,other,4.24
MAP3K5,other,3.97
MAP3K6,other,1.5
MAP3K7,other,3.82
MAP3K7CL,other,0.368
MAP3K8,in_trials,2.93
MAP3K9,other,1.98
MAP4,other,1.97
MAP4K1,other,3.67
MAP4K2,other,1.75
MAP4K3,other,-0.117
MAP4K4,other,6.91
MAP4K5,other,1.39
MAP6,other,1.71
MAP6D1,other,-0.0105
MAP7,other,0.337
MAP7D1,other,-0.056
MAP7D2,other,-0.381
MAP7D3,other,-0.455
MAP9,other,-0.526
MAPK1,in_trials,5.17
MAPK10,in_trials,3.9
MAPK11,in_trials,1.13
MAPK12,other,-0.981
MAPK13,other,0.231
MAPK14,in_trials,4.9
MAPK15,other,-1.05
MAPK1IP1L,other,1.39
MAPK3,in_trials,1.83
MAPK4,other,1.42
MAPK6,other,1.81
MAPK7,other,2.03
MAPK8,in_trials,4.1
MAPK8IP1,other,2.96
MAPK8IP2,other,1.5
MAPK8IP3,other,4.04
MAPK9,in_trials,2.97
MAPKAP1,other,3.77
MAPKAPK2,other,3.2
MAPKAPK3,other,1.83
MAPKAPK5,in_trials,2.63
MAPKBP1,other,3.25
MAPRE1,other,2.79
MAPRE2,other,5.1
MAPRE3,other,3.36
MAPT,other,2.99
MARCHF1,other,1.17
MARCHF10,other,1.14
MARCHF11,other,0.948
MARCHF2,other,0.8
MARCHF3,other,1.16
MARCHF4,other,1.27
MARCHF5,other,3.66
MARCHF6,other,5.08
MARCHF7,other,0.238
MARCHF8,other,0.379
MARCHF9,other,1.8
MARCKS,other,-2.91
MARCKSL1,other,-0.604
MARCO,other,-0.61
MARF1,other,3.68
MARK1,other,3.61
MARK2,other,5.65
MARK3,other,1.79
MARK4,other,3.76
MARS1,other,2.19
MARS2,other,0.664
MARVELD1,other,0.761
MARVELD2,other,1.53
MARVELD3,other,-0.626
MAS1,in_trials,0.478
MAS1L,other,0.38
MASP1,other,0.393
MASP2,in_trials,-0.363
MAST1,other,5.7
MAST2,other,1.98
MAST3,other,5.15
MAST4,other,1.62
MASTL,other,1.29
MAT1A,other,2.48
MAT2A,other,5.5
MAT2B,other,1.42
MATK,other,2.01
MATN1,other,1.0
MATN2,other,2.31
MATN3,other,0.494
MATN4,other,0.135
MAU2,other,5.69
MAVS,other,1.24
MAX,other,2.66
MAZ,other,-1.58
MB,other,0.727
MB21D2,other,1.44
MBD1,other,2.87
MBD2,other,1.38
MBD3,other,-0.279
MBD3L1,other,0.763
MBD3L2,other,0.604
MBD3L2B,other,-2.32
MBD3L3,other,4.35
MBD3L5,other,1.82
MBD4,other,0.904
MBD5,other,2.0
MBD6,other,-0.418
MBIP,other,0.518
MBL2,other,-0.293
MBLAC1,other,0.298
MBLAC2,other,0.267
MBNL1,other,3.57
MBNL2,other,3.22
MBNL3,other,1.58
MBOAT1,other,0.721
MBOAT2,other,2.35
MBOAT4,other,0.858
MBOAT7,other,-0.407
MBP,other,0.523
MBTD1,other,5.02
MBTPS1,other,-3.28
MBTPS2,other,3.09
MC1R,in_trials,-2.3
MC2R,approved,0.412
MC3R,other,0.0335
MC4R,other,-0.0966
MC5R,other,0.234
MCAM,other,1.4
MCAT,other,-0.00734
MCC,other,-2.4
MCCC1,other,1.39
MCCC2,other,0.341
MCCD1,other,-1.3
MCEE,other,-0.0543
MCEMP1,other,0.143
MCF2,other,0.664
MCF2L,other,1.64
MCF2L2,other,1.34
MCFD2,other,-0.395
MCHR1,other,0.0972
MCHR2,other,0.48
MCIDAS,other,0.957
MCL1,in_trials,-0.948
MCM10,other,-0.207
MCM2,other,2.67
MCM3,other,1.54
MCM3AP,other,-0.144
MCM4,other,-0.558
MCM5,other,1.79
MCM6,other,2.04
MCM7,other,-1.79
MCM8,other,0.631
MCM9,other,1.13
MCMBP,other,1.95
MCMDC2,other,1.9
MCOLN1,other,3.09
MCOLN2,other,0.962
MCOLN3,other,1.54
MCPH1,other,-6.62
MCRIP1,other,0.603
MCRIP2,other,-0.307
MCRS1,other,2.52
MCTP1,other,0.553
MCTP2,other,-1.5
MCTS1,other,2.77
MCTS2,other,0.754
MCU,other,2.3
MCUB,other,0.0401
MCUR1,other,-0.0126
MDC1,other,3.62
MDFI,other,0.285
MDFIC,other,-0.945
MDGA1,other,2.82
MDGA2,other,1.54
MDH1,other,0.787
MDH1B,other,0.764
MDH2,other,0.263
MDK,other,0.198
SAXO6,other,0.389
MDM2,in_trials,3.36
MDM4,other,2.32
MDN1,other,4.22
MDP1,other,0.334
ME1,other,-0.905
ME2,other,1.79
ME3,other,1.85
MEA1,other,-0.0704
MEAF6,other,1.65
MEAK7,other,-5.98
MECOM,other,2.31
MECP2,other,-2.97
MECR,other,0.187
MED1,other,3.52
MED10,other,1.19
MED11,other,0.565
MED12,other,9.24
MED12L,other,4.41
MED13,other,3.33
MED13L,other,6.46
MED14,other,5.44
MED15,other,3.8
MED16,other,-4.1
MED17,other,1.05
MED18,other,1.61
MED19,other,0.375
MED20,other,1.24
MED21,other,0.683
MED22,other,0.421
MED23,other,6.25
MED24,other,2.84
MED25,other,1.35
MED26,other,0.833
MED27,other,2.32
MED28,other,-1.21
MED29,other,0.341
MED30,other,0.711
MED31,other,1.14
MED4,other,0.462
MED6,other,1.39
MED7,other,1.17
MED8,other,1.57
MED9,other,0.412
MEDAG,other,-0.555
MEF2A,other,1.67
MEF2B,other,1.33
MEF2C,other,5.7
MEF2D,other,3.09
MEFV,other,-2.21
MEGF10,other,1.75
MEGF11,other,0.133
MEGF6,other,-0.719
MEGF8,other,4.2
MEGF9,other,1.66
MEI1,other,0.0433
MEI4,other,1.49
MEIG1,other,-0.587
MEIOB,other,-0.00341
MEIOC,other,2.94
MEIOSIN,other,-5.07
MEIS1,other,3.74
MEIS2,other,3.52
MEIS3,other,0.887
MELK,other,0.359
MELTF,other,0.445
MEMO1,other,4.13
MEN1,in_trials,4.87
MEOX1,other,-0.0181
MEOX2,other,-1.1
MEP1A,other,0.463
MEP1B,other,1.3
MEPCE,other,1.49
MEPE,other,0.0885
MERTK,in_trials,1.5
MESD,other,-1.12
MESP1,other,-1.51
MESP2,other,-1.84
MEST,other,2.96
MET,in_trials,2.63
METAP1,in_trials,1.77
METAP1D,in_trials,0.203
METAP2,in_trials,3.81
METRN,other,-0.655
METRNL,other,0.466
METTL1,other,0.599
METTL13,other,0.924
METTL14,other,3.85
METTL15,other,1.15
METTL16,other,4.18
METTL17,other,0.414
METTL18,other,0.558
METTL21A,other,-0.109
METTL21C,other,0.0749
METTL22,other,-2.81
METTL23,other,-1.57
METTL24,other,0.573
METTL25,other,-1.6
METTL25B,other,1.16
METTL26,other,-1.6
METTL27,other,-0.396
METTL2A,other,2.01
METTL2B,other,2.93
METTL3,other,4.56
METTL4,other,0.437
METTL5,other,0.509
METTL6,other,0.492
TMT1A,other,0.49
TMT1B,other,-0.254
METTL8,other,0.204
METTL9,other,3.0
MEX3A,other,2.86
MEX3B,other,-0.566
MEX3C,other,1.94
MEX3D,other,-0.59
MFAP1,other,3.69
MFAP2,other,0.736
MFAP3,other,0.942
MFAP3L,other,2.2
MFAP4,other,1.47
MFAP5,other,0.325
MFF,other,0.415
MFGE8,other,0.13
MFHAS1,other,-5.2
MFN1,other,1.26
MFN2,other,3.14
MFNG,other,0.849
MFRP,other,-1.6
MFSD1,other,0.254
SLC75A1,other,-2.44
MFSD11,other,0.255
MFSD12,other,-4.08
SLC68A1,other,1.12
SLC71A1,other,3.41
SLC71A2,other,2.28
MFSD2A,other,3.36
MFSD2B,other,0.373
SLC33A2,other,-3.18
SLC60A1,other,2.23
SLC60A2,other,0.678
SLC61A1,other,1.08
MFSD6,other,3.21
MFSD6L,other,-0.259
MFSD8,other,1.32
SLC67A2,other,-0.622
MGA,other,1.65
MGAM,in_trials,2.57
MGAM2,other,-10.8
MGARP,other,0.365
MGAT1,other,1.18
MGAT2,other,0.451
MGAT3,other,3.27
MGAT4A,other,2.54
MGAT4B,other,0.775
MGAT4C,other,1.3
MGAT4D,other,-6.73
MGAT5,other,3.04
MGAT5B,other,1.99
MGLL,in_trials,1.21
MGME1,other,0.316
MGMT,other,-0.363
MGP,other,0.209
MGRN1,other,-3.05
MGST1,other,0.167
MGST2,other,0.519
MGST3,other,1.15
MIA,other,0.467
MIA-RAB4B,other,0.443
MIA2,other,-0.691
MIA3,other,1.31
MIB1,other,3.58
MIB2,other,-1.35
MICA,other,1.61
MICAL1,other,1.02
MICAL2,other,0.939
MICAL3,other,2.22
MICALL1,other,1.08
MICALL2,other,-3.88
MICB,other,1.11
MICOS10,other,-0.282
MICOS10-NBL1,other,0.234
MICOS13,other,-0.308
MICU1,other,1.46
MICU2,other,-0.702
MICU3,other,-1.9
MID1,other,3.46
MID1IP1,other,1.06
MID2,other,2.57
MIDEAS,other,2.3
MIDN,other,-1.2
MIEF1,other,1.26
MIEF2,other,0.938
MIEN1,other,-0.289
MIER1,other,1.74
MIER2,other,0.673
MIER3,other,2.55
MIF,approved,-2.11
MIF4GD,other,0.449
MIGA1,other,-0.0302
MIGA2,other,1.94
MIIP,other,0.297
MILR1,other,-3.39
MINAR1,other,0.252
MINAR2,other,-0.821
MINDY1,other,1.68
MINDY2,other,-1.65
MINDY3,other,-0.056
MINDY4,other,0.129
MINDY4B,other,-5.21
MINK1,other,4.49
MINPP1,other,0.121
MIOS,other,0.629
MIOX,other,-0.3
MIP,other,1.72
MIPEP,other,-0.488
MIPOL1,other,-0.743
MIS12,other,1.12
MIS18A,other,-0.0307
MIS18BP1,other,-0.706
MISP,other,-2.08
MISP3,other,-3.16
MITD1,other,0.712
MITF,other,1.0
MIX23,other,0.886
MIXL1,other,0.0403
MKI67,other,-0.375
MKLN1,other,3.67
MKNK1,in_trials,1.89
MKNK2,in_trials,-0.897
MKRN1,other,2.36
MKRN2,other,0.197
MKRN2OS,other,-1.37
MKRN3,other,-1.35
MKS1,other,0.726
MKX,other,-0.0311
MLANA,other,-0.717
MLC1,other,0.638
MLEC,other,3.32
MLF1,other,0.416
MLF2,other,1.97
MLH1,other,0.688
MLH3,other,1.81
MLIP,other,-1.21
MLKL,other,-2.14
MLLT1,other,3.47
MLLT10,other,1.79
MLLT11,other,0.835
MLLT3,other,1.87
MLLT6,other,2.73
MLN,other,0.747
MLNR,in_trials,-0.66
MLPH,other,0.262
MLST8,in_trials,0.646
MLX,other,0.519
MLXIP,other,2.88
MLXIPL,other,1.42
MLYCD,other,-4.17
MMAA,other,0.685
MMAB,other,0.482
MMACHC,other,-0.615
MMADHC,other,0.412
MMD,other,1.64
MMD2,other,-0.914
MME,other,0.855
MMEL1,other,0.463
MMGT1,other,1.43
MMP1,in_trials,-0.97
MMP10,other,-0.884
MMP11,other,0.777
MMP12,other,0.729
MMP13,in_trials,0.138
MMP14,other,2.89
MMP15,other,1.6
MMP16,other,4.48
MMP17,other,0.243
MMP19,other,0.916
MMP2,other,1.08
MMP20,other,-1.07
MMP21,other,0.434
MMP23B,other,2.51
MMP24,other,3.21
MMP25,other,-2.26
MMP26,other,-0.742
MMP27,other,-1.35
MMP28,other,0.821
MMP3,other,0.135
MMP7,in_trials,-0.957
MMP8,in_trials,-1.73
MMP9,in_trials,0.41
MMRN1,other,-1.88
MMRN2,other,-0.0787
MMS19,other,1.18
MMS22L,other,0.805
MMUT,other,0.806
MN1,other,0.208
MNAT1,other,1.01
MND1,other,0.732
MNDA,other,-1.17
MNS1,other,-0.749
MNT,other,0.53
MNX1,other,0.157
MOAP1,other,0.701
MOB1A,other,2.11
MOB1B,other,0.439
MOB2,other,1.15
MOB3A,other,-0.538
MOB3B,other,0.719
MOB3C,other,0.267
MOB4,other,2.93
MOBP,other,1.85
MOCOS,other,0.088
MOCS1,other,0.535
MOCS2,other,-0.25
MOCS3,other,0.326
MOG,other,1.23
MOGAT1,other,-0.511
MOGAT2,other,-0.0563
MOGAT3,other,-0.00121
MOGS,other,0.966
MOK,other,0.172
MON1A,other,2.24
MON1B,other,0.273
MON2,other,3.84
MORC1,other,2.37
MORC2,other,4.8
MORC3,other,3.4
MORC4,other,1.27
MORF4L1,other,3.81
MORF4L2,other,2.65
MORN1,other,-0.987
MORN2,other,-1.23
MORN3,other,0.255
MORN4,other,0.755
MORN5,other,0.119
MOS,other,0.807
MOSMO,other,2.16
MOSPD1,other,1.71
MOSPD2,other,2.05
MOSPD3,other,0.209
MOV10,other,4.09
MOV10L1,other,1.32
MOXD1,other,-1.44
MPC1,other,1.01
MPC1L,other,0.505
MPC2,other,1.07
MPDU1,other,0.455
MPDZ,other,-5.66
MPEG1,other,0.0612
MPG,other,-0.827
MPHOSPH10,other,1.1
MPHOSPH6,other,-2.76
MPHOSPH8,other,1.83
MPHOSPH9,other,1.7
MPI,other,0.189
MPIG6B,other,0.419
MPL,approved,1.89
MPLKIP,other,-1.23
MPND,other,0.0814
MPO,other,0.577
MPP1,other,1.69
MPP2,other,1.99
MPP3,other,2.21
MPP4,other,0.741
MPP7,other,0.858
MPPE1,other,1.23
MPPED1,other,2.93
MPPED2,other,2.15
MPRIP,other,4.89
MPST,other,-0.411
MPV17,other,0.529
MPV17L,other,0.407
MPV17L2,other,0.134
MPZ,other,1.47
MPZL1,other,1.26
MPZL2,other,-0.748
MPZL3,other,0.444
MR1,other,0.69
MRAP,other,-0.576
MRAP2,other,0.0547
MRAS,other,3.16
MRC1,other,-5.43
MRC2,other,3.1
MRE11,other,0.831
MREG,other,0.0368
MRFAP1,other,-0.044
MRFAP1L1,other,-0.181
MRGBP,other,1.29
MRGPRD,other,0.45
MRGPRE,other,-0.669
MRGPRF,other,-0.47
MRGPRG,other,-0.00721
MRGPRX1,other,-0.369
MRGPRX2,other,0.329
MRGPRX3,other,-0.756
MRGPRX4,other,0.128
MRI1,other,0.151
MRM1,other,0.655
MRM2,other,-0.16
MRM3,other,-0.693
MRNIP,other,-0.736
MRO,other,-1.07
MROH1,other,-6.23
MROH2A,other,0.872
MROH2B,other,-1.21
MROH5,other,-0.342
MROH6,other,-1.94
MROH7,other,0.733
MROH7-TTC4,other,0.791
MROH8,other,2.74
MROH9,other,-0.565
MRPL1,other,0.687
MRPL10,other,0.5
MRPL11,other,0.0518
MRPL12,other,0.459
MRPL13,other,-0.298
MRPL14,other,0.473
MRPL15,other,0.651
MRPL16,other,0.298
MRPL17,other,-0.796
MRPL18,other,-0.0687
MRPL19,other,-0.365
MRPL2,other,0.111
MRPL20,other,-2.08
MRPL21,other,0.0644
MRPL22,other,0.559
MRPL23,other,2.66
MRPL24,other,1.03
MRPL27,other,-0.0973
MRPL28,other,-2.47
MRPL3,other,0.446
MRPL30,other,0.614
MRPL32,other,0.692
MRPL33,other,-0.0448
MRPL34,other,-0.781
MRPL35,other,0.00715
MRPL36,other,-0.567
MRPL37,other,0.213
MRPL38,other,-0.157
MRPL39,other,-0.41
MRPL4,other,0.668
MRPL40,other,-0.334
MRPL41,other,0.958
MRPL42,other,-0.0581
MRPL43,other,0.512
MRPL44,other,-0.238
MRPL45,other,1.26
MRPL46,other,-1.27
MRPL47,other,-1.07
MRPL48,other,1.07
MRPL49,other,0.803
MRPL50,other,-0.806
MRPL51,other,0.376
MRPL52,other,-0.138
MRPL53,other,-0.879
MRPL54,other,0.275
MRPL55,other,1.03
MRPL57,other,-0.739
MRPL58,other,0.493
MRPL9,other,-0.556
MRPS10,other,0.0861
MRPS11,other,-0.546
MRPS12,other,-0.182
MRPS14,other,0.476
MRPS15,other,0.206
MRPS16,other,-0.148
MRPS17,other,0.503
MRPS18A,other,-0.826
MRPS18B,other,-0.165
MRPS18C,other,0.635
MRPS2,other,0.68
MRPS21,other,0.7
MRPS22,other,0.0158
MRPS23,other,-0.146
MRPS24,other,-0.142
MRPS25,other,-0.185
MRPS26,other,-0.0834
MRPS27,other,0.182
MRPS28,other,-0.897
MRPS30,other,-1.22
MRPS31,other,0.586
MRPS33,other,0.709
MRPS34,other,-1.95
MRPS35,other,0.235
KGD4,other,0.764
MRPS5,other,-0.444
MRPS6,other,-0.289
MRPS7,other,-0.141
MRPS9,other,0.158
MRRF,other,-0.0874
MRS2,other,1.12
MRTFA,other,0.301
MRTFB,other,0.834
MRTO4,other,-0.0918
MS4A1,approved,0.068
MS4A10,other,-0.316
MS4A12,other,-0.355
MS4A13,other,0.123
MS4A14,other,-0.563
MS4A15,other,0.262
MS4A18,other,-3.37
MS4A2,other,0.0147
MS4A3,other,-0.815
MS4A4A,other,0.076
MS4A4E,other,-0.476
MS4A5,other,-0.179
MS4A6A,other,-0.287
MS4A6E,other,-0.193
MS4A7,other,0.288
MS4A8,other,0.252
MSANTD1,other,0.511
MSANTD2,other,2.52
MSANTD3,other,2.01
MSANTD3-TMEFF1,other,1.23
MSANTD4,other,0.932
MSC,other,-0.801
MSGN1,other,0.0136
