gene,score_full,rank_pctile_full,is_pos_at_T0,is_emergent,is_holdout,in_pool,score_genetics,rank_pctile_genetics
HPS6,0.10598676436941842,0.014217243793419139,False,False,False,True,0.201879957690835,0.19107114007216328
HPSE,0.6812739560202737,0.8834078302547256,False,False,False,True,0.35046391159146273,0.5595885615811298
HPSE2,0.26274878919428707,0.39172814906564707,False,False,False,True,0.2944994405368153,0.4191932791211158
HPX,0.29567689606637665,0.4664763853734719,False,False,False,True,0.25873031828439597,0.33981366794119233
HR,0.33668438159874853,0.553772416392913,False,False,False,True,0.30798268915735527,0.45457482901610213
HRAS,0.23839393716305493,0.32920458829231514,False,False,False,True,0.293123929426074,0.41569282136894825
HRC,0.26009495669242105,0.3852657655231838,False,False,False,True,0.22842861094860115,0.26323442296300287
HRCT1,0.13871395448693122,0.06300823953901664,False,False,False,True,0.10433555657815452,0.02773439603640476
HRG,0.3737738565896368,0.6146265280844418,False,False,False,True,0.17027582886255332,0.11427648230922505
HRH1,0.8056000129878521,,True,False,False,False,0.6749641545116901,
HRH2,0.897502308189869,,True,False,False,False,0.7606662866473198,
HRH3,0.5939298214018345,,False,False,True,False,0.5464187011122703,
HRH4,0.31450217332690955,,False,False,True,False,0.33236762665212155,
HRK,0.2667354945507314,0.40206796273358825,False,False,False,True,0.35055771718422574,0.5599655339544402
HRNR,0.6073473334917562,0.8343475685281921,False,False,False,True,0.6755575887140284,0.8608971942484787
HROB,0.21692287104622443,0.2681889170122247,False,False,False,True,0.33224656143966985,0.5131132532715816
HS1BP3,0.12970654881198188,0.04033604394420809,False,False,False,True,0.14717194618543192,0.07490979589638645
HS2ST1,0.28520122058127995,0.44579675803758956,False,False,False,True,0.4679881818030947,0.7109698960633314
HS3ST1,0.40053413179352054,0.6518929398459798,False,False,False,True,0.2919509760548721,0.4124077764015294
HS3ST2,0.4237293872851223,0.6827508212612419,False,False,False,True,0.39823757037146007,0.6377834024449351
HS3ST3A1,0.4748183549940586,0.731703376595401,False,False,False,True,0.6062943214178085,0.8214766546394529
HS3ST3B1,0.4400942973190486,0.699176046098336,False,False,False,True,0.3489031535808486,0.5558726910442134
HS3ST4,0.4221119852078081,0.6808659593946901,False,False,False,True,0.40727575672696337,0.6506543163336744
HS3ST5,0.5941020087081583,0.8250848187839949,False,False,False,True,0.5931677759891778,0.8118907857181323
HS3ST6,0.21362450483007048,0.2586030480909042,False,False,False,True,0.2154302175095932,0.22440626851203618
HS6ST1,0.7202637766301632,0.9061338790457214,False,False,False,True,0.7281020504236221,0.8920781948408638
HS6ST2,0.37182009896052254,0.611341483117023,False,False,False,True,0.22148661653405613,0.24190855727287414
HS6ST3,0.35608306993739774,0.5879691959717809,False,False,False,True,0.30067212879657745,0.4342721740535301
HSBP1,0.24120397158343382,0.33760568689751735,False,False,False,True,0.5020743936601312,0.7335882384619528
HSBP1L1,0.2617938110444146,0.3894663148257849,False,False,False,True,0.20039680104721622,0.18730141633905972
HSCB,0.3123592196404934,0.5007270181485272,False,False,False,True,0.2649510728567839,0.35209219667187247
HSD11B1,0.7243732478545637,0.9087188324627067,False,False,False,True,0.4429735229635725,0.6884592600570844
HSD11B1L,0.33170661036715365,0.5420324196241046,False,False,False,True,0.34124125224171264,0.535731595670203
HSD11B2,0.2543239274575394,0.37040228337551834,False,False,False,True,0.2617528510793131,0.3458990791103452
HSD17B1,0.12775226239928134,0.038128062900533145,False,False,False,True,0.20719229074450313,0.20415746674565136
HSD17B10,0.5587459534860505,0.8000430825569498,False,False,False,True,0.687972433070846,0.8668210458290699
HSD17B11,0.18590216981057,0.18385481178307933,False,False,False,True,0.33353234622247363,0.5160751790618773
HSD17B12,0.38678266991622484,0.6336367063385212,False,False,False,True,0.32962199341711684,0.5058969249824977
HSD17B13,0.15162301561490973,0.10205180677473208,False,False,False,True,0.3143514641116013,0.4708384942646346
HSD17B14,0.18724310409333839,0.1875168291238085,False,False,False,True,0.156527136438456,0.08939630567074155
HSD17B2,0.20601543654896776,0.23862351230545534,False,False,False,True,0.18194075924705486,0.14184931875706824
HSD17B3,0.31903774742827273,0.5139210512143896,False,False,False,True,0.3047464188903269,0.4449889600947816
HSD17B4,0.22598756070320422,0.29683881738381174,False,False,False,True,0.11654838514633668,0.04906026172653347
HSD17B6,0.284917073869946,0.4453120792719048,False,False,False,True,0.21590012628020663,0.22569874522052885
HSD17B7,0.4398673023261018,0.6988529269212128,False,False,False,True,0.5502813137955402,0.7727395120900425
HSD17B8,0.22999487534547464,0.3073940438365017,False,False,False,True,0.22646915706304405,0.25741827777478593
HSD3B1,0.20550787853236174,0.23760030157789866,False,False,False,True,0.1894565994041649,0.16118261618827076
HSD3B2,0.308517545770487,0.4939953686251279,False,False,False,True,0.26250032779466304,0.3468684366417147
HSD3B7,0.4072546841302499,0.6615326619634875,False,False,False,True,0.3514380750771101,0.5614195702514945
HSDL1,0.09262949168080031,0.005546879207280952,False,False,False,True,0.10053810601433118,0.011524583984059453
HSDL2,0.2564338074444826,0.37659540093704563,False,False,False,True,0.3008672788963845,0.4352415315848996
HSF1,0.1903108383154439,0.1959717809251979,False,False,False,True,0.21176137548592902,0.21508966557165168
HSF2,0.6689300090074539,0.8758683827885185,False,False,False,True,0.654690886537234,0.8499111422262912
HSF2BP,0.2590387482664094,0.38300393128332166,False,False,False,True,0.15436358937067002,0.08481878399483009
HSF4,0.4475386827654645,0.7062846679950455,False,False,False,True,0.2994464113173751,0.43141795465560884
HSF5,0.6886212862643999,0.887392966772578,False,False,False,True,0.6925976986123115,0.8701060907964888
HSFX1,0.5227667866609036,0.7735473100328505,False,False,False,True,0.7231006066004435,0.8886315902848834
HSFX2,0.579507285509354,0.8141526199579945,False,False,False,True,0.6887006411185631,0.8673595777909419
HSFX3,0.733492131787117,0.9150196564166083,False,False,False,True,0.689271254370911,0.8675211373795034
HSFX4,0.7317831156217507,0.9141580052776133,False,False,False,True,0.7103980847724198,0.8806074640529915
HSH2D,0.47568803325747,0.7326727341267705,False,False,False,True,0.34449616774465097,0.5439172814906564
HSP90AA1,0.6205831903219223,,False,False,True,False,0.5769690960645676,
HSP90AB1,0.7053925769031048,,False,False,True,False,0.5692690059542656,
HSP90B1,0.6987048696033918,0.8933168183531692,False,False,False,True,0.7638703680517686,0.9248209381226776
HSPA12A,0.6880468694549619,0.8869082880068933,False,False,False,True,0.6233597373721576,0.8323011470730788
HSPA12B,0.2934281233013893,0.4618450105013733,False,False,False,True,0.28043057457829007,0.38224998653670095
HSPA13,0.7666091987021684,0.9354300177715548,False,False,False,True,0.5178086411983228,0.7447358500727018
HSPA14,0.32063304697855927,0.5170445365932468,False,False,False,True,0.2498317532050304,0.32144972804135924
HSPA1A,0.788811416631967,0.9492164359954763,False,False,False,True,0.779105837470922,0.9388766223275351
HSPA1B,0.7624075539486924,0.9327912111583823,False,False,False,True,0.711607535321688,0.8813075556034251
HSPA1L,0.1950770744200175,0.2097043459529323,False,False,False,True,0.33921903286439675,0.5299693036781733
HSPA2,0.7470865585477219,0.924659378534116,False,False,False,True,0.7963222703957921,0.9515859766277128
HSPA4,0.599214776002582,0.8288545425170983,False,False,False,True,0.557746052592244,0.7797404275943777
HSPA4L,0.6166860643105629,0.8400560073240347,False,False,False,True,0.3791341005991667,0.6128493726102644
HSPA5,0.938846898995913,0.998061284937261,False,False,False,True,0.8323940173173562,0.9729656955140288
HSPA6,0.7768050396262701,0.9414615757445204,False,False,False,True,0.5602398197255541,0.7820022618342398
HSPA8,0.7734648001194,0.9397921266627174,False,True,False,True,0.7586363461613655,0.9195433248963326
HSPA9,0.8207399839132874,0.9673111099143734,False,False,False,True,0.5424778861316604,0.7647692390543379
HSPB1,0.2231381983895387,0.28978404868328933,False,False,False,True,0.1762350520157084,0.1249932683504766
IFT25,0.27560313227417554,0.4237169476008401,False,False,False,True,0.3045585656181518,0.44418116215197373
HSPB2,0.24781733149073903,0.3536000861651139,False,False,False,True,0.2478683762290935,0.316387527599763
HSPB2-C11orf52,0.2191805337764779,0.2749744197318111,False,False,False,True,0.20367849599189905,0.19484086380526686
HSPB3,0.28490058185182854,0.4452582260757176,False,False,False,True,0.23869898990931246,0.2918304701384027
HSPB6,0.2566734991097813,0.37724163929129195,False,False,False,True,0.16037865383976002,0.09682804674457429
HSPB7,0.2761005154914326,0.42506327750552,False,False,False,True,0.2794703184956252,0.3800958586892132
HSPB8,0.23510965689789826,0.3193494533900587,False,False,False,True,0.19691022266137417,0.17841563896817275
HSPB9,0.30764086510817606,0.4914642684043298,False,False,False,True,0.17018505176482487,0.11395336313210189
HSPBAP1,0.19461011288998029,0.2078733372825677,False,False,False,True,0.36353612566987675,0.5858689213204804
HSPBP1,0.20704973305589588,0.2407237869567559,False,False,False,True,0.25173228833094313,0.32581183693252197
HSPD1,0.8398930613572398,0.9762507404814476,False,False,False,True,0.684510320580254,0.8653670095320157
HSPE1,0.675725356346429,0.8793688405406861,False,False,False,True,0.39377937661577955,0.6320749636490925
HSPE1-MOB4,0.7754158230928274,0.9407614841940869,False,False,False,True,0.7709231731219169,0.9317141472346384
HSPG2,0.736302981068035,0.9171199310679089,False,False,False,True,0.766947206809436,0.9282136894824707
HSPH1,0.5576688964595449,0.7992352846141418,False,False,False,True,0.4127586154276843,0.6572244062685121
HTATIP2,0.2802554134166602,0.4357262103505843,False,False,False,True,0.24626689185999862,0.31164844633529
HTATSF1,0.3220113701358133,0.5199526091873553,False,False,False,True,0.547515521244127,0.7702084118692445
HTD2,0.20434592649190111,0.2345845225914158,False,False,False,True,0.17154438360923469,0.1164844633529
HTN1,0.1605419263015596,0.12407776401529431,False,False,False,True,0.28986530933453114,0.4034681458344553
HTN3,0.2303159907846253,0.30836340136787116,False,False,False,True,0.29821023476247344,0.4281867628843772
HTR1A,0.32125645466148856,,False,False,True,False,0.3032449199259281,
HTR1B,0.37054044426399835,0.6097258872314072,False,False,False,True,0.31625219282447076,0.47385427325111745
HTR1D,0.3473499954944879,0.5732134202164898,False,False,False,True,0.19315863692730514,0.16996068716678334
HTR1E,0.4324732604038775,0.6918520114168776,False,False,False,True,0.4510985795576968,0.6971834778394098
HTR1F,0.3292084688349709,0.5371317787710701,False,False,False,True,0.3299339883068065,0.5068662825138672
HTR2A,0.5702500262856484,,False,False,True,False,0.5369514711201191,
HTR2B,0.42978353994061247,0.6885669664494588,False,False,False,True,0.28941532864113045,0.4026603478916474
HTR2C,0.6154323406517506,,False,False,True,False,0.5593136003613473,
HTR3A,0.1900738040357828,,False,False,True,False,0.1874874249473214,
HTR3B,0.2392966841556588,0.33205880769023643,False,False,False,True,0.16181548297101137,0.10054391728149066
HTR3C,0.32131345660855926,0.5186601324788627,False,False,False,True,0.32819866377690116,0.5020194948570198
HTR3D,0.31601401260404877,0.5078894932414239,False,False,False,True,0.21874282426304287,0.23436910980666703
HTR3E,0.27156200317236096,0.41310786795196297,False,False,False,True,0.18065900187461803,0.1361947331574129
HTR4,0.4290707401186228,,False,False,True,False,0.29845470391213896,
HTR5A,0.2326234710875468,0.31369486779040334,False,False,False,True,0.1618879114338501,0.10081318326242662
HTR6,0.32084965796640075,0.5174753621627444,False,False,False,True,0.19446129643069912,0.17265334697614304
HTR7,0.5998208510694165,0.8292315148904087,False,False,False,True,0.4992411783352721,0.7316495233992137
HTRA1,0.39579309839190857,0.645807528676827,False,False,False,True,0.408815594935658,0.6528622973773494
HTRA2,0.29600883154245805,0.46706877053153106,False,False,False,True,0.5630041922106961,0.784264096074102
HTRA3,0.31633577807521335,0.5085895847918575,False,False,False,True,0.2570579941479527,0.337228714524207
HTRA4,0.4875203316109349,0.7434972265603964,False,False,False,True,0.2853410972489251,0.3928052129893909
HTT,0.6215542388534305,0.8433410522914535,False,False,False,True,0.8284101618660821,0.9709731272551025
HUNK,0.6654447834823549,0.8731218697829716,False,False,False,True,0.6229066527688626,0.8320318810921428
HUS1,0.20997844810413224,0.24960956432764284,False,False,False,True,0.16798815967013994,0.10856804351338252
HUS1B,0.09231186104126465,0.005385319618719371,False,False,False,True,0.10344665978963559,0.02498788303085788
HUWE1,0.6800388735954208,0.8826000323119177,False,False,False,True,0.7432005488210254,0.906026172653347
HVCN1,0.5073979144746606,0.7602994237708008,False,False,False,True,0.3600492241858232,0.5789757122085196
HYAL1,0.4408051890467629,0.6998222844525822,False,False,False,True,0.4697057461072951,0.7124777855565728
HYAL2,0.2765129572305924,0.4261403414292638,False,False,False,True,0.3456324325922208,0.5467715008885777
HYAL3,0.5152342092930055,0.7666541009208897,False,False,False,True,0.5130580140619861,0.7409661263395982
HYAL4,0.2932719544849204,0.4614141849318757,False,False,False,True,0.17257171023131615,0.11842317841563897
HYDIN,0.8217956087916031,0.9676342290914965,False,False,False,True,0.8124605583660494,0.9613334051375949
HYI,0.38467695253278744,0.6307286337444127,False,False,False,True,0.1510798629354592,0.07916419839517476
HYKK,0.13244454821153562,0.045021272012493944,False,False,False,True,0.2793095939013423,0.3795034735311541
HYLS1,0.20753781903873791,0.2424470892347461,False,False,False,True,0.2790510266868755,0.37901879476546935
HYOU1,0.9084545732146562,0.9942915612041575,False,False,False,True,0.8572028321449203,0.9841133071247778
HYPK,0.33265715426936443,0.5440249878830309,False,False,False,True,0.3363254453454699,0.5234530669395229
IAH1,0.1273516401344416,0.03742797135009963,False,False,False,True,0.1744636626800104,0.12165437018687059
IAPP,0.27443014692092677,0.42080887500673164,False,False,False,True,0.3429635038849005,0.5399859981689913
IARS1,0.5129969827085733,0.7647153858581507,False,False,False,True,0.22569109193980694,0.2553718563196726
IARS2,0.28591993667185306,0.4476277667079541,False,False,False,True,0.3631599125266075,0.5849534169852981
IBA57,0.12062017296497919,0.03005008347245409,False,False,False,True,0.1551604738877136,0.0865420862728203
IBSP,0.3260336116407857,0.527115084280252,False,False,False,True,0.34165763817351275,0.5370779255748829
IBTK,0.29860149142403286,0.4726695029349992,False,False,False,True,0.5454849830738784,0.768161990414131
ICA1,0.504205311063546,0.757283644784318,False,False,False,True,0.3020243692637688,0.43798804459044643
ICA1L,0.18282608877943488,0.1764230707092466,False,False,False,True,0.30088796580628474,0.43534923797727393
ICAM1,0.46259725354611875,,False,False,True,False,0.32814362689852716,
ICAM2,0.7506980599485679,0.9261672680273574,False,False,False,True,0.5337449256236177,0.758145295923313
ICAM3,0.5221690979554569,0.7730087780709786,False,False,False,True,0.3694860135692025,0.5976089180892886
ICAM4,0.3198669503885086,0.5155366471000054,False,False,False,True,0.17954144066180847,0.13280198179761968
ICAM5,0.8469446563359463,0.9788895470946201,False,False,False,True,0.7687390628788207,0.9299908449566482
ICE1,0.35486809878933184,0.5850072701814852,False,False,False,True,0.3463974653610161,0.5489794819322527
ICE2,0.11217362858355046,0.019979535785448865,False,False,False,True,0.16173109479248524,0.10038235769292908
ICMT,0.6274159540783386,0.8471646292207442,False,False,False,True,0.5198711670022838,0.7463514459583176
ICOS,0.809544470012188,,False,False,True,False,0.8615335750579834,
ICOSLG,0.8773580199480057,,False,False,True,False,0.9081072345376014,
ID1,0.11660198114660321,0.025041736227045076,False,False,False,True,0.10399322266861492,0.026388066131724917
ID2,0.47354098164824526,0.7304108998869083,False,False,False,True,0.4555663466453552,0.7014378803381981
ID3,0.2738847115758768,0.4190855727287415,False,False,False,True,0.1933185935942168,0.17028380634390652
ID4,0.4293771490530314,0.6881361408799612,False,False,False,True,0.5037207998675743,0.7349345683666325
IDE,0.7295019874717984,0.9123269966072486,False,False,False,True,0.6247742283465293,0.8332166514082611
IDH1,0.3659005318954587,,False,False,True,False,0.3817971654236317,
IDH2,0.5683494283258915,,False,False,True,False,0.3873302598297596,
IDH3A,0.5868409160524607,0.8200764715385858,False,False,False,True,0.5462822562456131,0.7687543755721902
IDH3B,0.20757295520323787,0.24255479562712046,False,False,False,True,0.3840677412935925,0.6188809305832301
IDH3G,0.33262834058265495,0.5439172814906564,False,False,False,True,0.6105392570748474,0.8241693144488126
IDI1,0.39288845531005956,0.6418762453551619,False,False,False,True,0.22282097226561015,0.2464860789487856
IDI2,0.21921245487940372,0.2751898325165599,False,False,False,True,0.18472340942627222,0.1497118854003985
IDNK,0.21218776572495698,0.2549948839463622,False,False,False,True,0.2176781863346696,0.23156874360493296
IDO1,0.36948521245270965,,False,False,True,False,0.2251083780452609,
IDO2,0.15803177119829717,0.11723840809952071,False,False,False,True,0.10332190140317647,0.0248263234422963
IDS,0.5906468702451831,0.8231999569174431,False,False,False,True,0.6184645995573343,0.8298239000484678
IDUA,0.45498246059875297,0.712800904733696,False,False,False,True,0.5295063133793648,0.7550218105444558
IER2,0.28198085422745817,0.43971134686843666,False,False,False,True,0.11786665075321488,0.05099897678927244
IER3,0.46227470443260915,0.7194787010609079,False,False,False,True,0.4456725379794228,0.6915827454359417
IER3IP1,0.15817316482313956,0.11777694006139264,False,False,False,True,0.3600978104002548,0.579083418600894
IER5,0.48994778032706243,0.7455436480155098,False,False,False,True,0.11001915759359947,0.03678173299585331
IER5L,0.17733657582453927,0.1636060100166945,False,False,False,True,0.1557041409672523,0.08745759060800258
IFFO1,0.18259281461889093,0.17577683235500027,False,False,False,True,0.3358649548256036,0.5218913242500942
IFFO2,0.5781026364741276,0.8135602347999353,False,False,False,True,0.5610149081568329,0.782594646992299
IFI16,0.2309266644410598,0.3098712908611126,False,False,False,True,0.21828508327404658,0.2330227799019872
IFI27,0.3056817845337921,0.4874252786902903,False,False,False,True,0.20798146807485157,0.20604232861220315
IFI27L1,0.3945665059961038,0.6446227583607087,False,False,False,True,0.21697448757548018,0.22919920297269644
IFI27L2,0.18942044750990603,0.19387150627389735,False,False,False,True,0.18928279754171518,0.16069793742258603
IFI30,0.6625939272533213,0.8707523291507351,False,False,False,True,0.45877373626994605,0.7043459529323065
IFI35,0.5678474731402954,0.8059669341375411,False,False,False,True,0.24718582720925966,0.31434110614464966
IFI44,0.4948311566629193,0.749798050514298,False,False,False,True,0.11519610185665313,0.0445365932468092
IFI44L,0.3589609273229585,0.5922235984705693,False,False,False,True,0.11515385704585399,0.04437503365824762
IFI6,0.45276283916800913,0.710592923690021,False,False,False,True,0.1776349176887912,0.12892455167214173
IFIH1,0.9351397283149488,0.9977381657601379,False,False,False,True,0.924166842843547,0.998330550918197
IFIT1,0.5133178173420355,0.7652000646238354,False,False,False,True,0.3346192817558947,0.5188755452636113
