gene,group,residual
AGMAT,non-target,32.094798757242515
AGO1,non-target,-35.48507638263375
AGO2,non-target,28.568818117220545
AGO3,non-target,-24.579047395413667
AGPAT1,non-target,31.656788590333676
AGPAT2,non-target,14.462313963258136
AGPAT3,non-target,-5.593145971944239
AGPAT4,non-target,12.962548872854503
AGPAT5,non-target,-1.5705844027203948
AGPS,non-target,-30.33008497496381
AGRN,non-target,55.29813730274936
AGTPBP1,non-target,-19.758827716092483
AGTRAP,non-target,41.46081961640376
AHCY,non-target,57.58479191900138
AHCYL1,non-target,-45.185970227945894
AHCYL2,non-target,12.759766757908665
AHDC1,non-target,20.626654545671663
AHI1,non-target,50.82671750763404
AHNAK,non-target,45.080665873139566
AHR,approved,-7.51060952224347
AHRR,non-target,1.2051414730944952
AHSA1,non-target,64.84623456312796
AIDA,non-target,-11.461238645768583
AIF1,non-target,35.43254065769216
AIFM1,non-target,-19.627861965462632
AIFM2,non-target,25.201118677131547
AIG1,non-target,8.109057669057934
AIM2,non-target,22.011102067212104
AIMP1,non-target,-32.00743636477966
AIMP2,non-target,29.857927598936815
AIP,non-target,-7.472939294756007
AK1,non-target,24.04330735551355
AK3,non-target,6.870127549435256
AK4,non-target,23.910427248917276
AK9,non-target,-7.73362632686666
AKAP1,non-target,6.928110812887515
AKAP10,non-target,-36.58562821337353
AKAP11,non-target,-16.97180401044068
AKAP12,non-target,-5.45602047930501
AKAP13,non-target,33.69779871824988
AKAP17A,non-target,-14.751520608931246
AKAP5,non-target,64.68389999803081
AKAP7,non-target,28.2751836027778
AKAP8,non-target,-37.90993570912392
AKAP8L,non-target,-21.551148056415837
AKAP9,non-target,-2.501923936231355
AKIP1,non-target,-3.3124132212877737
AKIRIN1,non-target,-31.05417905094304
AKIRIN2,non-target,5.547305162379071
AKNA,non-target,28.544137295253385
AKR1A1,non-target,-4.372247490507685
AKR1B1,non-target,-8.682766189914114
AKR1C3,non-target,19.873395491007884
AKR1E2,non-target,-15.60111977970822
AKR7A2,non-target,-0.521452561341866
AKT1,in-trial,-4.1415792251624355
AKT1S1,non-target,-10.099147571877127
AKT2,in-trial,-47.481421818452134
AKT3,in-trial,35.80083061094689
AKTIP,non-target,7.487980043285066
ALAD,non-target,-10.153314392450149
ALAS1,non-target,-17.010003550767863
ALCAM,non-target,23.448031284680848
ALDH16A1,non-target,1.834818397364143
ALDH18A1,non-target,0.1700225682605035
ALDH1B1,non-target,8.143177192516168
ALDH3A2,non-target,11.942495307967144
ALDH5A1,in-trial,28.64707899879059
ALDH7A1,non-target,10.157926317197314
ALDH8A1,non-target,-2.357783396961917
ALDH9A1,non-target,-19.756638247863822
ALDOC,non-target,54.99614424357562
ALG1,non-target,-17.674344569811883
ALG12,non-target,-23.63756278328242
ALG13,non-target,-63.86499278904193
ALG14,non-target,-3.2641103626808294
ALG2,non-target,5.881529490719688
ALG3,non-target,12.143215115010738
ALG5,non-target,-4.3949835469129015
ALG6,non-target,-35.19942208516424
ALG8,non-target,-16.034336114991174
ALG9,non-target,-21.80521274874992
ALKBH1,non-target,-33.90812799886863
ALKBH2,non-target,-8.701587065995772
ALKBH3,non-target,-10.034559835212072
ALKBH4,non-target,-33.23115243517654
ALKBH5,non-target,-43.84079457318925
ALKBH6,non-target,-14.967022202291218
ALKBH7,non-target,11.961328792456932
ALKBH8,non-target,-14.85045131172569
ALMS1,non-target,-26.34732513642428
ALOX5,approved,27.202803699401887
ALOX5AP,non-target,39.43030423861743
ALPK1,non-target,45.53662317764448
ALS2,non-target,-7.539337836509827
ALYREF,non-target,66.11132761287672
AMBRA1,non-target,-28.96720264799121
AMD1,non-target,19.886370600548343
AMDHD1,non-target,-7.279032790787187
AMDHD2,non-target,12.062829887303565
AMER1,non-target,-12.689427810758366
AMFR,non-target,-1.987080992292628
AMIGO2,non-target,38.51571433757152
AMMECR1,non-target,-24.778336225663903
AMN1,non-target,-6.056564172596147
AMOTL1,non-target,-19.037887298692645
AMPD2,non-target,-17.071585692944325
AMPD3,non-target,24.515513671417523
AMT,non-target,2.703108117605199
AMZ2,non-target,3.2675584421170547
ANAPC10,non-target,-33.848764199599096
ANAPC11,non-target,9.711346114680891
ANAPC13,non-target,0.2090728445149151
ANAPC15,non-target,22.50535471155047
ANAPC16,non-target,50.527430842029766
ANAPC4,non-target,-51.86666224327481
ANAPC5,non-target,-33.64668734173751
ANAPC7,non-target,-22.900173053421213
ANGEL1,non-target,-6.990033317376546
ANGEL2,non-target,-39.284716722058704
ANGPTL6,non-target,5.275745824586228
ANK1,non-target,3.703756384376289
ANK3,non-target,6.718480737785072
ANKAR,non-target,-15.52069791873322
ANKDD1A,non-target,15.7304079302889
ANKEF1,non-target,8.947259652290937
ANKFY1,non-target,-21.956874309955044
ANKH,non-target,17.433562799460457
ANKIB1,non-target,-41.66860571006112
ANKLE1,non-target,4.007499629854002
ANKLE2,non-target,-18.479878553393032
ANKMY1,non-target,-9.147759665848076
ANKMY2,non-target,-10.68235732963374
ANKRD10,non-target,57.9108550458511
ANKRD11,non-target,-9.950267730974206
ANKRD12,non-target,30.695851200660723
ANKRD13A,non-target,21.155764734396673
ANKRD13B,non-target,11.837210124529388
ANKRD13C,non-target,-26.55210057324804
ANKRD13D,non-target,-8.242046029500727
ANKRD16,non-target,-13.997329369772649
ANKRD17,non-target,-57.165616721870265
ANKRD18A,non-target,-5.126564197922423
ANKRD18B,non-target,-7.087872306933306
ANKRD26,non-target,-7.164765579124205
ANKRD27,non-target,-17.324892149953566
ANKRD28,non-target,9.62695942423428
ANKRD31,non-target,-7.667393547470094
ANKRD33B,non-target,24.45399921680717
ANKRD35,non-target,10.32505386002276
ANKRD36,non-target,-8.26826454366257
ANKRD37,non-target,17.359258792936657
ANKRD39,non-target,-16.114593107525625
ANKRD40,non-target,-28.073760484440346
ANKRD42,non-target,10.788606529474285
ANKRD44,non-target,8.762986892828442
ANKRD46,non-target,-8.465714328999974
ANKRD49,non-target,-29.30974697620948
ANKRD50,non-target,9.93530813839432
ANKRD52,non-target,-27.76739420111849
ANKRD54,non-target,-24.36606913681787
ANKRD55,non-target,5.82747678226974
ANKRD6,non-target,6.660965284440841
ANKRD61,non-target,-12.73211116572383
ANKRD9,non-target,-16.017163394047177
ANKS1A,non-target,-28.749530311920314
ANKS3,non-target,-16.022674612264737
ANKS6,non-target,2.6013442608953325
ANKZF1,non-target,-0.0004050499391681
ANLN,non-target,10.855474010426429
ANO10,non-target,26.61796908353406
ANO6,non-target,5.436965403338405
