gene,core,pctile_genetics,pctile_full,rank_shift,cov_class,gen_dec
ABRAXAS1,none,0.35780945544046766,0.2617680237924315,-0.09604143164803614,both,3
ABRAXAS2,none,0.5118449389806173,0.2061839811301405,-0.30566095785047687,both,5
ABT1,none,0.0879909752845862,0.1155266126551123,0.027535637370526098,cau,0
ABTB1,none,0.2837144908214542,0.4122141318839093,0.1284996410624551,both,2
ABTB2,none,0.6901856219874885,0.919495436365501,0.22930981437801257,both,6
ACAA1,none,0.5182032612039791,0.49656445492769974,-0.021638806276279343,both,5
ACAA2,none,0.2586914162649985,0.4760537380781458,0.21736232181314735,both,2
ACACA,none,0.9401087067993026,0.8672443851912625,-0.07286432160804013,both,9
ACACB,none,0.8078658599118039,0.8239154958465799,0.01604963593477593,both,8
ACAD10,none,0.7871500358937545,0.5542508460670701,-0.23289918982668445,cau,7
ACAD11,none,0.344733873448877,0.48025843503230436,0.13552456158342735,both,3
ACAD8,none,0.33124807712029536,0.07445390216388063,-0.2567941749564147,cau,3
ACAD9,none,0.32960721977233104,0.2387960209209312,-0.09081119885139985,both,3
ACADL,none,0.139677981745462,0.31586503948312994,0.17618705773766793,none,1
ACADM,none,0.3673982155676341,0.15552251051174237,-0.2118757050558917,both,3
ACADS,none,0.4136498820633781,0.12209004204696954,-0.29155984001640856,cau,4
ACADSB,none,0.16593169931289098,0.01302430519946672,-0.15290739411342424,cau,1
ACADVL,none,0.274894882576146,0.4895908111988514,0.21469592862270537,both,2
ACAN,none,0.5360988616552148,0.5841452158752949,0.04804635422008008,none,5
ACAP1,none,0.9563121731104502,0.9378525279458517,-0.018459645164598526,both,9
ACAP2,none,0.9073941134242641,0.9382114654907189,0.03081735206645475,both,9
ACAP3,none,0.10660445082555635,0.16475233309404164,0.05814788226848529,both,1
ACAT1,none,0.502256178853451,0.6053225310224593,0.10306635216900828,both,5
ACAT2,none,0.31145523536047587,0.7238231976207569,0.412367962260281,both,3
ACBD3,none,0.7469490308686288,0.36688544764639525,-0.3800635832222336,cau,7
ACBD4,none,0.39103681673674495,0.10439954876422931,-0.28663726797251565,cau,3
ACBD5,none,0.559173418110963,0.3163265306122449,-0.24284688749871808,cau,5
ACBD6,none,0.29448261716747,0.21854168803199672,-0.07594092913547326,both,2
ACBD7,none,0.09486206542918675,0.24997436160393804,0.1551122961747513,both,0
ACCS,none,0.27463849861552664,0.43600656342939187,0.16136806481386523,both,2
ACCSL,none,0.5136396267049533,0.4453389395959389,-0.06830068710901444,none,5
ACD,none,0.980873756537791,0.9664649779509794,-0.014408778586811555,both,9
ACE,none,0.05660957850476874,0.2921238847297713,0.23551430622500255,both,0
ACE2,none,0.623218131473695,0.5772228489385705,-0.045995282535124526,none,6
ACER1,none,0.19310839913854988,0.36314224182135163,0.17003384268280175,both,1
ACER2,none,0.675725566608553,0.4923597579735412,-0.18336580863501178,cau,6
ACER3,none,0.7598707824838478,0.7881755717362322,0.028304789252384444,both,7
ACHE,none,0.880781458311968,0.9586709055481489,0.07788944723618096,obs,8
ACIN1,none,0.844323659111886,0.5621987488462722,-0.2821249102656138,both,8
ACKR1,none,0.8295559429802072,0.7306942877653574,-0.0988616552148498,obs,8
ACKR2,none,0.21966977745872218,0.5721977233104297,0.35252794585170755,obs,2
ACKR3,none,0.5788637062865347,0.6909547738693468,0.11209106758281207,both,5
ACKR4,none,0.9111885960414317,0.974207773561686,0.06301917752025432,obs,9
ACLY,none,0.9372884832324889,0.8646292687929443,-0.0726592144395446,both,9
ACMSD,none,0.35206645472259257,0.2138754999487232,-0.13819095477386936,none,3
ACO1,none,0.6538816531637781,0.7552045944005743,0.1013229412367962,both,6
ACO2,none,0.9033945236386012,0.69931289098554,-0.20408163265306123,cau,9
ACOD1,none,0.2481796738796021,0.40554814890780433,0.15736847502820223,none,2
ACOT1,none,0.899907701774177,0.8828325299969234,-0.017075171777253595,none,8
ACOT11,none,0.6247051584452876,0.6425494821043995,0.017844323659111927,obs,6
ACOT12,none,0.10429699517998155,0.6923905240488155,0.5880935288688339,obs,1
ACOT13,none,0.24961542405907086,0.2854066249615424,0.03579120090247154,both,2
ACOT2,none,0.7788431955696852,0.6443954466208593,-0.13444774894882583,cau,7
ACOT4,none,0.1954158547841247,0.135678391959799,-0.05973746282432571,both,1
ACOT6,none,0.42077735616859807,0.4442621269613373,0.02348477079273925,none,4
ACOT7,none,0.7746897754076505,0.9026766485488668,0.12798687314121626,both,7
ACOT8,none,0.5208696543944211,0.4627730489180597,-0.05809660547636142,both,5
ACOT9,none,0.4784637473079684,0.5411239872833555,0.06266023997538711,both,4
ACOX1,none,0.8104809763101221,0.8075581991590606,-0.002922777151061484,both,8
ACOX2,none,0.18259665675315354,0.28591939288278123,0.1033227361296277,none,1
ACOX3,none,0.1873653984206748,0.037790995795303046,-0.14957440262537175,cau,1
ACOXL,none,0.9676443441698287,0.9701056301917752,0.002461286021946507,obs,9
