gene,grp,rank_pctile,pu_score,rank_pctile_cv,pu_score_cv
IL1R1,approved,0.9970772228489384,0.936560517847538,0.990257409496462,0.8952433288097381
SATB1,non-target,0.9970259460568148,0.9363553826673044,0.9978463747307968,0.9401739034628004
HELLS,non-target,0.9969746692646908,0.9362902209466818,0.996461901343452,0.9272656727810296
TBX21,non-target,0.9969233924725668,0.936083969142702,0.9972823300174342,0.9320871099679158
DNASE1L3,non-target,0.996872115680443,0.936037892344022,0.9961029637985848,0.9251754919687908
TLR3,in-trial,0.9968208388883192,0.935725667476654,0.9960516870064609,0.9250498120486736
RAD51,non-target,0.9967695620961952,0.935657518892432,0.996872115680443,0.9297778602838516
KIF21B,non-target,0.9967182853040714,0.9354378710756648,0.9961542405907088,0.9256123290234006
JARID2,non-target,0.9966670085119474,0.9347494074276516,0.9976925443544252,0.936449584769244
ACTN1,non-target,0.9966157317198236,0.9340397540082788,0.9975899907701774,0.9356832170125208
CUL1,non-target,0.9965644549276996,0.9324402173962256,0.9970259460568148,0.9306558016574744
PDCD1,approved,0.9965131781355758,0.9323802280426026,0.9959491334222133,0.9242390432953834
POLR3A,non-target,0.996461901343452,0.9318463127223812,0.996410624551328,0.9272355041528112
PDE8B,in-trial,0.996410624551328,0.9315894651412964,0.9970772228489384,0.9315407032966612
PRKCQ,approved,0.9963593477592042,0.931421260535717,0.9860527125423032,0.8807414036989212
TLR7,approved,0.9963080709670804,0.9312655174732208,0.9940006153215056,0.9124583092331886
CBLB,non-target,0.9962567941749564,0.9306503567598798,0.9969233924725668,0.930005468632364
COL1A2,non-target,0.9962055173828326,0.9293308787199916,0.9958978566300892,0.9228957660952392
CASR,non-target,0.9961542405907088,0.9290476399450446,0.9963593477592042,0.9269597564510365
IFNG,approved,0.9961029637985848,0.9289248979091644,0.9934878474002666,0.9088980588316916
FADS2,non-target,0.9960516870064609,0.928701699382127,0.9967695620961952,0.928331851060666
IKBKE,non-target,0.9960004102143368,0.9278685572196026,0.997333606809558,0.932499001281602
CD28,in-trial,0.9959491334222133,0.9271002671122552,0.9943595528663728,0.9145568922162056
IKZF2,non-target,0.9958978566300892,0.9270348750581644,0.9962567941749564,0.9267191757457424
RXRA,approved,0.9958465798379652,0.9269415616989136,0.988411444980002,0.8899161049723625
CTPS1,non-target,0.9957953030458414,0.9268346618383358,0.9965644549276996,0.9275555173757718
DOCK11,non-target,0.9957440262537176,0.9264458629888358,0.9954363655009744,0.920482572103158
IL21R,non-target,0.9956927494615936,0.9262372300941116,0.9971284996410624,0.931609189875272
TLR4,non-target,0.9956414726694698,0.9255883481699166,0.9948723207876116,0.9176701799035072
TET2,non-target,0.995590195877346,0.9255862491901474,0.994667213619116,0.9170239661506672
HSPA5,non-target,0.995538919085222,0.9251928663983636,0.9968208388883192,0.9288342645840768
TUBA4A,approved,0.9954876422930982,0.9248330122232438,0.9913342221310636,0.898583710193634
CD79B,approved,0.9954363655009744,0.9247883135080336,0.9938467849451338,0.910613844692707
MAT2A,non-target,0.9953850887088505,0.9242904588655771,0.9962055173828326,0.9261606003427264
HECW2,non-target,0.9953338119167264,0.9241536192748012,0.9958465798379652,0.9222440589557994
PLCG1,non-target,0.9952825351246026,0.9239591033030778,0.9954876422930982,0.9206543000985166
POLA1,approved,0.9952312583324788,0.9238618686795236,0.9952312583324788,0.9198007503151894
HERC3,non-target,0.9951799815403548,0.9230052688182928,0.9950774279561072,0.9192208207198206
AKT3,in-trial,0.9951287047482308,0.9229510495066644,0.9956927494615936,0.9212009915113448
STING1,non-target,0.9950774279561072,0.9228397183346024,0.9949235975797354,0.9181182420614992
IFNGR1,approved,0.9950261511639832,0.9223699623346328,0.9823095067172598,0.8716562935709953
SAMD9L,non-target,0.9949748743718592,0.9221142162030666,0.995538919085222,0.9207117893588004
NCF4,non-target,0.9949235975797354,0.921802014566315,0.9948210439954877,0.9176136818028948
IRAK1,approved,0.9948723207876116,0.9216274374723434,0.995590195877346,0.9208576333522795
GAD1,non-target,0.9948210439954877,0.9215660083112378,0.9932314634396472,0.9075629959856798
KIF2A,non-target,0.9947697672033636,0.92089119927967,0.9957440262537176,0.921385634244986
ATP6AP1,non-target,0.9947184904112398,0.9207249554444332,0.9944621064506204,0.9153218996645226
GFPT1,non-target,0.994667213619116,0.9204799972399316,0.9957953030458414,0.9222341044382616
NOS2,in-trial,0.994615936826992,0.9197948029637336,0.9950261511639832,0.919060320198536
BACH2,non-target,0.9945646600348682,0.9194842460751532,0.9963080709670804,0.9267516464591026
TRAF3,non-target,0.9945133832427444,0.9194307547349196,0.9949748743718592,0.9182956848217516
PTPRK,non-target,0.9944621064506204,0.9192731646716896,0.9951799815403548,0.9193668772121372
TNFRSF13B,non-target,0.9944108296584966,0.9191870630408326,0.992052097220798,0.901960977508376
G6PD,non-target,0.9943595528663728,0.9191096001470148,0.9951287047482308,0.919302970532215
DOCK2,non-target,0.9943082760742488,0.9188830807353512,0.9956414726694698,0.9210327675640584
NTRK2,approved,0.994256999282125,0.9188503712415697,0.979489283150446,0.8635507220029831
POLD2,approved,0.994205722490001,0.9187877967953682,0.9965131781355758,0.9274281185865402
C4B,non-target,0.9941544456978773,0.9185295526797956,0.9947184904112398,0.9172247207104252
PSMD1,approved,0.9941031689057532,0.9183645230531692,0.9904625166649574,0.8959146827459336
LINGO1,in-trial,0.9940518921136292,0.9182380825281145,0.9945646600348682,0.9160779346227644
RELB,non-target,0.9940006153215056,0.9181599451435936,0.9940518921136292,0.9125180578827858
TNFRSF11A,non-target,0.9939493385293816,0.9177821363289344,0.9953338119167264,0.9202183863233188
HCN1,non-target,0.9938980617372576,0.9167856048315,0.9943082760742488,0.9139201038379958
COL3A1,non-target,0.9938467849451338,0.9164209991843256,0.9935391241923904,0.909326614986113
GNAQ,non-target,0.99379550815301,0.9161771980639036,0.9952825351246026,0.9198455376673472
IL10RA,non-target,0.993744231360886,0.9156660012709787,0.994615936826992,0.9161694932595278
CSE1L,non-target,0.9936929545687622,0.9156056609250568,0.9941031689057532,0.9129684265815852
NFATC1,non-target,0.9936416777766384,0.9155475658421612,0.9926674187262844,0.9047154793884548
ASAP1,non-target,0.9935904009845145,0.9154817254115374,0.994256999282125,0.9136493212748796
RBM17,non-target,0.9935391241923904,0.9153926125680556,0.9953850887088505,0.9204112404524676
HECTD2,non-target,0.9934878474002666,0.9150429623897628,0.9947697672033636,0.9172361506356131
PTPRC,non-target,0.9934365706081428,0.9150348308697418,0.9936416777766384,0.9095401062369348
KIF3A,non-target,0.9933852938160188,0.914333378726786,0.9939493385293816,0.9112135129957344
MAPK8,in-trial,0.993334017023895,0.9142440658807754,0.994205722490001,0.9130699648857116
ITGB1,approved,0.9932827402317712,0.9136986982822418,0.9925135883499128,0.9041243281960488
CLCN4,non-target,0.9932314634396472,0.9135657792188684,0.9944108296584966,0.9150247125312536
PLCG2,non-target,0.9931801866475232,0.9133800382565972,0.9938980617372576,0.910930984433572
PDE4B,approved,0.9931289098553996,0.9126435551047324,0.984873346323454,0.8771459835767746
FAS,non-target,0.9930776330632756,0.912532190078406,0.9932827402317712,0.9081168718144376
STAT1,non-target,0.9930263562711515,0.9122967835591764,0.9926161419341606,0.9043384188927976
PSMD14,approved,0.9929750794790276,0.9121718534827232,0.9814378012511538,0.8690382087230683
SMAD2,non-target,0.992923802686904,0.9121579407441496,0.9935904009845145,0.9093533892128336
PSMD11,approved,0.99287252589478,0.912119799554348,0.9916418828838068,0.9010434612631798
EIF4A1,non-target,0.992821249102656,0.9116673198613252,0.9917957132601783,0.9014259672526156
HRH2,approved,0.9927699723105322,0.9116463828086852,0.9903086862885858,0.8953622111678123
KIF1B,non-target,0.9927186955184084,0.9116272245582782,0.9941544456978773,0.913059465193378
JAK3,approved,0.9926674187262844,0.9115669694542884,0.9849758999077016,0.8772357061505318
STN1,non-target,0.9926161419341606,0.9102675917805456,0.9930263562711515,0.906997210362236
CAMK1D,non-target,0.9925648651420368,0.9102259143804892,0.9925648651420368,0.9042829501323212
ITPR1,non-target,0.9925135883499128,0.9101390813916458,0.992923802686904,0.9059894152176684
EZH2,approved,0.992462311557789,0.9100798642635346,0.9936929545687622,0.9095739766955376
IL2RA,approved,0.9924110347656652,0.9094203326106072,0.983078658599118,0.8731245055794716
CCR2,in-trial,0.9923597579735411,0.9093404480814934,0.993744231360886,0.9103302609622478
PPP3CA,approved,0.9923084811814172,0.9087500271201132,0.9971797764331864,0.9318987727165222
C4A,non-target,0.9922572043892934,0.9087088461389248,0.9931801866475232,0.9075067942848012
OLFM1,non-target,0.9922059275971696,0.9086504087905692,0.9931289098553996,0.907505660260742
INPP4A,non-target,0.9921546508050456,0.9084474561202466,0.9921033740129216,0.9024605095086984
MVK,non-target,0.9921033740129216,0.9080195311380892,0.9930776330632756,0.907028412879421
PDGFRA,approved,0.992052097220798,0.907974524497986,0.9734386216798278,0.8476878215372562
XPO1,approved,0.992000820428674,0.9078037306666374,0.9837452568967284,0.8745189476013183
ANK3,non-target,0.99194954363655,0.906985380131789,0.99379550815301,0.9103447576664914
GNAO1,non-target,0.9918982668444262,0.906500016372216,0.9891293200697364,0.8915034767353174
CAPZB,non-target,0.9918469900523024,0.9061921504827646,0.9927186955184084,0.9047593270815336
KMT2A,in-trial,0.9917957132601783,0.906023351252079,0.9923597579735411,0.9035507062971592
TOP1,in-trial,0.9917444364680544,0.9057724672555924,0.989744641575223,0.8931777949333191
CPNE4,non-target,0.9916931596759306,0.9056050163142536,0.9912829453389396,0.8985631905039962
NLRP1,non-target,0.9916418828838068,0.9053336400442172,0.9927699723105322,0.9052096461027096
RASGRF1,non-target,0.9915906060916828,0.9051553694729878,0.9914880525074352,0.898885429450098
HIRA,non-target,0.991539329299559,0.9043520169774282,0.9917444364680544,0.9013184927671384
SSRP1,non-target,0.9914880525074352,0.9042504807722938,0.992821249102656,0.9052288527341232
CD55,non-target,0.9914367757153112,0.9041971981827984,0.991180391754692,0.898096972401372
LRRC7,non-target,0.9913854989231874,0.904101211078388,0.9929750794790276,0.9068310868434416
UBE2T,non-target,0.9913342221310636,0.9036803047860688,0.991539329299559,0.8990266981436381
TUBG1,non-target,0.9912829453389396,0.9031729533122136,0.9923084811814172,0.9033523055640136
PRKCE,approved,0.9912316685468155,0.9030699363350868,0.9895395344067276,0.8927539305388927
NLRP3,non-target,0.991180391754692,0.9029467166104216,0.9895908111988514,0.8927566347604102
PDE4A,approved,0.991129114962568,0.9026919797062872,0.9810275869141628,0.8680683374404907
HNRNPA3,non-target,0.991077838170444,0.9026312415416424,0.99287252589478,0.9059329160054524
KPNB1,non-target,0.99102656137832,0.9022713285503964,0.9918469900523024,0.9017161688612934
PLCL2,non-target,0.9909752845861964,0.9019236055889516,0.993334017023895,0.908358320262697
ACTL6A,non-target,0.9909240077940724,0.9018847826199654,0.9924110347656652,0.9040338297887724
TYK2,approved,0.9908727310019484,0.9018698519468308,0.9867705876320376,0.8834216964244842
FCGBP,non-target,0.9908214542098246,0.9014673060572088,0.9908727310019484,0.8976275772612713
ERN1,non-target,0.9907701774177008,0.9013334727529342,0.992462311557789,0.9040933925997128
SETBP1,non-target,0.9907189006255768,0.9006195670457056,0.9918982668444262,0.901807846575219
CACNA1D,in-trial,0.990667623833453,0.9003160512447357,0.9901035791200904,0.8950783823728562
HYOU1,non-target,0.9906163470413292,0.9003037105907093,0.992000820428674,0.9018712667503742
CIITA,non-target,0.9905650702492051,0.9001800405919252,0.99102656137832,0.8978004986317313
PRIM1,approved,0.9905137934570812,0.9001657718420029,0.9933852938160188,0.9088367733359336
CPEB4,non-target,0.9904625166649574,0.9000817455616094,0.9913854989231874,0.8987306376298267
SF3B3,non-target,0.9904112398728336,0.9000673014290479,0.991129114962568,0.897957826840696
ATM,non-target,0.9903599630807096,0.9000510905918322,0.99194954363655,0.9018683894310592
FCGR2A,non-target,0.9903086862885858,0.8999516770319285,0.9900010255358423,0.8949023847652571
ARHGEF1,non-target,0.990257409496462,0.8999511513067651,0.9909240077940724,0.8977189232752872
CASP10,in-trial,0.990206132704338,0.89988106995821,0.9906163470413292,0.8963121859431267
TUBA1B,approved,0.990154855912214,0.8993267238140106,0.9922059275971696,0.9030581623315812
ZNFX1,non-target,0.9901035791200904,0.89927258800129,0.9881550610193828,0.8888688698637909
ETS1,non-target,0.9900523023279664,0.8992207781555727,0.9922572043892934,0.90312453903714
RHBDF2,non-target,0.9900010255358423,0.8991152372115697,0.9888216593169932,0.8909384066709365
POU2AF1,non-target,0.9899497487437184,0.899097484197372,0.9890267664854888,0.891269451896755
IL6ST,approved,0.9898984719515947,0.8990132516622543,0.9763613988308892,0.8550125327706337
IL2RB,approved,0.9898471951594708,0.8988202932476997,0.9632858168392984,0.8258157595992088
PDE2A,in-trial,0.9897959183673468,0.8988116148114205,0.9891805968618604,0.8918934120535852
NLRC4,non-target,0.989744641575223,0.8987436872448413,0.990206132704338,0.8951929901585434
PTPN11,non-target,0.9896933647830992,0.8987145523230234,0.9899497487437184,0.8941131188042799
CAD,non-target,0.9896420879909752,0.8985470341784614,0.9914367757153112,0.8987560999636747
RPSA,in-trial,0.9895908111988514,0.8983591076731682,0.9898984719515947,0.8939591784477233
ETF1,non-target,0.9895395344067276,0.8982045313324591,0.9916931596759306,0.9011464652388989
IL12RB1,non-target,0.9894882576146036,0.8978180194995842,0.9907701774177008,0.8974638108069521
PPP2R2B,non-target,0.9894369808224798,0.8976324784635293,0.9887191057327454,0.8908172289530436
HMGCS1,non-target,0.989385704030356,0.8972846587297275,0.991077838170444,0.8978237763498769
SRSF1,non-target,0.989334427238232,0.8971727216484571,0.9915906060916828,0.9008261502687656
ZBTB38,non-target,0.989283150446108,0.8969193279128713,0.9921546508050456,0.9026834700657772
NUDT21,non-target,0.9892318736539842,0.8967990926419845,0.9883601681878782,0.8897783204160555
ADCY1,non-target,0.9891805968618604,0.8965890280281504,0.9905137934570812,0.8959147757540146
SOCS1,non-target,0.9891293200697364,0.8963645099065243,0.9894882576146036,0.8926266070227233
ADA2,non-target,0.9890780432776124,0.8962915653420478,0.9908214542098246,0.8975203135271663
STAT2,non-target,0.9890267664854888,0.896257182986466,0.9876935698902676,0.88739480523719
HDAC7,approved,0.9889754896933648,0.8962260794639587,0.948825761460363,0.7990097983181477
CSF2RB,approved,0.9889242129012408,0.895885378420353,0.9836427033124808,0.8742869853973388
CTNNA1,non-target,0.988872936109117,0.8949612394202179,0.989334427238232,0.8922102105135868
CFB,in-trial,0.9888216593169932,0.8948488584160805,0.9892318736539842,0.8920209934115411
SOS1,non-target,0.9887703825248692,0.8948361846116873,0.9903599630807096,0.8954028193155924
SLC7A1,non-target,0.9887191057327454,0.8947800136342341,0.9894369808224798,0.8924429146328358
EPHB2,in-trial,0.9886678289406214,0.8947295075654984,0.987539739513896,0.8864284328222274
CDCA7,non-target,0.9886165521484976,0.894361997206594,0.9885139985642498,0.8901412663704308
PSMC3,approved,0.9885652753563736,0.8943604210019112,0.9796431135268178,0.8640832987427711
KCNJ2,non-target,0.9885139985642498,0.894315065169821,0.989283150446108,0.8920594812044638
EBF1,non-target,0.988462721772126,0.8941245687251188,0.9907189006255768,0.8964281214135033
KIT,approved,0.988411444980002,0.8933271163702011,0.9860014357501796,0.8807007464766502
RORA,non-target,0.9883601681878782,0.8927167178435647,0.9889754896933648,0.8912071038152753
STT3A,non-target,0.9883088913957544,0.8922973541113046,0.9868218644241616,0.8835389548114367
ICOSLG,in-trial,0.9882576146036304,0.8922179198265076,0.9877961234745154,0.8875003224015234
NFKBIE,non-target,0.9882063378115064,0.8921834257653523,0.9861039893344272,0.8809014706298559
ZEB2,non-target,0.9881550610193828,0.89204959997109,0.9909752845861964,0.8977854384686136
PROX1,non-target,0.9881037842272588,0.8916561723369913,0.9889242129012408,0.8910864048737747
TUBB3,approved,0.9880525074351348,0.8916551539301872,0.9801558814480568,0.8650651517510414
POLD1,approved,0.9880012306430108,0.8915968775749207,0.9713362732027484,0.843317692577839
IKZF3,non-target,0.9879499538508872,0.8914183257806181,0.9890780432776124,0.8914673314022658
PTGER4,in-trial,0.9878986770587632,0.8913866969943046,0.9905650702492051,0.8960802166759967
ZNF704,non-target,0.9878474002666392,0.8912391318488366,0.9871295251769048,0.8847179139271761
RAPGEF2,non-target,0.9877961234745154,0.8911773923671606,0.9896933647830992,0.8930426151908224
PTPRF,non-target,0.9877448466823916,0.8910155019374809,0.9873859091375244,0.8857737887387322
MED12L,non-target,0.9876935698902676,0.8908500640662675,0.9878986770587632,0.8879919028893495
PHF19,non-target,0.9876422930981438,0.8907645530238444,0.990154855912214,0.8951176564100429
MYO5A,non-target,0.98759101630602,0.8906520296474398,0.9882063378115064,0.8896266526982263
MAP3K14,non-target,0.987539739513896,0.8905781093908816,0.9896420879909752,0.8929042822213342
IRF8,non-target,0.9874884627217722,0.8904330614878206,0.990667623833453,0.8963660299625932
STAT3,in-trial,0.9874371859296482,0.8901694881916046,0.9886165521484976,0.8905781108438969
GOLGA8O,non-target,0.9873859091375244,0.8900697114479602,0.9885652753563736,0.8903545551829868
RANBP2,non-target,0.9873346323454004,0.8899099430441857,0.9898471951594708,0.8933947118222714
IKZF1,non-target,0.9872833555532766,0.8897328078746796,0.9879499538508872,0.8883468835040776
CHERP,non-target,0.9872320787611528,0.8897107049822808,0.9912316685468155,0.8983721929490566
CORO1A,non-target,0.9871808019690288,0.8894724584355647,0.9878474002666392,0.8877060920608286
SCN2A,in-trial,0.9871295251769048,0.8894576606154442,0.9876422930981438,0.8869043518304824
ADARB1,non-target,0.9870782483847812,0.8893181115997081,0.9854886678289406,0.879554594597038
CACNA1B,in-trial,0.9870269715926572,0.8892000249028206,0.9880012306430108,0.8883571203947067
KIF11,in-trial,0.9869756948005332,0.8891327431797982,0.9900523023279664,0.8949961036145687
ITGB2,approved,0.9869244180084094,0.8891077956557274,0.974156496769562,0.8498191885650158
GTF2I,non-target,0.9868731412162856,0.8888597775728274,0.9897959183673468,0.8932464330929977
PRDM11,non-target,0.9868218644241616,0.8885795540955602,0.9904112398728336,0.8955932342884492
EEF1A2,in-trial,0.9867705876320376,0.8883152952790261,0.9867193108399138,0.8833732778429987
SAMHD1,non-target,0.9867193108399138,0.8881858118294459,0.9882576146036304,0.8896575359383014
SOX5,non-target,0.98666803404779,0.887936081290245,0.9887703825248692,0.8908338761925696
SLC4A8,non-target,0.986616757255666,0.8879187957284415,0.9869756948005332,0.8836874258036564
PIK3CG,approved,0.9865654804635422,0.8878410395979881,0.981283970874782,0.8684235668182373
BTK,approved,0.9865142036714184,0.8878059560060501,0.9868731412162856,0.883557122349739
SNRK,non-target,0.9864629268792944,0.8877146045366923,0.98759101630602,0.8868736828901829
TFRC,non-target,0.9864116500871706,0.8876342873792259,0.9863090965029228,0.8812913808287407
IFNAR2,approved,0.9863603732950468,0.8875495436787605,0.9851810070761972,0.8777519249916077
CDC42,non-target,0.9863090965029228,0.8872286142135153,0.9880525074351348,0.8886604062756713
TUBB2A,approved,0.9862578197107988,0.8872195512056351,0.9649779509793868,0.8290160615742207
EED,non-target,0.986206542918675,0.8870973000112845,0.9865654804635422,0.8822078137981648
CACNA1I,in-trial,0.9861552661265512,0.8867630898952484,0.9871808019690288,0.8848030254244804
STK4,non-target,0.9861039893344272,0.8867171760072413,0.9874884627217722,0.8864153511028
EFTUD2,non-target,0.9860527125423032,0.886623216096801,0.988462721772126,0.8899426882590481
FADS1,non-target,0.9860014357501796,0.8865065841945177,0.98666803404779,0.883056897077805
TNIK,non-target,0.9859501589580556,0.8864979254893768,0.989385704030356,0.8923148262257479
DDB1,approved,0.9858988821659316,0.8864535123109818,0.9495436365500974,0.8000430554151535
CAMSAP2,non-target,0.9858476053738078,0.886301804257899,0.9856937749974362,0.8799181355671448
SPIN1,non-target,0.985796328581684,0.8860859363507002,0.988872936109117,0.8909945498315656
KCNQ5,approved,0.98574505178956,0.8858099076151847,0.98482206953133,0.8770243236422539
PSMC4,approved,0.9856937749974362,0.8857230243086814,0.9825146138857552,0.8719829553365708
ANK2,non-target,0.9856424982053122,0.8855192930270464,0.9845656855707108,0.8762931944773747
RACK1,non-target,0.9855912214131884,0.8854131832414743,0.9886678289406214,0.890795501839691
PHF21A,non-target,0.9855399446210644,0.885186724251297,0.9870269715926572,0.8842154926454961
GOLGA8B,non-target,0.9854886678289406,0.8851825014138833,0.9873346323454004,0.8857078102778416
HAVCR2,in-trial,0.9854373910368168,0.8849579584598541,0.9834888729361092,0.8739873605668546
HNRNPK,non-target,0.9853861142446928,0.8849142251870571,0.9883088913957544,0.8896855131544248
CASP8,in-trial,0.985334837452569,0.8847084534168244,0.9863603732950468,0.8814160733222962
NRXN3,non-target,0.9852835606604452,0.8846275785247687,0.985334837452569,0.8791934885349371
FGFR2,approved,0.9852322838683212,0.8845675086975098,0.9869244180084094,0.8836688882112503
SCN3A,in-trial,0.9851810070761972,0.8841590890288353,0.9861552661265512,0.8809994471669198
NFKB2,non-target,0.9851297302840736,0.8839801015631522,0.9809763101220388,0.8675443609249898
ARHGAP5,non-target,0.9850784534919496,0.8839570457611851,0.9859501589580556,0.8806429935460114
ILF2,non-target,0.9850271766998256,0.8839430682586901,0.9865142036714184,0.8819849093954767
DNM2,non-target,0.9849758999077016,0.8836811252129384,0.9872320787611528,0.885149810691269
POLR3B,non-target,0.984924623115578,0.8835265706033271,0.984924623115578,0.8771571686425185
PRPF19,non-target,0.984873346323454,0.883295398281545,0.9877448466823916,0.8874282331795108
FCGR3A,non-target,0.98482206953133,0.8832205497673925,0.9858988821659316,0.8806228982077705
SERPING1,non-target,0.9847707927392062,0.8831946564089391,0.986616757255666,0.8827461338043212
SUPT5H,non-target,0.9847195159470824,0.8830744037356402,0.985796328581684,0.8800504418378023
CDK6,in-trial,0.9846682391549584,0.8828880521655083,0.9851297302840736,0.8775401149392129
CD59,non-target,0.9846169623628346,0.8828786987848957,0.9821043995487644,0.8710631996542963
PIK3CD,approved,0.9845656855707108,0.8827147096395492,0.9824120603015076,0.8717537732422351
DNMT1,approved,0.9845144087785868,0.8824225917458535,0.9806686493692954,0.8667841343581677
BCL11B,non-target,0.984463131986463,0.8823102827023979,0.9824633370936314,0.8719287334668516
RRM1,approved,0.984411855194339,0.8818413585424423,0.9789252384370832,0.8611705267429351
CADM1,non-target,0.9843605784022152,0.8817317151293462,0.9854373910368168,0.8794754972615217
KIF5A,non-target,0.9843093016100912,0.8816256137809368,0.9864116500871706,0.8816672781604019
PMVK,non-target,0.9842580248179674,0.8815311987165342,0.9818480155881448,0.8702821759833503
PSMA2,approved,0.9842067480258436,0.8814620479941369,0.9767203363757564,0.8560997995734215
