gene,subset,neglog10_adjp,group
ADPRH,Th1,5.540375732814527e-05,non-target
ADPRM,Th1,5.540375732814527e-05,non-target
ADPRS,Th1,5.540375732814527e-05,non-target
ADRA1B,Th1,5.540375732814527e-05,approved
ADRB2,Th1,0.1409080702452193,approved
ADSL,Th1,5.540375732814527e-05,non-target
ADSS1,Th1,5.540375732814527e-05,non-target
ADSS2,Th1,5.540375732814527e-05,non-target
ADTRP,Th1,5.540375732814527e-05,non-target
AEBP1,Th1,5.540375732814527e-05,non-target
AEBP2,Th1,0.0277488538803565,non-target
AFAP1,Th1,5.540375732814527e-05,non-target
AFAP1L2,Th1,5.540375732814527e-05,non-target
AFDN,Th1,5.540375732814527e-05,non-target
AFF1,Th1,5.540375732814527e-05,non-target
AFF2,Th1,5.540375732814527e-05,non-target
AFF3,Th1,5.540375732814527e-05,non-target
AFF4,Th1,5.540375732814527e-05,non-target
AFG3L2,Th1,5.540375732814527e-05,non-target
AGA,Th1,5.540375732814527e-05,non-target
AGAP2,Th1,5.540375732814527e-05,non-target
AGAP3,Th1,5.540375732814527e-05,non-target
AGBL4,Th1,5.540375732814527e-05,non-target
AGBL5,Th1,5.540375732814527e-05,non-target
AGER,Th1,5.540375732814527e-05,non-target
AGFG1,Th1,5.540375732814527e-05,non-target
AGFG2,Th1,5.540375732814527e-05,non-target
AGK,Th1,5.540375732814527e-05,non-target
AGMAT,Th1,5.540375732814527e-05,non-target
AGO2,Th1,5.540375732814527e-05,non-target
AGO3,Th1,5.540375732814527e-05,non-target
AGO4,Th1,5.540375732814527e-05,non-target
AGPAT1,Th1,5.540375732814527e-05,non-target
AGPAT2,Th1,5.540375732814527e-05,non-target
AGPAT3,Th1,5.540375732814527e-05,non-target
AGPAT4,Th1,5.540375732814527e-05,non-target
AGPAT5,Th1,5.540375732814527e-05,non-target
AGPS,Th1,5.540375732814527e-05,non-target
AGRN,Th1,5.540375732814527e-05,non-target
AGRP,Th1,5.540375732814527e-05,non-target
AGTPBP1,Th1,5.540375732814527e-05,non-target
AGTRAP,Th1,5.540375732814527e-05,non-target
AHCTF1,Th1,5.540375732814527e-05,non-target
AHCY,Th1,5.540375732814527e-05,non-target
AHCYL1,Th1,5.540375732814527e-05,non-target
AHCYL2,Th1,5.540375732814527e-05,non-target
AHDC1,Th1,5.540375732814527e-05,non-target
AHI1,Th1,1.8353852744712231,non-target
AHNAK,Th1,5.540375732814527e-05,non-target
AHR,Th1,5.540375732814527e-05,approved
AHRR,Th1,5.540375732814527e-05,non-target
AHSA1,Th1,5.540375732814527e-05,non-target
AICDA,Th1,5.540375732814527e-05,non-target
AIF1,Th1,5.540375732814527e-05,non-target
AIF1L,Th1,5.540375732814527e-05,non-target
AIFM1,Th1,5.540375732814527e-05,non-target
AIFM2,Th1,5.540375732814527e-05,non-target
AIG1,Th1,5.540375732814527e-05,non-target
AIM2,Th1,5.540375732814527e-05,non-target
AIMP1,Th1,5.540375732814527e-05,non-target
AIMP2,Th1,5.540375732814527e-05,non-target
AIRE,Th1,5.540375732814527e-05,non-target
AJAP1,Th1,5.540375732814527e-05,non-target
AJM1,Th1,5.540375732814527e-05,non-target
AJUBA,Th1,5.540375732814527e-05,non-target
AK1,Th1,5.540375732814527e-05,non-target
AK4,Th1,5.540375732814527e-05,non-target
AK5,Th1,5.540375732814527e-05,non-target
AK6,Th1,5.540375732814527e-05,non-target
AK7,Th1,5.540375732814527e-05,non-target
AK8,Th1,5.540375732814527e-05,non-target
AKAP1,Th1,5.540375732814527e-05,non-target
AKAP12,Th1,5.540375732814527e-05,non-target
AKAP13,Th1,5.540375732814527e-05,non-target
AKAP3,Th1,5.540375732814527e-05,non-target
AKAP5,Th1,5.540375732814527e-05,non-target
AKAP9,Th1,5.540375732814527e-05,non-target
AKIP1,Th1,5.540375732814527e-05,non-target
AKIRIN2,Th1,5.540375732814527e-05,non-target
AKNA,Th1,5.540375732814527e-05,non-target
AKR1A1,Th1,5.540375732814527e-05,non-target
AKR1B1,Th1,0.0016732226980669,non-target
AKR1C3,Th1,5.540375732814527e-05,non-target
AKR1C8,Th1,0.6068873304090096,non-target
AKT2,Th1,5.540375732814527e-05,in-trial
AKT3,Th1,5.540375732814527e-05,in-trial
AKTIP,Th1,5.540375732814527e-05,non-target
ALAD,Th1,5.540375732814527e-05,non-target
ALCAM,Th1,5.540375732814527e-05,non-target
ALDH16A1,Th1,5.540375732814527e-05,non-target
ALDH18A1,Th1,5.540375732814527e-05,non-target
ALDH1A2,Th1,0.4061107544556832,non-target
ALDH1B1,Th1,5.540375732814527e-05,non-target
ALDH1L2,Th1,5.540375732814527e-05,non-target
ALDH3A2,Th1,5.540375732814527e-05,non-target
ALDH4A1,Th1,5.540375732814527e-05,non-target
ALDH5A1,Th1,5.540375732814527e-05,in-trial
ALDH6A1,Th1,5.540375732814527e-05,non-target
ALDH7A1,Th1,5.540375732814527e-05,non-target
ALDH9A1,Th1,5.540375732814527e-05,non-target
ALDOC,Th1,5.540375732814527e-05,non-target
ALG12,Th1,5.540375732814527e-05,non-target
ALG14,Th1,5.540375732814527e-05,non-target
ALG6,Th1,5.540375732814527e-05,non-target
ALG8,Th1,0.073684635830977,non-target
ALKAL2,Th1,5.540375732814527e-05,non-target
ALKBH2,Th1,5.540375732814527e-05,non-target
ALKBH3,Th1,5.540375732814527e-05,non-target
ALKBH5,Th1,5.540375732814527e-05,non-target
ALKBH7,Th1,5.540375732814527e-05,non-target
ALKBH8,Th1,5.540375732814527e-05,non-target
ALOX15B,Th1,5.540375732814527e-05,non-target
ALOX5,Th1,5.540375732814527e-05,approved
ALOX5AP,Th1,5.540375732814527e-05,non-target
ALPK1,Th1,0.3315644472274205,non-target
ALPK2,Th1,5.540375732814527e-05,non-target
ALPK3,Th1,5.540375732814527e-05,non-target
ALPL,Th1,5.540375732814527e-05,non-target
ALS2CL,Th1,5.540375732814527e-05,non-target
ALYREF,Th1,5.540375732814527e-05,non-target
AMACR,Th1,5.540375732814527e-05,non-target
AMBRA1,Th1,5.540375732814527e-05,non-target
AMD1,Th1,5.540375732814527e-05,non-target
AMDHD2,Th1,5.540375732814527e-05,non-target
AMER1,Th1,5.540375732814527e-05,non-target
AMFR,Th1,5.540375732814527e-05,non-target
AMIGO1,Th1,5.540375732814527e-05,non-target
AMIGO2,Th1,5.540375732814527e-05,non-target
AMN,Th1,5.540375732814527e-05,non-target
AMN1,Th1,0.3539293748530746,non-target
AMOT,Th1,5.540375732814527e-05,non-target
AMOTL1,Th1,0.1968389832355384,non-target
AMPD3,Th1,5.540375732814527e-05,non-target
AMPH,Th1,5.540375732814527e-05,non-target
AMT,Th1,5.540375732814527e-05,non-target
AMZ1,Th1,5.540375732814527e-05,non-target
AMZ2,Th1,5.540375732814527e-05,non-target
ANAPC10,Th1,5.540375732814527e-05,non-target
ANAPC11,Th1,5.540375732814527e-05,non-target
ANAPC13,Th1,5.540375732814527e-05,non-target
ANAPC15,Th1,5.540375732814527e-05,non-target
ANAPC5,Th1,5.540375732814527e-05,non-target
ANG,Th1,5.540375732814527e-05,non-target
ANGEL1,Th1,5.540375732814527e-05,non-target
ANGPTL2,Th1,5.540375732814527e-05,non-target
ANGPTL6,Th1,5.540375732814527e-05,non-target
ANK1,Th1,0.2316708258211874,non-target
ANK2,Th1,5.540375732814527e-05,non-target
ANK3,Th1,5.540375732814527e-05,non-target
ANKAR,Th1,5.540375732814527e-05,non-target
ANKEF1,Th1,5.540375732814527e-05,non-target
ANKFY1,Th1,5.540375732814527e-05,non-target
ANKH,Th1,5.540375732814527e-05,non-target
ANKIB1,Th1,5.540375732814527e-05,non-target
ANKLE1,Th1,0.0202271399623552,non-target
ANKMY1,Th1,5.540375732814527e-05,non-target
ANKRA2,Th1,5.540375732814527e-05,non-target
ANKRD12,Th1,5.540375732814527e-05,non-target
ANKRD13A,Th1,5.540375732814527e-05,non-target
ANKRD13B,Th1,5.540375732814527e-05,non-target
ANKRD13D,Th1,5.540375732814527e-05,non-target
ANKRD16,Th1,5.540375732814527e-05,non-target
ANKRD18A,Th1,2.680619308318529,non-target
ANKRD18B,Th1,2.5580701022296024,non-target
ANKRD22,Th1,0.3123584143282664,non-target
ANKRD24,Th1,5.540375732814527e-05,non-target
ANKRD26,Th1,5.540375732814527e-05,non-target
ANKRD28,Th1,5.540375732814527e-05,non-target
ANKRD29,Th1,5.540375732814527e-05,non-target
