gene,culture_condition,n_sig
IPCEF1,Stim8hr,0
IPMK,Stim48hr,0
IPMK,Stim8hr,2
IPO11,Rest,0
IPO11,Stim48hr,0
IPO11,Stim8hr,0
IPO4,Rest,0
IPO4,Stim48hr,0
IPO4,Stim8hr,0
IPO7,Rest,0
IPO7,Stim8hr,0
IPO8,Rest,0
IPO8,Stim48hr,0
IPO8,Stim8hr,0
IPO9,Rest,0
IPO9,Stim48hr,0
IPO9,Stim8hr,3
IPP,Rest,0
IPP,Stim48hr,0
IPP,Stim8hr,0
IPPK,Rest,0
IPPK,Stim48hr,0
IPPK,Stim8hr,0
IQCB1,Rest,0
IQCB1,Stim48hr,0
IQCB1,Stim8hr,0
IQCC,Rest,0
IQCC,Stim48hr,0
IQCC,Stim8hr,0
IQCE,Rest,0
IQCE,Stim48hr,0
IQCE,Stim8hr,0
IQCN,Rest,0
IQCN,Stim48hr,0
IQCN,Stim8hr,0
IQGAP1,Rest,0
IQGAP1,Stim48hr,0
IQGAP1,Stim8hr,0
IQGAP2,Rest,2
IQGAP2,Stim48hr,0
IQGAP2,Stim8hr,0
IQGAP3,Rest,1
IQGAP3,Stim48hr,0
IQGAP3,Stim8hr,0
IRAG2,Rest,0
IRAG2,Stim48hr,0
IRAG2,Stim8hr,0
IRAK1,Rest,0
IRAK1,Stim48hr,0
IRAK1,Stim8hr,0
IRAK1BP1,Rest,0
IRAK1BP1,Stim48hr,0
IRAK1BP1,Stim8hr,0
IRAK2,Rest,0
IRAK2,Stim48hr,0
IRAK2,Stim8hr,0
IRAK3,Rest,1
IRAK3,Stim48hr,0
IRAK3,Stim8hr,0
IRAK4,Rest,0
IRAK4,Stim48hr,0
IRAK4,Stim8hr,0
IREB2,Rest,0
IREB2,Stim48hr,0
IREB2,Stim8hr,0
IRF1,Rest,0
IRF1,Stim48hr,0
IRF1,Stim8hr,0
IRF2,Rest,0
IRF2,Stim48hr,0
IRF2,Stim8hr,0
IRF2BP1,Rest,0
IRF2BP1,Stim48hr,0
IRF2BP1,Stim8hr,2
IRF2BP2,Rest,0
IRF2BP2,Stim48hr,0
IRF2BP2,Stim8hr,0
IRF2BPL,Rest,0
IRF2BPL,Stim48hr,0
IRF2BPL,Stim8hr,0
IRF3,Rest,0
IRF3,Stim48hr,0
IRF3,Stim8hr,0
IRF4,Rest,4
IRF4,Stim48hr,2
IRF4,Stim8hr,3
IRF5,Rest,0
IRF5,Stim48hr,0
IRF5,Stim8hr,0
IRF6,Rest,0
IRF6,Stim48hr,0
IRF6,Stim8hr,0
IRF7,Rest,0
IRF7,Stim48hr,0
IRF7,Stim8hr,0
IRF8,Rest,0
IRF8,Stim48hr,0
IRF8,Stim8hr,0
IRF9,Rest,0
IRF9,Stim48hr,0
IRF9,Stim8hr,0
IRGM,Rest,0
IRGM,Stim48hr,0
IRGM,Stim8hr,0
IRGQ,Rest,0
IRGQ,Stim48hr,0
IRGQ,Stim8hr,0
IRS1,Rest,0
IRS1,Stim48hr,0
IRS1,Stim8hr,1
IRS2,Rest,0
IRS2,Stim48hr,0
IRS2,Stim8hr,0
IRX1,Rest,0
IRX1,Stim48hr,0
IRX1,Stim8hr,0
IRX2,Rest,0
IRX2,Stim48hr,0
IRX2,Stim8hr,2
IRX3,Rest,0
IRX3,Stim48hr,0
IRX3,Stim8hr,0
IRX4,Rest,0
IRX4,Stim48hr,0
IRX4,Stim8hr,0
IRX5,Rest,0
IRX5,Stim48hr,0
IRX5,Stim8hr,0
IRX6,Rest,0
IRX6,Stim48hr,0
IRX6,Stim8hr,0
ISCA1,Rest,1
ISCA1,Stim48hr,0
ISCA1,Stim8hr,1
ISCA2,Rest,0
ISCA2,Stim48hr,5
ISCA2,Stim8hr,2
ISG15,Rest,0
ISG15,Stim48hr,0
ISG15,Stim8hr,0
ISG20,Rest,0
ISG20,Stim48hr,0
ISG20,Stim8hr,1
ISL1,Rest,0
ISL1,Stim48hr,0
ISL1,Stim8hr,0
ISL2,Rest,0
ISL2,Stim48hr,0
ISL2,Stim8hr,0
ISM1,Rest,0
ISM1,Stim48hr,0
ISM1,Stim8hr,0
ISOC1,Rest,0
ISOC1,Stim48hr,0
ISOC1,Stim8hr,0
ISOC2,Rest,0
ISOC2,Stim48hr,0
ISOC2,Stim8hr,0
IST1,Rest,0
IST1,Stim48hr,2
IST1,Stim8hr,1
ISX,Rest,0
ISX,Stim48hr,0
ISX,Stim8hr,0
ISYNA1,Rest,0
ISYNA1,Stim48hr,0
ISYNA1,Stim8hr,0
ITCH,Rest,0
ITCH,Stim48hr,0
ITCH,Stim8hr,0
ITFG1,Rest,0
ITFG1,Stim48hr,0
ITFG1,Stim8hr,0
ITFG2,Rest,0
ITFG2,Stim48hr,0
ITFG2,Stim8hr,0
ITGA1,Rest,0
ITGA1,Stim48hr,0
ITGA1,Stim8hr,0
ITGA10,Rest,0
ITGA10,Stim48hr,0
ITGA10,Stim8hr,0
ITGA2,Rest,0
ITGA2,Stim48hr,0
ITGA2,Stim8hr,0
ITGA2B,Rest,0
ITGA2B,Stim48hr,0
ITGA2B,Stim8hr,0
ITGA3,Rest,2
ITGA3,Stim48hr,0
ITGA3,Stim8hr,0
ITGA4,Rest,0
ITGA4,Stim48hr,0
ITGA4,Stim8hr,0
ITGA5,Rest,0
ITGA5,Stim48hr,0
ITGA5,Stim8hr,0
ITGA6,Rest,0
ITGA6,Stim48hr,0
ITGA6,Stim8hr,0
ITGAE,Rest,0
ITGAE,Stim48hr,0
ITGAE,Stim8hr,0
ITGAL,Rest,0
ITGAL,Stim48hr,0
ITGAL,Stim8hr,0
ITGAM,Rest,0
ITGAM,Stim48hr,0
ITGAM,Stim8hr,0
ITGAV,Rest,0
ITGAV,Stim48hr,0
ITGAV,Stim8hr,0
ITGAX,Rest,0
ITGAX,Stim48hr,0
ITGAX,Stim8hr,0
ITGB1,Rest,0
ITGB1,Stim48hr,0
ITGB1,Stim8hr,0
ITGB1BP2,Rest,0
ITGB1BP2,Stim48hr,0
ITGB1BP2,Stim8hr,0
ITGB2,Rest,1
ITGB2,Stim48hr,0
ITGB2,Stim8hr,1
ITGB3,Rest,0
ITGB3,Stim48hr,0
ITGB3,Stim8hr,0
ITGB3BP,Rest,0
ITGB3BP,Stim48hr,0
ITGB3BP,Stim8hr,0
ITGB5,Rest,0
ITGB5,Stim48hr,0
ITGB5,Stim8hr,0
ITGB7,Rest,0
ITGB7,Stim48hr,0
ITGB7,Stim8hr,0
ITIH4,Rest,0
ITIH4,Stim48hr,0
ITIH4,Stim8hr,1
ITK,Rest,0
ITK,Stim48hr,7
ITK,Stim8hr,10
ITM2A,Rest,0
ITM2A,Stim48hr,0
ITM2A,Stim8hr,0
ITM2B,Rest,0
ITM2B,Stim48hr,0
ITM2B,Stim8hr,0
ITM2C,Rest,0
ITM2C,Stim48hr,0
ITM2C,Stim8hr,0
ITPA,Rest,0
ITPA,Stim48hr,0
ITPA,Stim8hr,0
ITPK1,Rest,0
ITPK1,Stim48hr,1
ITPK1,Stim8hr,0
ITPKB,Rest,0
ITPKB,Stim48hr,0
ITPKB,Stim8hr,0
ITPKC,Rest,0
ITPKC,Stim48hr,0
ITPKC,Stim8hr,0
ITPR1,Rest,0
ITPR1,Stim48hr,0
ITPR1,Stim8hr,0
ITPR2,Rest,0
ITPR2,Stim48hr,0
ITPR2,Stim8hr,0
ITPR3,Rest,0
ITPR3,Stim48hr,0
ITPR3,Stim8hr,0
ITPRID2,Rest,0
ITPRID2,Stim48hr,0
ITPRID2,Stim8hr,0
ITPRIP,Rest,0
ITPRIP,Stim48hr,0
ITPRIP,Stim8hr,0
ITPRIPL1,Rest,0
ITPRIPL1,Stim48hr,0
ITPRIPL1,Stim8hr,0
ITPRIPL2,Rest,0
ITPRIPL2,Stim48hr,0
ITPRIPL2,Stim8hr,0
ITSN1,Rest,0
ITSN1,Stim48hr,0
ITSN1,Stim8hr,0
ITSN2,Rest,0
ITSN2,Stim48hr,0
ITSN2,Stim8hr,0
IVD,Rest,0
IVD,Stim48hr,0
IVD,Stim8hr,0
IVNS1ABP,Rest,0
IVNS1ABP,Stim48hr,0
IVNS1ABP,Stim8hr,0
IWS1,Rest,0
IWS1,Stim48hr,1
IWS1,Stim8hr,0
IZUMO4,Rest,0
IZUMO4,Stim48hr,0
IZUMO4,Stim8hr,0
JADE1,Rest,0
JADE1,Stim48hr,0
JADE1,Stim8hr,0
JADE2,Rest,0
JADE2,Stim48hr,0
JADE2,Stim8hr,0
JAG1,Rest,0
JAG1,Stim48hr,0
JAG1,Stim8hr,0
JAGN1,Rest,0
JAGN1,Stim48hr,0
JAGN1,Stim8hr,0
JAK2,Rest,0
JAK2,Stim48hr,0
JAK2,Stim8hr,0
JAKMIP1,Rest,0
JAKMIP1,Stim48hr,0
JAKMIP1,Stim8hr,0
JAKMIP2,Rest,0
JAKMIP2,Stim48hr,0
JAKMIP2,Stim8hr,0
JAM3,Rest,0
JAM3,Stim48hr,0
JAM3,Stim8hr,0
JAML,Rest,0
JAML,Stim48hr,0
JAML,Stim8hr,0
JAZF1,Rest,0
JAZF1,Stim48hr,0
JAZF1,Stim8hr,0
JCHAIN,Rest,0
JCHAIN,Stim48hr,0
JCHAIN,Stim8hr,0
JDP2,Rest,0
JDP2,Stim48hr,0
JDP2,Stim8hr,0
JHY,Rest,0
JHY,Stim48hr,0
JHY,Stim8hr,0
JKAMP,Rest,0
JKAMP,Stim48hr,0
JKAMP,Stim8hr,0
JMJD1C,Rest,0
JMJD1C,Stim48hr,0
JMJD1C,Stim8hr,0
JMJD4,Rest,0
JMJD4,Stim48hr,0
JMJD4,Stim8hr,0
JMJD6,Rest,0
JMJD6,Stim48hr,0
JMJD6,Stim8hr,0
JMJD7-PLA2G4B,Rest,0
JMJD7-PLA2G4B,Stim48hr,0
JMJD7-PLA2G4B,Stim8hr,0
JMJD8,Rest,0
JMJD8,Stim48hr,0
JMJD8,Stim8hr,0
JMY,Rest,0
JMY,Stim48hr,0
JMY,Stim8hr,0
JOSD1,Rest,0
JOSD1,Stim48hr,2
JOSD1,Stim8hr,0
JOSD2,Rest,0
JOSD2,Stim48hr,0
JOSD2,Stim8hr,0
JPT1,Rest,0
JPT1,Stim48hr,0
JPT1,Stim8hr,0
JPT2,Rest,0
JPT2,Stim48hr,0
JPT2,Stim8hr,0
JRK,Rest,0
JRK,Stim48hr,0
JRK,Stim8hr,0
JRKL,Rest,0
JRKL,Stim48hr,0
JRKL,Stim8hr,0
JTB,Rest,0
JTB,Stim48hr,0
JTB,Stim8hr,0
JUN,Rest,0
JUN,Stim48hr,0
JUN,Stim8hr,0
JUNB,Rest,0
JUNB,Stim48hr,1
JUNB,Stim8hr,0
JUND,Rest,1
JUND,Stim48hr,0
JUND,Stim8hr,1
JUP,Rest,0
JUP,Stim48hr,0
JUP,Stim8hr,0
KALRN,Rest,0
KALRN,Stim48hr,0
KALRN,Stim8hr,0
KANK1,Rest,1
KANK1,Stim48hr,0
KANK1,Stim8hr,0
KANSL1,Rest,0
KANSL1,Stim48hr,0
KANSL1,Stim8hr,0
KANSL1L,Rest,1
KANSL1L,Stim48hr,0
KANSL1L,Stim8hr,0
KAT14,Rest,0
KAT14,Stim48hr,6
KAT14,Stim8hr,2
KAT2A,Rest,0
KAT2A,Stim48hr,0
KAT2A,Stim8hr,0
KAT2B,Rest,0
KAT2B,Stim48hr,0
KAT2B,Stim8hr,0
KAT5,Rest,0
KAT5,Stim48hr,0
KAT5,Stim8hr,0
KAT6A,Rest,0
KAT6A,Stim48hr,0
KAT6A,Stim8hr,0
KAT6B,Rest,0
KAT6B,Stim48hr,0
KAT6B,Stim8hr,0
KAT7,Rest,0
KAT7,Stim48hr,0
KATNA1,Rest,0
KATNA1,Stim48hr,0
KATNA1,Stim8hr,0
KATNAL1,Rest,0
KATNAL1,Stim48hr,0
KATNAL1,Stim8hr,0
KATNAL2,Rest,0
KATNAL2,Stim48hr,0
KATNAL2,Stim8hr,0
KATNB1,Rest,0
KATNB1,Stim48hr,0
KATNB1,Stim8hr,0
KATNBL1,Rest,0
KATNBL1,Stim48hr,0
KATNBL1,Stim8hr,0
KATNIP,Rest,2
KATNIP,Stim48hr,1
KATNIP,Stim8hr,3
KBTBD11,Rest,0
KBTBD11,Stim48hr,1
KBTBD11,Stim8hr,0
KBTBD2,Rest,1
KBTBD2,Stim48hr,0
KBTBD2,Stim8hr,0
KBTBD3,Rest,0
KBTBD3,Stim48hr,0
KBTBD3,Stim8hr,0
KBTBD6,Rest,0
KBTBD6,Stim48hr,0
KBTBD6,Stim8hr,0
KBTBD7,Rest,0
KBTBD7,Stim48hr,0
KBTBD7,Stim8hr,0
KBTBD8,Rest,0
KBTBD8,Stim48hr,0
KBTBD8,Stim8hr,0
KCMF1,Rest,0
KCMF1,Stim48hr,0
KCMF1,Stim8hr,0
KCNA2,Rest,0
KCNA2,Stim48hr,0
KCNA2,Stim8hr,0
KCNA3,Rest,0
KCNA3,Stim48hr,0
KCNA3,Stim8hr,0
KCNA6,Rest,0
KCNA6,Stim48hr,0
KCNA6,Stim8hr,0
KCNAB1,Rest,0
KCNAB1,Stim48hr,0
KCNAB1,Stim8hr,0
KCNAB2,Rest,0
KCNAB2,Stim48hr,0
KCNAB2,Stim8hr,0
KCNAB3,Rest,0
KCNAB3,Stim48hr,0
KCNAB3,Stim8hr,0
KCNC3,Rest,0
KCNC3,Stim48hr,0
KCNC3,Stim8hr,0
KCNC4,Rest,0
KCNC4,Stim48hr,0
KCNC4,Stim8hr,0
KCND1,Rest,0
KCND1,Stim48hr,0
KCND1,Stim8hr,0
KCNG3,Rest,0
KCNG3,Stim48hr,0
KCNG3,Stim8hr,0
KCNH2,Rest,0
KCNH2,Stim48hr,0
KCNH2,Stim8hr,0
KCNH3,Rest,0
KCNH3,Stim48hr,0
KCNH3,Stim8hr,0
KCNH4,Rest,0
KCNH4,Stim48hr,0
KCNH4,Stim8hr,0
KCNIP2,Rest,0
KCNIP2,Stim48hr,0
KCNIP2,Stim8hr,0
KCNIP3,Rest,0
KCNIP3,Stim48hr,0
KCNIP3,Stim8hr,0
KCNIP4,Rest,0
KCNIP4,Stim48hr,0
KCNIP4,Stim8hr,0
KCNJ1,Rest,0
KCNJ1,Stim48hr,0
KCNJ1,Stim8hr,0
KCNJ14,Rest,0
KCNJ14,Stim48hr,0
KCNJ14,Stim8hr,0
KCNK12,Rest,0
KCNK12,Stim48hr,0
KCNK12,Stim8hr,0
KCNK5,Rest,2
KCNK5,Stim48hr,0
KCNK5,Stim8hr,0
KCNK6,Rest,0
KCNK6,Stim48hr,0
KCNK6,Stim8hr,0
KCNK7,Rest,0
KCNK7,Stim48hr,0
KCNK7,Stim8hr,0
KCNMA1,Rest,0
KCNMA1,Stim48hr,0
KCNMA1,Stim8hr,0
KCNMB3,Rest,0
KCNMB3,Stim48hr,0
KCNMB3,Stim8hr,0
KCNMB4,Rest,0
KCNMB4,Stim48hr,0
KCNMB4,Stim8hr,0
KCNN4,Rest,0
KCNN4,Stim48hr,0
KCNN4,Stim8hr,0
KCNQ1,Rest,0
KCNQ1,Stim48hr,0
KCNQ1,Stim8hr,0
KCNQ5,Rest,0
KCNQ5,Stim48hr,0
KCNQ5,Stim8hr,0
KCTD10,Rest,0
KCTD10,Stim48hr,0
KCTD10,Stim8hr,0
KCTD11,Rest,0
KCTD11,Stim48hr,0
KCTD11,Stim8hr,0
KCTD12,Rest,0
KCTD12,Stim48hr,0
KCTD12,Stim8hr,0
KCTD13,Rest,0
KCTD13,Stim48hr,0
KCTD13,Stim8hr,0
KCTD15,Rest,0
KCTD15,Stim48hr,0
KCTD15,Stim8hr,0
KCTD17,Rest,0
KCTD17,Stim48hr,0
KCTD17,Stim8hr,0
KCTD18,Rest,0
KCTD18,Stim48hr,0
KCTD18,Stim8hr,0
KCTD2,Rest,0
KCTD2,Stim48hr,0
KCTD2,Stim8hr,0
KCTD20,Rest,0
KCTD20,Stim48hr,0
KCTD20,Stim8hr,0
KCTD21,Rest,0
KCTD21,Stim48hr,0
KCTD21,Stim8hr,3
KCTD3,Rest,0
KCTD3,Stim48hr,0
KCTD3,Stim8hr,0
KCTD5,Rest,0
KCTD5,Stim48hr,0
KCTD5,Stim8hr,0
KCTD6,Rest,0
KCTD6,Stim48hr,0
KCTD6,Stim8hr,0
KCTD9,Rest,0
KCTD9,Stim48hr,0
KCTD9,Stim8hr,0
KDELR1,Rest,0
KDELR1,Stim48hr,0
KDELR1,Stim8hr,1
KDELR2,Rest,0
KDELR2,Stim48hr,0
KDELR2,Stim8hr,0
KDELR3,Rest,0
KDELR3,Stim48hr,0
KDELR3,Stim8hr,0
KDF1,Rest,0
KDF1,Stim48hr,0
KDF1,Stim8hr,0
KDM1A,Rest,1
KDM1A,Stim48hr,14
KDM1A,Stim8hr,7
KDM1B,Rest,0
KDM1B,Stim48hr,0
KDM1B,Stim8hr,0
KDM2A,Rest,0
KDM2A,Stim48hr,0
KDM2A,Stim8hr,0
KDM2B,Rest,0
KDM2B,Stim8hr,0
KDM3A,Rest,0
KDM3A,Stim48hr,0
KDM3A,Stim8hr,0
KDM3B,Rest,0
KDM3B,Stim48hr,0
KDM3B,Stim8hr,3
KDM4A,Rest,0
KDM4A,Stim48hr,0
KDM4A,Stim8hr,0
KDM4B,Rest,0
KDM4B,Stim48hr,0
KDM4B,Stim8hr,0
KDM4C,Rest,0
KDM4C,Stim48hr,0
KDM4C,Stim8hr,0
KDM5A,Rest,0
KDM5A,Stim48hr,0
KDM5A,Stim8hr,0
KDM5B,Rest,0
KDM5B,Stim48hr,0
KDM5B,Stim8hr,0
KDM5C,Rest,1
KDM5C,Stim8hr,0
KDM5D,Rest,0
KDM5D,Stim48hr,0
KDM5D,Stim8hr,0
KDM6A,Rest,0
KDM6A,Stim48hr,0
KDM6A,Stim8hr,0
KDM6B,Rest,0
KDM6B,Stim48hr,0
KDM6B,Stim8hr,0
KDM7A,Rest,0
KDM7A,Stim48hr,0
KDM7A,Stim8hr,0
KDM8,Rest,0
KDM8,Stim48hr,2
KDM8,Stim8hr,0
KDSR,Rest,0
KDSR,Stim48hr,0
KDSR,Stim8hr,0
KEAP1,Rest,0
KEAP1,Stim48hr,1
KEAP1,Stim8hr,0
KGD4,Rest,0
KGD4,Stim48hr,0
KGD4,Stim8hr,1
KHDC4,Rest,0
KHDC4,Stim48hr,0
KHDC4,Stim8hr,0
KHDRBS1,Rest,2
KHDRBS1,Stim48hr,0
KHDRBS1,Stim8hr,5
KHK,Rest,0
KHK,Stim48hr,0
KHK,Stim8hr,0
KHNYN,Rest,0
KHNYN,Stim48hr,0
KHNYN,Stim8hr,0
KHSRP,Rest,0
KHSRP,Stim48hr,0
KHSRP,Stim8hr,0
KIAA0040,Rest,0
KIAA0040,Stim48hr,0
KIAA0040,Stim8hr,0
KIAA0232,Rest,0
KIAA0232,Stim48hr,0
KIAA0232,Stim8hr,0
KIAA0319L,Rest,0
KIAA0319L,Stim48hr,0
KIAA0319L,Stim8hr,0
KIAA0408,Rest,0
KIAA0408,Stim48hr,0
KIAA0408,Stim8hr,0
KIAA0513,Rest,0
KIAA0513,Stim48hr,0
KIAA0513,Stim8hr,0
KIAA0586,Rest,0
KIAA0586,Stim48hr,0
KIAA0586,Stim8hr,0
KIAA0753,Rest,0
KIAA0753,Stim48hr,0
KIAA0753,Stim8hr,0
KIAA0825,Rest,0
KIAA0825,Stim48hr,0
KIAA0825,Stim8hr,0
KIAA0930,Rest,0
KIAA0930,Stim48hr,0
KIAA0930,Stim8hr,0
KIAA1143,Rest,0
KIAA1143,Stim48hr,0
KIAA1143,Stim8hr,0
KIAA1191,Rest,0
KIAA1191,Stim48hr,0
KIAA1191,Stim8hr,0
KIAA1328,Rest,0
KIAA1328,Stim48hr,0
KIAA1328,Stim8hr,0
KIAA1586,Rest,0
KIAA1586,Stim48hr,0
KIAA1586,Stim8hr,0
KIAA1671,Rest,0
KIAA1671,Stim48hr,0
KIAA1671,Stim8hr,0
KIAA1958,Stim8hr,0
KIAA2013,Rest,0
KIAA2013,Stim48hr,0
KIAA2013,Stim8hr,0
KICS2,Rest,0
KICS2,Stim48hr,0
KICS2,Stim8hr,0
KIDINS220,Rest,0
KIDINS220,Stim48hr,0
KIDINS220,Stim8hr,0
KIF13B,Rest,0
KIF13B,Stim48hr,0
KIF13B,Stim8hr,0
KIF14,Rest,0
KIF14,Stim48hr,0
KIF14,Stim8hr,0
KIF15,Rest,0
KIF15,Stim48hr,0
KIF15,Stim8hr,0
KIF16B,Rest,0
KIF16B,Stim48hr,0
KIF16B,Stim8hr,2
KIF18A,Rest,0
KIF18A,Stim48hr,0
KIF18A,Stim8hr,0
KIF1A,Rest,0
KIF1A,Stim48hr,0
KIF1A,Stim8hr,0
KIF1B,Rest,0
KIF1B,Stim48hr,0
KIF1B,Stim8hr,0
KIF1C,Rest,0
KIF1C,Stim48hr,0
KIF1C,Stim8hr,0
KIF20A,Rest,0
KIF20A,Stim48hr,0
KIF20A,Stim8hr,4
KIF20B,Rest,0
KIF20B,Stim48hr,0
KIF20B,Stim8hr,0
KIF21A,Rest,0
KIF21A,Stim48hr,0
KIF21A,Stim8hr,0
KIF22,Rest,0
KIF22,Stim48hr,0
KIF22,Stim8hr,0
KIF27,Rest,0
KIF27,Stim48hr,0
KIF27,Stim8hr,0
KIF2A,Rest,0
KIF2A,Stim48hr,0
KIF2A,Stim8hr,0
KIF2C,Rest,0
KIF2C,Stim48hr,0
KIF2C,Stim8hr,0
KIF3A,Rest,0
KIF3A,Stim48hr,0
KIF3A,Stim8hr,0
KIF3B,Rest,1
KIF3B,Stim48hr,0
KIF3B,Stim8hr,0
KIF3C,Rest,0
KIF3C,Stim48hr,0
KIF3C,Stim8hr,0
KIF4A,Rest,0
KIF4A,Stim48hr,0
KIF4A,Stim8hr,0
KIF5B,Rest,0
KIF5B,Stim48hr,0
KIF5B,Stim8hr,0
KIF5C,Rest,0
KIF5C,Stim48hr,0
KIF5C,Stim8hr,0
KIF9,Rest,0
KIF9,Stim48hr,0
KIF9,Stim8hr,0
KIFAP3,Rest,2
KIFAP3,Stim48hr,4
KIFAP3,Stim8hr,1
KIFBP,Rest,0
KIFBP,Stim48hr,0
KIFBP,Stim8hr,0
KIFC1,Rest,0
KIFC1,Stim48hr,0
KIFC1,Stim8hr,0
KIFC2,Rest,0
KIFC2,Stim48hr,0
KIFC2,Stim8hr,0
KIFC3,Rest,0
KIFC3,Stim48hr,0
KIFC3,Stim8hr,0
KIR3DL2,Rest,0
KIR3DL2,Stim48hr,0
KIR3DL2,Stim8hr,0
KIRREL2,Rest,0
KIRREL2,Stim48hr,0
KIRREL2,Stim8hr,0
KISS1R,Rest,0
KISS1R,Stim48hr,0
KISS1R,Stim8hr,0
KIT,Rest,0
KIT,Stim48hr,0
KIT,Stim8hr,0
KIZ,Rest,0
KIZ,Stim48hr,0
KIZ,Stim8hr,0
KLC1,Rest,0
KLC1,Stim48hr,0
KLC1,Stim8hr,0
KLC2,Rest,0
KLC2,Stim48hr,0
KLC2,Stim8hr,0
KLC4,Rest,0
KLC4,Stim48hr,0
KLC4,Stim8hr,0
KLF10,Rest,2
KLF10,Stim48hr,0
KLF10,Stim8hr,1
KLF11,Rest,0
KLF11,Stim48hr,0
KLF11,Stim8hr,0
KLF12,Rest,0
KLF12,Stim48hr,0
KLF12,Stim8hr,0
KLF13,Rest,1
KLF13,Stim48hr,0
KLF13,Stim8hr,0
KLF14,Rest,0
KLF14,Stim48hr,0
KLF14,Stim8hr,0
KLF15,Rest,0
KLF15,Stim48hr,0
KLF15,Stim8hr,0
KLF16,Rest,0
KLF16,Stim48hr,0
KLF16,Stim8hr,0
KLF17,Rest,0
KLF17,Stim48hr,0
KLF17,Stim8hr,0
KLF2,Rest,0
KLF2,Stim48hr,0
KLF2,Stim8hr,1
KLF3,Rest,0
KLF3,Stim48hr,0
KLF3,Stim8hr,0
KLF4,Rest,0
KLF4,Stim48hr,0
KLF4,Stim8hr,0
KLF5,Rest,0
KLF5,Stim48hr,0
KLF5,Stim8hr,0
KLF6,Rest,0
KLF6,Stim48hr,0
KLF6,Stim8hr,0
KLF7,Rest,0
KLF7,Stim48hr,0
KLF7,Stim8hr,0
KLF8,Rest,0
KLF8,Stim48hr,0
KLF8,Stim8hr,0
KLF9,Rest,0
KLF9,Stim48hr,0
KLF9,Stim8hr,0
KLHDC1,Rest,0
KLHDC1,Stim48hr,0
KLHDC1,Stim8hr,0
KLHDC10,Rest,0
KLHDC10,Stim48hr,0
KLHDC10,Stim8hr,0
KLHDC2,Rest,0
KLHDC2,Stim48hr,0
KLHDC2,Stim8hr,0
KLHDC3,Rest,0
KLHDC3,Stim48hr,0
KLHDC3,Stim8hr,0
KLHDC4,Rest,0
KLHDC4,Stim48hr,0
KLHDC4,Stim8hr,0
KLHDC7B,Rest,0
KLHDC7B,Stim48hr,0
KLHDC7B,Stim8hr,0
KLHDC8B,Rest,0
KLHDC8B,Stim48hr,0
KLHDC8B,Stim8hr,0
KLHL11,Rest,0
KLHL11,Stim48hr,0
KLHL11,Stim8hr,0
KLHL12,Rest,0
KLHL12,Stim48hr,0
KLHL12,Stim8hr,0
KLHL15,Rest,0
KLHL15,Stim48hr,0
KLHL15,Stim8hr,0
KLHL17,Rest,0
KLHL17,Stim48hr,0
KLHL17,Stim8hr,0
KLHL18,Rest,1
KLHL18,Stim48hr,0
KLHL18,Stim8hr,0
KLHL2,Rest,0
KLHL2,Stim48hr,0
KLHL2,Stim8hr,0
KLHL20,Rest,0
KLHL20,Stim48hr,0
KLHL20,Stim8hr,0
KLHL21,Rest,0
KLHL21,Stim48hr,0
KLHL21,Stim8hr,0
KLHL22,Rest,0
KLHL22,Stim48hr,0
KLHL22,Stim8hr,0
KLHL23,Rest,0
KLHL23,Stim48hr,0
KLHL23,Stim8hr,0
KLHL24,Rest,0
KLHL24,Stim48hr,0
KLHL24,Stim8hr,0
KLHL25,Rest,0
KLHL25,Stim48hr,0
KLHL25,Stim8hr,0
KLHL26,Rest,0
KLHL26,Stim48hr,0
KLHL26,Stim8hr,0
KLHL28,Rest,0
KLHL28,Stim48hr,0
KLHL28,Stim8hr,0
KLHL29,Rest,0
KLHL29,Stim48hr,0
KLHL29,Stim8hr,0
KLHL3,Rest,0
KLHL3,Stim48hr,0
KLHL3,Stim8hr,0
KLHL31,Rest,0
KLHL31,Stim48hr,0
KLHL31,Stim8hr,0
KLHL32,Rest,0
KLHL32,Stim48hr,0
KLHL32,Stim8hr,0
KLHL36,Rest,0
KLHL36,Stim48hr,0
KLHL36,Stim8hr,0
KLHL42,Rest,0
KLHL42,Stim48hr,0
KLHL42,Stim8hr,0
KLHL5,Rest,0
KLHL5,Stim48hr,0
KLHL5,Stim8hr,0
KLHL6,Rest,0
KLHL6,Stim48hr,0
KLHL6,Stim8hr,0
KLHL7,Rest,0
KLHL7,Stim48hr,0
KLHL7,Stim8hr,0
KLHL8,Rest,0
KLHL8,Stim48hr,0
KLHL8,Stim8hr,1
KLHL9,Rest,0
KLHL9,Stim48hr,0
KLHL9,Stim8hr,0
KLK1,Rest,0
KLK1,Stim48hr,0
KLK1,Stim8hr,0
KLK14,Rest,2
KLK14,Stim48hr,0
KLK14,Stim8hr,0
KLKB1,Rest,0
KLKB1,Stim48hr,0
KLKB1,Stim8hr,0
KLRB1,Rest,0
KLRB1,Stim48hr,0
KLRB1,Stim8hr,0
KLRC1,Rest,0
KLRC1,Stim48hr,0
KLRC1,Stim8hr,0
KLRD1,Rest,0
KLRD1,Stim48hr,0
KLRD1,Stim8hr,0
KLRF1,Rest,0
KLRF1,Stim48hr,0
KLRF1,Stim8hr,0
KLRG1,Rest,0
KLRG1,Stim48hr,0
