gene,culture_condition,n_sig
ADAM23,Stim8hr,0
ADAM28,Rest,0
ADAM28,Stim48hr,0
ADAM28,Stim8hr,0
ADAM8,Rest,0
ADAM8,Stim48hr,0
ADAM8,Stim8hr,0
ADAM9,Rest,0
ADAM9,Stim48hr,0
ADAM9,Stim8hr,0
ADAMTS1,Rest,0
ADAMTS1,Stim48hr,0
ADAMTS1,Stim8hr,0
ADAMTS10,Rest,2
ADAMTS10,Stim48hr,0
ADAMTS10,Stim8hr,0
ADAMTS17,Rest,0
ADAMTS17,Stim48hr,0
ADAMTS17,Stim8hr,0
ADAMTS6,Rest,0
ADAMTS6,Stim48hr,0
ADAMTS6,Stim8hr,0
ADAMTSL5,Rest,0
ADAMTSL5,Stim48hr,0
ADAMTSL5,Stim8hr,0
ADAP1,Rest,0
ADAP1,Stim48hr,0
ADAP1,Stim8hr,0
ADAR,Stim48hr,0
ADAR,Stim8hr,0
ADARB1,Rest,0
ADARB1,Stim48hr,0
ADARB1,Stim8hr,0
ADARB2,Rest,0
ADARB2,Stim48hr,0
ADARB2,Stim8hr,0
ADAT1,Rest,0
ADAT1,Stim48hr,0
ADAT1,Stim8hr,0
ADAT2,Rest,1
ADAT2,Stim48hr,0
ADAT2,Stim8hr,2
ADAT3,Rest,1
ADAT3,Stim48hr,0
ADAT3,Stim8hr,2
ADCK1,Rest,0
ADCK1,Stim48hr,0
ADCK1,Stim8hr,0
ADCK2,Rest,0
ADCK2,Stim48hr,0
ADCK2,Stim8hr,0
ADCK5,Rest,0
ADCK5,Stim48hr,0
ADCK5,Stim8hr,0
ADCY1,Rest,0
ADCY1,Stim48hr,0
ADCY1,Stim8hr,0
ADCY3,Rest,0
ADCY3,Stim48hr,0
ADCY3,Stim8hr,0
ADCY4,Rest,0
ADCY4,Stim48hr,0
ADCY4,Stim8hr,0
ADCY7,Rest,0
ADCY7,Stim48hr,0
ADCY7,Stim8hr,0
ADCY9,Rest,0
ADCY9,Stim48hr,0
ADCY9,Stim8hr,0
ADD1,Rest,0
ADD1,Stim48hr,0
ADD1,Stim8hr,0
ADD2,Rest,0
ADD2,Stim48hr,0
ADD2,Stim8hr,0
ADD3,Rest,0
ADD3,Stim48hr,0
ADD3,Stim8hr,0
ADGRA3,Rest,0
ADGRA3,Stim48hr,0
ADGRA3,Stim8hr,0
ADGRB2,Rest,0
ADGRB2,Stim48hr,0
ADGRB2,Stim8hr,0
ADGRE2,Rest,0
ADGRE2,Stim48hr,0
ADGRE2,Stim8hr,0
ADGRE5,Rest,0
ADGRE5,Stim48hr,0
ADGRE5,Stim8hr,0
ADGRG1,Rest,0
ADGRG1,Stim48hr,0
ADGRG1,Stim8hr,0
ADGRG5,Rest,0
ADGRG5,Stim48hr,0
ADGRG5,Stim8hr,0
ADGRL1,Rest,0
ADGRL1,Stim48hr,0
ADGRL1,Stim8hr,0
ADGRV1,Rest,0
