symbol	status	alias_symbol	prev_symbol
ACADS	Approved	SCAD|ACAD3	
ACADSB	Approved	SBCAD|ACAD7	
ACADVL	Approved	VLCAD|LCACD|ACAD6	
ACAN	Approved	CSPGCP	MSK16|CSPG1|AGC1
ACAP1	Approved	KIAA0050	CENTB1
ACAP2	Approved	KIAA0041|CNT-B2	CENTB2
ACAP2-IT1	Approved		
ACAP3	Approved	KIAA1716	CENTB5
ACAT1	Approved	THIL	ACAT
ACAT2	Approved		
ACBD3	Approved	GCP60|PAP7	GOLPH1|GOCAP1
ACBD3-AS1	Approved	RP11-275I14.4	
ACBD4	Approved	FLJ13322	
ACBD5	Approved	DKFZp434A2417|KIAA1996	
ACBD6	Approved	MGC2404	
ACBD7	Approved	FLJ38219|bA455B2.2	
ACBD7P1	Approved		
ACCS	Approved	PHACS|ACS	
ACCSL	Approved		
ACCSLP1	Approved		
ACD	Approved	Ptop|Pip1|Tpp1|Tint1	
ACE	Approved	ACE1|CD143	DCP1
ACE2	Approved	ACEH	
ACE2-DT	Approved	GS1-594A7.3	
ACE3P	Approved		
ACER1	Approved		ASAH3
ACER2	Approved	FLJ41587|ALKCDase2	ASAH3L
ACER2P1	Approved		
ACER3	Approved	FLJ11238|APHC	PHCA
ACER3-AS1	Approved		
ACHE	Approved		YT
ACIN1	Approved	KIAA0670|fSAP152	ACINUS
ACKR1	Approved	CCBP1|GPD|Dfy|CD234	FY|DARC
ACKR2	Approved	CCR10|D6|CCR9	CMKBR9|CCBP2
ACKR3	Approved	RDC1|GPR159	CMKOR1|CXCR7
ACKR4	Approved	CCR11|CCBP2|VSHK1|CCX-CKR|PPR1	CCRL1
ACKR4P1	Approved	dJ509I19.4	CCRL1P|CCRL1P1
ACKR5	Approved	hrhAMR|G10D|AM-R	ADMR|GPR182
ACLY	Approved	ATPCL|CLATP|ACL	
ACMSD	Approved		
ACNATP	Approved		BAATP1
ACO1	Approved	IRP1|IREBP	IREB1
ACO2	Approved	ACONM	
ACO2P1	Approved		
ACO2P2	Approved		
ACOD1	Approved	CAD	IRG1
ACOT1	Approved	ACH2|CTE-1|LACH2	
ACOT2	Approved	Mte1|ZAP128	
ACOT4	Approved	FLJ31235|PTE-Ib|PTE2B	
